,ID,Time Taken(s),Total Power(J),CPU(J),Monitor(J),Disk(J),Base(J)
0,PAR-0000,95,319.3999999999998,180.8999999999999,0.0,0.1,142.5
1,PAR-0001,143,491.19999999999993,282.59999999999985,0.0,0.0,214.5
2,PAR-0002,145,493.1000000000001,281.70000000000005,0.0,0.0,217.5
3,PAR-0003,137,467.8000000000004,268.4999999999998,0.0,0.0,205.5
4,PAR-0004,68,231.19999999999996,132.09999999999997,0.0,0.3,102.0
5,PAR-0005,16,57.199999999999996,33.9,0.0,0.0,24.0
6,PAR-0006,67,228.5999999999999,130.70000000000007,0.0,0.0,100.5
7,PAR-0007,35,119.99999999999999,69.4,0.0,0.0,52.5
8,PAR-0008,67,230.39999999999992,132.39999999999998,0.0,0.0,100.5
9,PAR-0009,173,581.8000000000004,331.20000000000005,0.0,0.0,259.5
10,PAR-0010,149,502.3000000000004,284.1999999999998,0.0,0.0,223.5
11,PAR-0011,342,1185.7000000000016,687.6000000000005,0.0,0.6,513.0
12,PAR-0012,47,158.9,90.70000000000002,0.0,0.0,70.5
13,PAR-0013,119,401.2,227.99999999999994,0.0,0.0,178.5
14,PAR-0014,266,904.0000000000016,516.3999999999999,0.0,0.0,399.0
15,PAR-0015,35,119.7,68.60000000000001,0.0,0.0,52.5
16,PAR-0016,151,512.1000000000003,291.8999999999999,0.0,0.0,226.5
17,PAR-0017,49,164.89999999999998,92.99999999999997,0.0,0.0,73.5
18,PAR-0018,56,192.1,110.69999999999999,0.0,0.0,84.0
19,PAR-0019,29,98.20000000000002,55.900000000000006,0.0,0.0,43.5
20,PAR-0020,101,342.40000000000003,195.89999999999995,0.0,0.0,151.5
21,PAR-0021,112,384.1000000000001,221.6999999999998,0.0,0.0,168.0
22,PAR-0022,115,393.1,225.3999999999999,0.0,0.0,172.5
23,PAR-0023,64,218.79999999999995,125.69999999999996,0.0,0.0,96.0
24,PAR-0024,158,536.2000000000003,306.70000000000005,0.0,0.0,237.0
25,PAR-0025,33,115.6,67.4,0.0,0.0,49.5
26,PAR-0026,21,71.69999999999997,41.49999999999999,0.0,0.0,31.5
27,PAR-0027,79,269.49999999999994,155.29999999999995,0.0,0.0,118.5
28,PAR-0028,128,434.1,248.09999999999988,0.0,0.0,192.0
29,PAR-0029,86,323.5999999999999,196.29999999999995,0.0,0.1,129.0
30,PAR-0030,55,188.89999999999992,107.59999999999997,0.0,0.0,82.5
31,PAR-0031,305,1047.5000000000014,595.6000000000008,0.0,0.1,457.5
32,PAR-0032,125,426.3999999999999,241.19999999999982,0.0,0.0,187.5
33,PAR-0033,71,242.89999999999992,138.1,0.0,0.1,106.5
34,PAR-0034,75,241.90000000000012,132.99999999999997,0.0,0.0,112.5
35,PAR-0035,91,301.3,169.20000000000002,0.0,0.0,136.5
36,PAR-0036,26,84.0,45.8,0.0,0.0,39.0
37,PAR-0037,184,593.0999999999995,327.5,0.0,0.0,276.0
38,PAR-0038,54,177.20000000000005,99.10000000000002,0.0,0.0,81.0
39,PAR-0039,107,346.2999999999999,190.50000000000006,0.0,0.0,160.5
40,PAR-0040,118,383.3000000000001,211.00000000000006,0.0,0.0,177.0
41,PAR-0041,81,263.0000000000001,145.90000000000006,0.0,0.0,121.5
42,PAR-0042,60,194.20000000000005,106.6,0.0,0.0,90.0
43,PAR-0043,20,65.2,36.0,0.0,0.0,30.0
44,PAR-0044,58,190.4,105.9,0.0,0.0,87.0
45,PAR-0045,60,194.30000000000004,107.0,0.0,0.0,90.0
46,PAR-0046,64,209.20000000000005,116.0,0.0,0.0,96.0
47,PAR-0047,245,792.7999999999994,437.09999999999997,0.0,0.0,367.5
48,PAR-0048,87,286.20000000000005,159.39999999999998,0.0,0.0,130.5
49,PAR-0049,94,325.30000000000007,187.69999999999996,0.0,0.1,141.0
50,PAR-0050,125,407.2999999999999,225.7,0.0,0.0,187.5
51,PAR-0051,113,370.8000000000002,206.59999999999997,0.0,0.0,169.5
52,PAR-0052,8,26.3,14.5,0.0,0.0,12.0
53,PAR-0053,3,10.5,6.1,0.0,0.0,4.5
54,PAR-0054,24,78.9,44.20000000000001,0.0,0.0,36.0
55,PAR-0055,98,316.50000000000006,173.99999999999997,0.0,0.0,147.0
56,PAR-0056,115,371.9,205.1,0.0,0.0,172.5
57,PAR-0057,17,57.3,32.6,0.0,0.0,25.5
58,PAR-0058,4,13.3,7.4,0.0,0.0,6.0
59,PAR-0059,169,548.4999999999997,302.99999999999994,0.0,0.0,253.5
60,PAR-0060,98,319.70000000000016,177.10000000000002,0.0,0.0,147.0
61,PAR-0061,90,292.9000000000001,162.29999999999998,0.0,0.3,135.0
62,PAR-0062,10,32.3,17.8,0.0,0.0,15.0
63,PAR-0063,36,118.30000000000003,66.39999999999999,0.0,0.0,54.0
64,PAR-0064,26,85.10000000000001,47.4,0.0,0.0,39.0
65,PAR-0065,41,131.80000000000004,72.5,0.0,0.0,61.5
66,PAR-0066,18,60.3,33.8,0.0,0.0,27.0
67,PAR-0067,9,29.299999999999997,15.999999999999998,0.0,0.0,13.5
68,PAR-0068,127,418.3999999999998,234.49999999999997,0.0,0.0,190.5
69,PAR-0069,75,244.90000000000003,135.6,0.0,0.0,112.5
70,PAR-0070,4,12.7,6.9,0.0,0.0,6.0
71,PAR-0071,9,30.0,16.9,0.0,0.0,13.5
72,PAR-0072,289,938.299999999999,517.8,0.0,0.0,433.5
73,PAR-0073,4,12.1,6.200000000000001,0.0,0.0,6.0
74,PAR-0074,50,162.4000000000001,89.89999999999998,0.0,0.0,75.0
75,PAR-0075,176,579.9999999999995,322.70000000000005,0.0,0.3,264.0
76,PAR-0076,136,446.1,247.99999999999986,0.0,0.0,204.0
77,PAR-0077,76,250.10000000000002,139.09999999999997,0.0,0.0,114.0
78,PAR-0078,22,72.40000000000002,40.2,0.0,0.0,33.0
79,PAR-0079,213,690.3999999999996,380.3999999999996,0.0,0.0,319.5
80,PAR-0080,201,659.3999999999995,366.9,0.0,0.1,301.5
81,PAR-0081,45,146.89999999999998,81.80000000000001,0.0,0.0,67.5
82,PAR-0082,142,463.2999999999999,255.9,0.0,0.0,213.0
83,PAR-0083,233,761.5999999999996,423.09999999999997,0.0,0.0,349.5
84,PAR-0084,142,468.09999999999985,261.0999999999999,0.0,0.0,213.0
85,PAR-0085,130,423.29999999999984,233.30000000000004,0.0,0.1,195.0
86,PAR-0086,125,407.8999999999997,225.89999999999995,0.0,0.0,187.5
87,PAR-0087,4,13.5,7.5,0.0,0.0,6.0
88,PAR-0088,89,291.6,162.10000000000002,0.0,0.0,133.5
89,PAR-0089,151,493.89999999999986,273.19999999999993,0.0,0.0,226.5
90,PAR-0090,342,1151.9999999999993,655.2000000000006,0.0,0.1,513.0
91,PAR-0091,145,471.4,261.0999999999999,0.0,0.0,217.5
92,PAR-0092,36,119.99999999999997,67.80000000000001,0.0,0.0,54.0
93,PAR-0093,3,9.6,5.2,0.0,0.0,4.5
94,PAR-0094,57,186.50000000000003,103.30000000000001,0.0,0.0,85.5
95,PAR-0095,90,297.4,166.29999999999998,0.0,0.0,135.0
96,PAR-0096,76,248.80000000000007,138.20000000000002,0.0,0.0,114.0
97,PAR-0097,188,642.4000000000003,367.5000000000003,0.0,0.0,282.0
98,PAR-0098,144,494.3000000000003,281.09999999999997,0.0,0.1,216.0
99,PAR-0099,87,297.59999999999997,168.99999999999986,0.0,0.0,130.5
