,ID,Time Taken(s),Total Power(J),CPU(J),Monitor(J),Disk(J),Base(J)
0,SEL-0000,138,465.7000000000001,264.7999999999998,0.0,0.0,207.0
1,SEL-0001,61,203.69999999999996,115.89999999999999,0.0,0.0,91.5
2,SEL-0002,89,321.5,191.6999999999999,0.0,0.1,133.5
3,SEL-0003,118,396.2000000000001,225.59999999999985,0.0,0.0,177.0
4,SEL-0004,21,71.8,41.7,0.0,0.0,31.5
5,SEL-0005,101,345.70000000000005,197.99999999999986,0.0,0.0,151.5
6,SEL-0006,40,134.8,76.50000000000001,0.0,0.0,60.0
7,SEL-0007,154,515.9000000000001,291.3,0.0,0.0,231.0
8,SEL-0008,65,221.69999999999993,126.19999999999997,0.0,0.0,97.5
9,SEL-0009,46,157.29999999999993,90.40000000000002,0.0,0.0,69.0
10,SEL-0010,84,280.5999999999999,157.8,0.0,0.0,126.0
11,SEL-0011,66,224.09999999999997,127.8,0.0,0.0,99.0
12,SEL-0012,76,256.9999999999999,146.7,0.0,0.0,114.0
13,SEL-0013,15,52.800000000000004,30.900000000000002,0.0,0.0,22.5
14,SEL-0014,29,98.7,56.400000000000006,0.0,0.0,43.5
15,SEL-0015,57,196.19999999999996,113.6,0.0,0.0,85.5
16,SEL-0016,116,391.5999999999999,222.5999999999999,0.0,0.0,174.0
17,SEL-0017,208,703.9000000000003,401.60000000000025,0.0,0.0,312.0
18,SEL-0018,26,91.19999999999999,53.39999999999999,0.0,0.0,39.0
19,SEL-0019,98,328.8,186.2,0.0,0.0,147.0
20,SEL-0020,12,41.199999999999996,23.6,0.0,0.0,18.0
21,SEL-0021,94,320.29999999999984,183.39999999999998,0.0,0.0,141.0
22,SEL-0022,117,398.50000000000017,227.09999999999982,0.0,0.2,175.5
23,SEL-0023,201,684.6000000000001,391.6000000000001,0.0,0.1,301.5
24,SEL-0024,59,199.3999999999999,113.69999999999999,0.0,0.0,88.5
25,SEL-0025,196,660.3000000000006,376.1,0.0,0.0,294.0
26,SEL-0026,189,639.0000000000005,362.89999999999986,0.0,0.2,283.5
27,SEL-0027,204,689.5000000000009,392.5000000000002,0.0,0.0,306.0
28,SEL-0028,55,184.29999999999993,104.19999999999999,0.0,0.0,82.5
29,SEL-0029,89,300.79999999999984,170.79999999999998,0.0,0.0,133.5
30,SEL-0030,33,114.1,65.90000000000002,0.0,0.0,49.5
