,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,Answers
9859,298.6,309.5,1580,33.9,70,0,0,0,0,0,0,2
4248,302.6,311.0,1506,37.2,95,0,0,0,0,0,0,1
422,297.3,308.3,1333,55.2,11,0,0,0,0,0,0,1
4775,303.5,312.0,1761,25.8,105,0,0,0,0,0,0,1
2054,299.6,309.4,1605,29.8,142,0,0,0,0,0,0,2
7615,300.5,311.4,1442,47.0,53,0,0,0,0,0,0,1
2687,299.9,309.4,1348,52.8,31,0,0,0,0,0,0,1
8719,297.2,308.8,1451,43.1,68,0,0,0,0,0,0,1
7221,299.7,309.6,1433,49.6,129,0,0,0,0,0,0,3
7129,300.6,310.0,1635,31.0,107,0,0,0,0,0,0,1
8332,298.8,309.7,1529,44.0,136,0,0,0,0,0,0,1
414,297.4,308.4,1588,32.5,207,0,0,0,0,0,0,1
4473,302.7,310.5,1551,35.9,6,0,0,0,0,0,0,1
5111,304.1,313.6,1556,37.4,129,0,0,0,0,0,0,1
2123,299.3,309.0,1491,38.4,115,0,0,0,0,0,0,1
6810,301.0,310.7,1727,34.5,127,0,0,0,0,0,0,1
2773,299.9,309.4,1858,22.5,22,0,0,0,0,0,0,1
9098,297.3,308.1,1468,49.8,0,0,0,0,0,0,0,1
8796,297.2,308.3,1796,23.8,61,0,0,0,0,0,0,1
3627,302.2,311.5,1588,30.6,39,0,0,0,0,0,0,1
4657,303.1,311.2,1628,35.2,23,0,0,0,0,0,0,1
171,298.2,308.1,1462,50.8,27,0,0,0,0,0,0,1
1476,298.4,309.5,1692,28.3,136,0,0,0,0,0,0,1
1807,298.0,307.6,1654,28.9,123,0,0,0,0,0,0,1
7653,300.4,311.5,1492,44.6,149,0,0,0,0,0,0,1
4886,303.8,312.5,1372,45.7,180,0,0,0,0,0,0,1
7423,300.0,311.3,1407,47.3,208,0,0,0,0,0,0,1
1185,297.3,308.4,1491,46.5,29,0,0,0,0,0,0,1
9101,297.3,308.2,1653,31.4,9,0,0,0,0,0,0,3
9266,298.2,308.9,1737,25.5,26,0,0,0,0,0,0,1
695,297.6,309.0,1487,45.4,64,0,0,0,0,0,0,1
9129,297.6,308.6,1664,30.1,81,0,0,0,0,0,0,1
4541,302.5,310.4,1427,46.8,179,0,0,0,0,0,0,1
4777,303.5,312.2,1818,23.6,109,0,0,0,0,0,0,2
5367,303.1,312.5,1766,26.7,157,0,0,0,0,0,0,2
4668,303.3,311.4,1692,27.9,55,0,0,0,0,0,0,3
6319,300.8,310.2,1514,40.0,155,0,0,0,0,0,0,1
2842,300.3,309.3,1345,53.5,192,0,0,0,0,0,0,1
4873,303.7,312.4,1474,38.8,139,0,0,0,0,0,0,2
8933,297.3,308.3,1544,41.7,6,0,0,0,0,0,0,2
4948,303.8,312.7,1500,41.7,125,0,0,0,0,0,0,2
519,297.7,309.5,2027,19.8,39,0,0,0,0,0,0,2
5055,303.8,312.9,1378,45.6,184,0,0,0,0,0,0,3
802,296.9,307.8,1571,35.0,102,0,0,0,0,0,0,1
4106,301.9,310.5,1425,51.1,173,0,0,0,0,0,0,1
6588,301.6,310.7,1457,40.4,213,0,0,0,0,0,0,1
7866,300.5,311.9,1431,49.4,37,0,0,0,0,0,0,1
4507,302.4,310.1,1709,31.8,100,0,0,0,0,0,0,1
6624,301.7,310.7,1532,39.8,92,0,0,0,0,0,0,1
1048,296.5,307.6,1607,33.5,104,0,0,0,0,0,0,1
375,297.4,308.2,1533,37.4,115,0,0,0,0,0,0,1
6678,301.5,310.7,1336,65.6,0,1,0,0,1,0,0,2
6116,300.8,310.9,1453,43.9,84,0,0,0,0,0,0,1
1436,298.8,309.8,1510,44.2,35,0,0,0,0,0,0,3
1525,298.2,309.0,2449,13.8,45,0,0,0,0,0,0,1
8058,300.3,311.6,1515,44.9,69,0,0,0,0,0,0,1
