,ID,Accuracy,Time Taken (s),Energy Used (J),Equivalent CO2 Emission (mg)
0,BAT-0000,92.89995389580452,163,531.8000000000002,125.56388888888893
1,BAT-0001,93.03826648224988,72,233.4999999999999,55.131944444444414
2,BAT-0002,92.43891194098664,259,832.6000000000007,196.58611111111128
3,BAT-0003,93.08437067773168,306,980.2000000000008,231.4361111111113
4,BAT-0004,92.66943291839556,19,63.6,15.016666666666667
5,BAT-0005,92.76164130935916,100,322.1,76.05138888888888
6,BAT-0006,92.80774550484094,34,110.59999999999998,26.113888888888884
7,BAT-0007,92.577224527432,466,1500.1999999999982,354.21388888888845
8,BAT-0008,93.17657906869525,76,247.1,58.34305555555555
9,BAT-0009,92.94605809128632,56,183.2,43.25555555555555
10,BAT-0010,93.08437067773168,88,283.2999999999999,66.89027777777775
11,BAT-0011,93.13047487321346,78,251.7999999999999,59.45277777777776
12,BAT-0012,92.89995389580452,91,291.8999999999999,68.9208333333333
13,BAT-0013,93.03826648224988,13,43.10000000000001,10.17638888888889
14,BAT-0014,92.99216228676808,30,98.29999999999998,23.20972222222222
15,BAT-0015,93.03826648224988,67,219.9999999999999,51.944444444444414
16,BAT-0016,93.08437067773168,115,371.60000000000014,87.73888888888892
17,BAT-0017,93.08437067773168,533,1741.1,411.0930555555556
18,BAT-0018,92.89995389580452,23,74.50000000000001,17.590277777777782
19,BAT-0019,93.03826648224988,96,311.8999999999998,73.6430555555555
20,BAT-0020,93.08437067773168,9,29.4,6.941666666666666
21,BAT-0021,92.89995389580452,81,261.8,61.81388888888889
22,BAT-0022,92.48501613646842,353,1133.0000000000011,267.51388888888914
23,BAT-0023,92.34670355002304,591,1901.000000000001,448.84722222222246
24,BAT-0024,92.89995389580452,155,497.5,117.46527777777776
25,BAT-0025,92.34670355002304,591,1917.9999999999973,452.8611111111105
26,BAT-0026,92.43891194098664,565,1816.4,428.8722222222221
27,BAT-0027,92.577224527432,604,1940.0999999999983,458.0791666666663
28,BAT-0028,92.30059935454128,170,547.0000000000002,129.15277777777783
29,BAT-0029,93.13047487321346,230,761.9000000000007,179.89305555555572
30,BAT-0030,92.85384970032273,40,129.4,30.552777777777777
31,BAT-0031,92.99216228676808,43,139.99999999999997,33.05555555555555
32,BAT-0032,92.85384970032273,37,119.79999999999998,28.286111111111108
33,BAT-0033,92.94605809128632,478,1539.8,363.56388888888887
34,BAT-0034,93.17657906869525,793,2728.300000000002,644.1819444444449
35,BAT-0035,92.85384970032273,56,195.7,46.20694444444444
36,BAT-0036,92.99216228676808,145,479.6000000000001,113.23888888888892
37,BAT-0037,92.99216228676808,89,288.49999999999994,68.11805555555554
38,BAT-0038,92.89995389580452,124,402.1,94.94027777777778
39,BAT-0039,93.03826648224988,28,92.5,21.840277777777786
40,BAT-0040,93.08437067773168,150,490.0000000000003,115.69444444444451
41,BAT-0041,92.85384970032273,105,341.6999999999999,80.67916666666663
42,BAT-0042,93.26878745965884,100,323.19999999999993,76.31111111111109
43,BAT-0043,92.577224527432,70,225.8999999999999,53.33749999999997
44,BAT-0044,92.80774550484094,38,124.0,29.27777777777778
45,BAT-0045,92.85384970032273,9,29.1,6.870833333333334
46,BAT-0046,92.89995389580452,67,220.29999999999995,52.01527777777776
47,BAT-0047,92.94605809128632,618,1988.399999999997,469.4833333333326
48,BAT-0048,92.76164130935916,129,421.8,99.59166666666664
49,BAT-0049,92.94605809128632,12,40.1,9.468055555555557
