,ID,Accuracy,Time Taken (s),Energy Used (J),Equivalent CO2 Emission (mg)
0,CAM-0000,93.26878745965884,164,527.0000000000003,124.43055555555564
1,CAM-0001,92.99216228676808,831,2666.499999999992,629.5902777777757
2,CAM-0002,92.94605809128632,81,261.99999999999994,61.86111111111109
3,CAM-0003,93.13047487321346,164,529.0000000000003,124.90277777777786
4,CAM-0004,92.94605809128632,133,434.4000000000002,102.5666666666667
5,CAM-0005,92.94605809128632,66,214.5999999999999,50.66944444444442
6,CAM-0006,93.03826648224988,53,172.79999999999995,40.79999999999999
7,CAM-0007,92.85384970032273,104,336.2,79.38055555555555
8,CAM-0008,93.08437067773168,19,61.3,14.473611111111111
9,CAM-0009,92.89995389580452,99,319.80000000000007,75.50833333333335
10,CAM-0010,92.6233287229138,589,1897.399999999999,447.997222222222
11,CAM-0011,92.577224527432,14,45.1,10.64861111111111
12,CAM-0012,92.80774550484094,88,285.6,67.43333333333334
13,CAM-0013,92.43891194098664,582,1897.4999999999973,448.0208333333328
14,CAM-0014,92.85384970032273,47,151.8,35.84166666666667
15,CAM-0015,92.89995389580452,170,553.4000000000002,130.66388888888892
16,CAM-0016,92.43891194098664,333,1065.400000000001,251.552777777778
17,CAM-0017,92.85384970032273,71,228.1,53.85694444444444
18,CAM-0018,93.03826648224988,248,789.9000000000005,186.5041666666668
19,CAM-0019,92.80774550484094,46,149.09999999999997,35.20416666666666
20,CAM-0020,92.89995389580452,81,261.1999999999999,61.67222222222219
21,CAM-0021,92.577224527432,104,337.20000000000005,79.61666666666667
22,CAM-0022,92.5311203319502,18,59.7,14.095833333333331
23,CAM-0023,92.71553711387736,29,93.5,22.07638888888889
24,CAM-0024,93.17657906869525,222,708.4000000000004,167.2611111111112
25,CAM-0025,93.03826648224988,124,398.5999999999999,94.11388888888884
26,CAM-0026,93.13047487321346,97,313.79999999999984,74.09166666666663
27,CAM-0027,92.99216228676808,96,312.7000000000001,73.83194444444446
28,CAM-0028,92.89995389580452,90,292.5999999999999,69.0861111111111
29,CAM-0029,92.85384970032273,72,231.79999999999995,54.73055555555554
30,CAM-0030,92.5311203319502,226,729.8000000000004,172.31388888888898
31,CAM-0031,92.48501613646842,398,1279.9,302.1986111111111
32,CAM-0032,92.80774550484094,26,84.50000000000001,19.951388888888893
33,CAM-0033,93.03826648224988,840,2695.7999999999915,636.5083333333313
34,CAM-0034,92.48501613646842,78,252.49999999999991,59.618055555555536
35,CAM-0035,92.39280774550484,631,2041.2999999999968,481.9736111111105
36,CAM-0036,92.94605809128632,148,479.10000000000014,113.12083333333337
37,CAM-0037,92.99216228676808,880,2824.499999999991,666.8958333333312
38,CAM-0038,92.80774550484094,112,362.49999999999983,85.59027777777773
39,CAM-0039,92.80774550484094,13,43.00000000000001,10.15277777777778
40,CAM-0040,92.99216228676808,716,2309.2999999999943,545.2513888888875
41,CAM-0041,93.08437067773168,38,123.7,29.20694444444444
42,CAM-0042,92.34670355002304,77,249.1,58.81527777777776
43,CAM-0043,92.30059935454128,157,504.4,119.09444444444443
44,CAM-0044,92.94605809128632,330,1059.8000000000009,250.23055555555567
45,CAM-0045,92.5311203319502,267,858.600000000001,202.72500000000025
46,CAM-0046,92.85384970032273,308,1002.8000000000006,236.77222222222235
47,CAM-0047,92.94605809128632,23,74.70000000000002,17.637500000000003
48,CAM-0048,92.577224527432,421,1361.799999999998,321.53611111111064
49,CAM-0049,93.22268326417704,704,2264.0000000000005,534.5555555555557
