,ID,Accuracy,Time Taken (s),Energy Used (J),Equivalent CO2 Emission (mg)
0,CUC-0000,92.71553711387736,73,233.89999999999995,55.22638888888888
1,CUC-0001,92.6233287229138,590,1902.299999999998,449.15416666666624
2,CUC-0002,92.76164130935916,54,175.0,41.31944444444444
3,CUC-0003,92.89995389580452,71,228.40000000000003,53.92777777777778
4,CUC-0004,92.85384970032273,12,38.5,9.090277777777777
5,CUC-0005,92.99216228676808,12,38.1,8.995833333333334
6,CUC-0006,92.85384970032273,77,246.29999999999995,58.15416666666665
7,CUC-0007,92.85384970032273,9,29.6,6.988888888888889
8,CUC-0008,92.99216228676808,16,53.3,12.584722222222222
9,CUC-0009,93.26878745965884,16,51.10000000000001,12.06527777777778
10,CUC-0010,93.13047487321346,84,269.3,63.58472222222223
11,CUC-0011,92.85384970032273,14,45.0,10.625
12,CUC-0012,92.99216228676808,59,190.7999999999999,45.049999999999976
13,CUC-0013,92.85384970032273,10,32.1,7.579166666666667
14,CUC-0014,92.76164130935916,14,46.400000000000006,10.955555555555556
15,CUC-0015,92.99216228676808,712,2291.699999999998,541.0958333333328
16,CUC-0016,92.94605809128632,69,225.79999999999995,53.31388888888888
17,CUC-0017,92.30059935454128,493,1736.7999999999986,410.07777777777744
18,CUC-0018,92.5311203319502,534,1752.499999999999,413.784722222222
19,CUC-0019,92.34670355002304,549,1769.299999999998,417.7513888888884
20,CUC-0020,92.43891194098664,525,1694.4999999999984,400.0902777777774
21,CUC-0021,92.94605809128632,31,100.6,23.752777777777776
22,CUC-0022,92.39280774550484,122,392.6000000000001,92.69722222222224
23,CUC-0023,92.80774550484094,136,439.5000000000001,103.77083333333336
24,CUC-0024,92.94605809128632,66,211.5,49.9375
25,CUC-0025,92.39280774550484,364,1169.300000000001,276.0847222222225
26,CUC-0026,92.80774550484094,74,241.49999999999991,57.020833333333314
27,CUC-0027,92.89995389580452,89,288.19999999999993,68.0472222222222
28,CUC-0028,92.66943291839556,150,489.2000000000002,115.5055555555556
29,CUC-0029,92.99216228676808,13,41.8,9.869444444444444
30,CUC-0030,92.76164130935916,557,1809.099999999999,427.1486111111109
31,CUC-0031,93.13047487321346,264,852.8000000000005,201.35555555555567
32,CUC-0032,92.66943291839556,229,739.7000000000002,174.65138888888893
33,CUC-0033,92.66943291839556,373,1202.3000000000009,283.8763888888891
34,CUC-0034,92.89995389580452,103,336.19999999999993,79.38055555555553
35,CUC-0035,93.03826648224988,40,130.0,30.694444444444443
36,CUC-0036,92.85384970032273,41,132.29999999999998,31.2375
37,CUC-0037,92.66943291839556,257,830.500000000001,196.09027777777803
38,CUC-0038,92.25449515905947,298,961.4000000000012,226.9972222222225
39,CUC-0039,93.03826648224988,63,206.2999999999999,48.7097222222222
40,CUC-0040,93.03826648224988,612,1978.4999999999973,467.1458333333328
41,CUC-0041,93.03826648224988,258,832.0000000000009,196.44444444444463
42,CUC-0042,93.08437067773168,678,2185.099999999998,515.9263888888884
43,CUC-0043,92.89995389580452,85,273.99999999999994,64.69444444444443
44,CUC-0044,92.11618257261412,6,19.6,4.627777777777778
45,CUC-0045,92.577224527432,554,1809.5,427.24305555555554
46,CUC-0046,92.99216228676808,84,273.6,64.6
47,CUC-0047,92.80774550484094,74,240.79999999999995,56.85555555555554
48,CUC-0048,92.99216228676808,69,222.3999999999999,52.51111111111109
49,CUC-0049,92.43891194098664,190,614.3000000000001,145.04305555555555
