,ID,Accuracy,Time Taken (s),Energy Used (J),Equivalent CO2 Emission (mg)
0,FIR-0000,93.03826648224988,92,295.69999999999993,69.81805555555553
1,FIR-0001,92.99216228676809,60,194.8,45.99444444444444
2,FIR-0002,93.03826648224988,150,485.7,114.67916666666666
3,FIR-0003,93.17657906869525,933,3013.3999999999915,711.4972222222202
4,FIR-0004,92.43891194098664,670,2161.4999999999977,510.3541666666661
5,FIR-0005,92.94605809128632,95,309.7,73.1236111111111
6,FIR-0006,92.89995389580452,154,497.30000000000007,117.41805555555555
7,FIR-0007,92.94605809128632,113,367.2999999999998,86.72361111111105
8,FIR-0008,92.76164130935915,680,2187.8,516.5638888888888
9,FIR-0009,93.08437067773167,119,386.5,91.25694444444444
10,FIR-0010,93.03826648224988,138,445.8000000000001,105.25833333333335
11,FIR-0011,92.89995389580452,40,129.2,30.505555555555556
12,FIR-0012,93.08437067773167,86,280.1999999999999,66.1583333333333
13,FIR-0013,92.99216228676809,94,303.00000000000006,71.54166666666667
14,FIR-0014,93.13047487321346,74,238.5,56.31249999999999
15,FIR-0015,92.85384970032273,47,155.9,36.80972222222222
16,FIR-0016,92.85384970032273,39,127.1,30.00972222222222
17,FIR-0017,92.99216228676809,191,613.8000000000002,144.92500000000004
18,FIR-0018,92.6233287229138,318,1036.3000000000006,244.68194444444455
19,FIR-0019,93.03826648224988,193,623.9000000000005,147.30972222222235
20,FIR-0020,92.43891194098664,686,2206.9999999999964,521.0972222222214
21,FIR-0021,92.99216228676809,99,321.2,75.83888888888889
22,FIR-0022,92.85384970032273,163,528.6,124.80833333333334
23,FIR-0023,92.43891194098664,195,631.8000000000004,149.1750000000001
24,FIR-0024,93.03826648224988,194,626.7000000000006,147.97083333333347
25,FIR-0025,92.89995389580452,89,289.69999999999993,68.40138888888887
26,FIR-0026,92.43891194098664,317,1100.5000000000002,259.8402777777778
27,FIR-0027,92.43891194098664,273,1008.6,238.14166666666668
28,FIR-0028,92.71553711387736,89,358.89999999999986,84.74027777777775
29,FIR-0029,92.39280774550484,124,449.9,106.22638888888888
30,FIR-0030,93.03826648224988,61,217.20000000000005,51.28333333333335
31,FIR-0031,92.30059935454128,272,946.1,223.3847222222222
32,FIR-0032,92.34670355002305,8,28.4,6.705555555555555
33,FIR-0033,92.6233287229138,215,742.9999999999999,175.43055555555551
34,FIR-0034,93.03826648224988,20,66.30000000000001,15.654166666666669
35,FIR-0035,92.76164130935915,35,115.19999999999996,27.199999999999992
36,FIR-0036,93.03826648224988,91,296.5999999999999,70.03055555555554
37,FIR-0037,93.22268326417704,218,709.1000000000013,167.4263888888892
38,FIR-0038,92.5311203319502,408,1335.8999999999996,315.42083333333323
39,FIR-0039,92.20839096357768,413,1274.2999999999995,300.8763888888888
40,FIR-0040,92.85384970032273,65,203.00000000000003,47.93055555555557
41,FIR-0041,93.13047487321346,129,397.6999999999998,93.90138888888885
42,FIR-0042,93.26878745965884,340,1045.8999999999978,246.94861111111055
43,FIR-0043,93.13047487321346,527,1623.0000000000016,383.2083333333337
44,FIR-0044,92.85384970032273,123,378.5999999999999,89.39166666666664
45,FIR-0045,92.85384970032273,273,841.9999999999984,198.8055555555552
46,FIR-0046,92.25449515905947,459,1410.6999999999996,333.08194444444433
47,FIR-0047,92.6233287229138,75,233.4000000000001,55.10833333333335
48,FIR-0048,92.94605809128632,14,42.3,9.9875
49,FIR-0049,93.17657906869525,93,288.2,68.04722222222222
