,ID,Accuracy,Time Taken (s),Energy Used (J),Equivalent CO2 Emission (mg)
0,PAR-0000,0.6366666666666667,106,392.0,92.55555555555556
1,PAR-0001,0.5733333333333334,596,2124.9999999999977,501.7361111111106
2,PAR-0002,0.6266666666666667,221,713.100000000001,168.37083333333356
3,PAR-0003,0.6433333333333333,129,416.5,98.34027777777777
4,PAR-0004,0.6433333333333333,130,430.1,101.5513888888889
5,PAR-0005,0.57,887,3015.2999999999915,711.9458333333313
6,PAR-0006,0.57,846,2872.2999999999997,678.1819444444444
7,PAR-0007,0.63,219,702.9000000000003,165.96250000000006
8,PAR-0008,0.57,805,2563.299999999996,605.2236111111101
9,PAR-0009,0.64,129,431.1000000000003,101.78750000000007
10,PAR-0010,0.58,1094,3545.8999999999783,837.2263888888838
11,PAR-0011,0.6366666666666667,127,416.20000000000005,98.26944444444445
12,PAR-0012,0.63,103,337.20000000000005,79.61666666666667
13,PAR-0013,0.6366666666666667,223,731.0000000000002,172.59722222222229
14,PAR-0014,0.63,217,707.3000000000003,167.00138888888895
15,PAR-0015,0.65,128,418.8000000000001,98.88333333333335
16,PAR-0016,0.6266666666666667,129,426.49999999999994,100.70138888888887
17,PAR-0017,0.63,217,710.7000000000007,167.80416666666684
18,PAR-0018,0.6366666666666667,126,411.0,97.04166666666666
19,PAR-0019,0.6366666666666667,129,419.20000000000016,98.97777777777782
20,PAR-0020,0.6366666666666667,129,421.10000000000014,99.42638888888892
21,PAR-0021,0.64,129,418.8000000000002,98.88333333333337
22,PAR-0022,0.6366666666666667,131,430.3,101.59861111111111
23,PAR-0023,0.6266666666666667,108,356.7999999999999,84.24444444444441
24,PAR-0024,0.5633333333333334,1066,3511.0999999999817,829.0097222222179
25,PAR-0025,0.63,222,720.3000000000006,170.07083333333347
26,PAR-0026,0.6266666666666667,227,741.2000000000007,175.00555555555573
27,PAR-0027,0.6433333333333333,129,419.90000000000003,99.14305555555556
28,PAR-0028,0.6266666666666667,187,626.2000000000007,147.85277777777796
29,PAR-0029,0.6333333333333333,109,353.69999999999993,83.51249999999999
30,PAR-0030,0.5733333333333334,835,2886.600000000007,681.558333333335
31,PAR-0031,0.63,106,350.09999999999997,82.6625
32,PAR-0032,0.56,805,2612.899999999989,616.9347222222196
33,PAR-0033,0.63,125,383.6000000000001,90.57222222222224
34,PAR-0034,0.6333333333333333,126,389.00000000000006,91.84722222222223
35,PAR-0035,0.6333333333333333,126,385.79999999999984,91.09166666666663
36,PAR-0036,0.6366666666666667,101,310.40000000000015,73.28888888888892
37,PAR-0037,0.63,105,339.59999999999985,80.1833333333333
38,PAR-0038,0.63,126,387.7,91.54027777777777
39,PAR-0039,0.6266666666666667,207,635.6999999999997,150.09583333333325
40,PAR-0040,0.6233333333333333,213,657.6999999999998,155.29027777777773
41,PAR-0041,0.57,794,2436.300000000009,575.2375000000021
42,PAR-0042,0.6433333333333333,100,308.99999999999994,72.95833333333331
43,PAR-0043,0.6366666666666667,125,385.59999999999997,91.04444444444444
44,PAR-0044,0.6266666666666667,178,562.8999999999999,132.9069444444444
45,PAR-0045,0.6266666666666667,216,700.3000000000012,165.34861111111138
46,PAR-0046,0.6366666666666667,113,467.2,110.3111111111111
47,PAR-0047,0.56,1072,3457.1999999999834,816.2833333333294
48,PAR-0048,0.5633333333333334,791,2483.600000000017,586.4055555555595
49,PAR-0049,0.58,1074,3377.099999999998,797.3708333333328
