,ID,Time Taken(s),Total Power(J),CPU(J),Monitor(J),Disk(J),Base(J)
0,BAT-0000,163,531.8000000000002,294.39999999999986,0.0,0.0,244.5
1,BAT-0001,72,233.4999999999999,128.49999999999994,0.0,0.0,108.0
2,BAT-0002,259,832.6000000000007,454.6000000000003,0.0,0.0,388.5
3,BAT-0003,306,980.2000000000008,535.4000000000004,0.0,0.0,459.0
4,BAT-0004,19,63.6,35.8,0.0,0.0,28.5
5,BAT-0005,100,322.09999999999997,176.69999999999993,0.0,0.0,150.0
6,BAT-0006,34,110.59999999999998,61.500000000000014,0.0,0.0,51.0
7,BAT-0007,466,1500.1999999999982,822.0000000000018,0.0,0.0,699.0
8,BAT-0008,76,247.1,136.39999999999998,0.0,0.0,114.0
9,BAT-0009,56,183.2,102.0,0.0,0.0,84.0
10,BAT-0010,88,283.2999999999999,155.19999999999993,0.0,0.0,132.0
11,BAT-0011,78,251.7999999999999,138.5,0.0,0.0,117.0
12,BAT-0012,91,291.8999999999999,158.79999999999995,0.0,0.0,136.5
13,BAT-0013,13,43.10000000000001,24.2,0.0,0.0,19.5
14,BAT-0014,30,98.29999999999998,54.20000000000001,0.0,0.0,45.0
15,BAT-0015,67,219.9999999999999,121.39999999999998,0.0,0.0,100.5
16,BAT-0016,115,371.60000000000014,203.9999999999999,0.0,0.0,172.5
17,BAT-0017,533,1741.1000000000001,964.3000000000026,0.0,0.0,799.5
18,BAT-0018,23,74.50000000000001,41.1,0.0,0.0,34.5
19,BAT-0019,96,311.8999999999998,171.6,0.0,0.0,144.0
20,BAT-0020,9,29.4,16.4,0.0,0.0,13.5
21,BAT-0021,81,261.8,143.79999999999995,0.0,0.0,121.5
22,BAT-0022,353,1133.0000000000011,620.9000000000008,0.0,0.0,529.5
23,BAT-0023,591,1901.0000000000011,1040.7000000000023,0.0,0.0,886.5
24,BAT-0024,155,497.5,272.1999999999998,0.0,0.0,232.5
25,BAT-0025,591,1917.9999999999975,1057.7000000000032,0.0,0.7000000000000001,886.5
26,BAT-0026,565,1816.3999999999994,994.8000000000036,0.0,0.0,847.5
27,BAT-0027,604,1940.0999999999985,1060.6000000000022,0.0,0.0,906.0
28,BAT-0028,170,547.0000000000002,300.2999999999999,0.0,0.0,255.0
29,BAT-0029,230,761.9000000000007,427.1999999999999,0.0,0.0,345.0
30,BAT-0030,40,129.4,71.39999999999999,0.0,0.0,60.0
31,BAT-0031,43,139.99999999999997,77.5,0.0,0.0,64.5
32,BAT-0032,37,119.79999999999998,66.10000000000001,0.0,0.0,55.5
33,BAT-0033,478,1539.8,845.300000000002,0.0,0.0,717.0
34,BAT-0034,793,2728.300000000002,1561.6000000000001,0.0,0.1,1189.5
35,BAT-0035,56,195.7,112.79999999999998,0.0,0.0,84.0
36,BAT-0036,145,479.6000000000001,267.29999999999995,0.0,0.0,217.5
37,BAT-0037,89,288.49999999999994,159.59999999999994,0.0,0.0,133.5
38,BAT-0038,124,402.1,222.1999999999997,0.0,0.0,186.0
39,BAT-0039,28,92.50000000000001,51.60000000000001,0.0,0.0,42.0
40,BAT-0040,150,490.0000000000003,270.7999999999998,0.0,0.0,225.0
41,BAT-0041,105,341.6999999999999,188.6999999999999,0.0,0.0,157.5
42,BAT-0042,100,323.19999999999993,177.19999999999993,0.0,0.0,150.0
43,BAT-0043,70,225.8999999999999,123.39999999999998,0.0,0.0,105.0
44,BAT-0044,38,124.0,68.3,0.0,0.0,57.0
45,BAT-0045,9,29.1,15.8,0.0,0.0,13.5
46,BAT-0046,67,220.29999999999993,122.19999999999993,0.0,0.1,100.5
47,BAT-0047,618,1988.399999999997,1086.4000000000026,0.0,0.0,927.0
48,BAT-0048,129,421.79999999999995,233.19999999999987,0.0,0.0,193.5
49,BAT-0049,12,40.1,22.6,0.0,0.0,18.0
