,ID,population_size,loudness,pulse_rate,gamma,alpha,min_frequency,max_frequency,n_estimator,criterion,max_feature
0,BAT-0000,45,0.4953294691693303,0.6002920007053112,0.15741050805604714,0.8917689509621813,9.21422629852615,78.4827738814337,528,entropy,sqrt
1,BAT-0001,95,0.8614281821799779,0.796477014594362,0.16222991347347518,0.12790798540042644,6.31227604521258,69.61764669660025,233,entropy,sqrt
2,BAT-0002,93,0.4978640123835224,0.5090871677180451,0.6405368411366579,0.9978071365524831,2.7311981207266167,72.36074137762624,231,gini,
3,BAT-0003,28,0.19172373563054307,0.2647039138571946,0.6652693727626408,0.34930858437150325,8.610417751508262,88.6826965509445,198,entropy,
4,BAT-0004,37,0.3743900780349997,0.5345462018375161,0.6931028571396962,0.7495520167868096,4.301354431109951,41.81352364467864,125,gini,log2
5,BAT-0005,42,0.26446446235969523,0.3095966358709754,0.9872249661735413,0.13270653912914537,0.8656813233197913,82.96179218092723,391,entropy,log2
6,BAT-0006,84,0.9075516816611183,0.37225660721791964,0.22408184642694617,0.9563013940921281,2.953998425463765,63.50183494975716,230,gini,log2
7,BAT-0007,86,0.27455768975089956,0.7247456603025114,0.2334964509928879,0.847376332746871,3.2690122425907098,58.24871547638601,413,gini,
8,BAT-0008,18,0.943559675266398,0.45509929411316896,0.4526998610624483,0.730451281833682,2.8940862906654496,10.2795592623251,243,entropy,sqrt
9,BAT-0009,86,0.9313760525356022,0.9558268591464495,0.5356075977122547,0.5224503667152683,7.632338519020548,62.88804963998271,179,entropy,sqrt
10,BAT-0010,30,0.8217451290912786,0.6766779538683375,0.2901886951261252,0.6059828307794728,6.46126341665839,94.1030930820384,486,gini,sqrt
11,BAT-0011,24,0.9514379964172043,0.9552037985857991,0.954979481081112,0.9832290651111284,9.267307256274538,49.37099501970248,252,entropy,sqrt
12,BAT-0012,58,0.9591395464133698,0.7408573137407606,0.3644356852168029,0.2967467442313971,1.998412489993605,73.26024074396044,293,entropy,sqrt
13,BAT-0013,28,0.2133188744693481,0.9272489708535614,0.996518494429931,0.2886065558874167,7.501941247213017,42.5505689402025,90,gini,log2
14,BAT-0014,62,0.7278026364168874,0.3948473872865461,0.9309400307782966,0.8987533396817095,7.254370861165908,22.576738510818863,162,gini,sqrt
15,BAT-0015,57,0.4279958124362516,0.3661934531039721,0.9844282578583979,0.32446495574462114,1.9856261652856844,98.96539614378602,217,entropy,sqrt
16,BAT-0016,66,0.16879607486148537,0.6611076113128105,0.7283612980269232,0.8016841188373117,9.490899170058187,84.74082131200986,446,entropy,log2
17,BAT-0017,42,0.6208195110875413,0.26494186328531566,0.5607603348986903,0.6666040383273526,3.1093890585768156,55.69594158010473,342,entropy,
18,BAT-0018,77,0.44340278348734463,0.2136016495205439,0.38722075892985186,0.1783390552515336,5.153788730438005,80.18130928889885,154,gini,log2
19,BAT-0019,18,0.5162230059330248,0.6644478861681289,0.6647033831174985,0.8390631936804084,1.8408124595895314,96.49468050716096,371,entropy,log2
20,BAT-0020,79,0.8295089967508756,0.21983401782558698,0.3962679129092186,0.6090452814909574,4.361669193659439,14.99869539380345,62,gini,log2
21,BAT-0021,38,0.1866942147781303,0.6800599092280869,0.6065996164688351,0.3245820304957759,6.853741091069763,61.49632082357167,548,gini,log2
