,ID,Time Taken(s),Total Power(J),CPU(J),Monitor(J),Disk(J),Base(J)
0,CAM-0000,164,527.0000000000003,287.29999999999984,0.0,0.3,246.0
1,CAM-0001,831,2666.4999999999914,1457.7000000000005,0.0,0.0,1246.5
2,CAM-0002,81,261.99999999999994,143.69999999999993,0.0,0.0,121.5
3,CAM-0003,164,529.0000000000003,289.3999999999999,0.0,0.0,246.0
4,CAM-0004,133,434.4000000000002,240.6999999999999,0.0,0.1,199.5
5,CAM-0005,66,214.5999999999999,118.19999999999997,0.0,0.0,99.0
6,CAM-0006,53,172.79999999999995,95.69999999999996,0.0,0.0,79.5
7,CAM-0007,104,336.2,184.2999999999999,0.0,0.0,156.0
8,CAM-0008,19,61.300000000000004,33.5,0.0,0.0,28.5
9,CAM-0009,99,319.80000000000007,176.39999999999995,0.0,0.0,148.5
10,CAM-0010,589,1897.399999999999,1037.9000000000035,0.0,0.4,883.5
11,CAM-0011,14,45.1,24.400000000000002,0.0,0.0,21.0
12,CAM-0012,88,285.6,156.8,0.0,0.0,132.0
13,CAM-0013,582,1897.4999999999977,1048.5000000000039,0.0,0.0,873.0
14,CAM-0014,47,151.8,83.90000000000002,0.0,0.0,70.5
15,CAM-0015,170,553.4000000000002,306.09999999999974,0.0,0.1,255.0
16,CAM-0016,333,1065.400000000001,580.600000000001,0.0,0.0,499.5
17,CAM-0017,71,228.09999999999997,125.30000000000004,0.0,0.0,106.5
18,CAM-0018,248,789.9000000000005,429.60000000000036,0.0,0.0,372.0
19,CAM-0019,46,149.09999999999997,81.89999999999999,0.0,0.0,69.0
20,CAM-0020,81,261.1999999999999,144.3999999999999,0.0,0.0,121.5
21,CAM-0021,104,337.20000000000005,185.79999999999998,0.0,0.0,156.0
22,CAM-0022,18,59.7,33.3,0.0,0.0,27.0
23,CAM-0023,29,93.5,51.20000000000001,0.0,0.0,43.5
24,CAM-0024,222,708.4000000000004,384.0999999999999,0.0,0.0,333.0
25,CAM-0025,124,398.59999999999985,218.49999999999986,0.0,0.0,186.0
26,CAM-0026,97,313.79999999999984,172.59999999999997,0.0,0.0,145.5
27,CAM-0027,96,312.7000000000001,171.79999999999987,0.0,0.0,144.0
28,CAM-0028,90,292.5999999999999,161.8,0.0,0.0,135.0
29,CAM-0029,72,231.79999999999993,125.99999999999996,0.0,0.0,108.0
30,CAM-0030,226,729.8000000000004,400.9000000000002,0.0,0.0,339.0
31,CAM-0031,398,1279.9,699.2000000000005,0.0,0.5,597.0
32,CAM-0032,26,84.50000000000001,46.800000000000004,0.0,0.0,39.0
33,CAM-0033,840,2695.7999999999915,1474.9999999999984,0.0,0.6,1260.0
34,CAM-0034,78,252.49999999999991,138.89999999999995,0.0,0.0,117.0
35,CAM-0035,631,2041.2999999999972,1124.2000000000019,0.0,0.0,946.5
36,CAM-0036,148,479.10000000000014,263.69999999999993,0.0,0.0,222.0
37,CAM-0037,880,2824.499999999991,1542.499999999997,0.0,0.0,1320.0
38,CAM-0038,112,362.49999999999983,199.59999999999982,0.0,0.0,168.0
39,CAM-0039,13,43.00000000000001,24.1,0.0,0.0,19.5
40,CAM-0040,716,2309.2999999999943,1265.600000000002,0.0,0.0,1074.0
41,CAM-0041,38,123.69999999999999,69.10000000000001,0.0,0.0,57.0
42,CAM-0042,77,249.09999999999994,136.19999999999996,0.0,0.0,115.5
43,CAM-0043,157,504.4,276.3999999999998,0.0,0.0,235.5
44,CAM-0044,330,1059.8000000000009,578.9000000000005,0.0,0.1,495.0
45,CAM-0045,267,858.600000000001,470.19999999999993,0.0,0.0,400.5
46,CAM-0046,308,1002.8000000000006,555.6000000000006,0.0,0.0,462.0
47,CAM-0047,23,74.70000000000002,41.6,0.0,0.0,34.5
48,CAM-0048,421,1361.7999999999981,749.2000000000023,0.0,0.0,631.5
49,CAM-0049,704,2264.0000000000005,1241.1000000000015,0.0,0.0,1056.0
