,ID,population_size,burden_factor,death_rate,visibility,supply_init,endurance_init,min_temperature,max_temperature,n_estimator,criterion,max_feature
0,CAM-0000,45,0.8917689509621813,0.15741050805604714,0.33951358433762857,556.3241207828955,439.25496574370027,-7.857737014738504,76.33105126957706,528,entropy,sqrt
1,CAM-0001,29,0.2467377051902176,0.9056761446063374,0.6698120059714505,340.43479935024084,864.1309972100481,-42.299384908307466,97.57636874894732,536,entropy,
2,CAM-0002,83,0.3769517731710098,0.3689814633457428,0.5497261056577791,123.09406136530002,557.3159322079924,-30.941571553040248,98.4836083645137,550,gini,log2
3,CAM-0003,84,0.9134086125420942,0.12398639036983783,0.26142207636105796,588.9075790917148,489.4912124285041,-42.30435629963133,93.296077594611,529,entropy,sqrt
4,CAM-0004,35,0.80957692540074,0.8839855641660145,0.8371037202205149,562.5633177409916,470.6864470301778,-0.956493560741805,18.589496699663822,518,entropy,log2
5,CAM-0005,20,0.9502850914815713,0.5517841693321563,0.514481763996164,429.033302276099,923.103502815024,-7.218378665341632,38.57734280161233,443,gini,log2
6,CAM-0006,34,0.7607996563043902,0.15939533984126597,0.23566591117122537,551.0287405546053,150.28863766980083,-8.871211136353324,63.29805245469342,355,gini,log2
7,CAM-0007,47,0.9430898741023135,0.36275577213858035,0.13887579500156877,549.4647864539018,206.75805648692292,-68.59711566965127,47.804686220099576,334,entropy,sqrt
8,CAM-0008,86,0.580246621086023,0.4093601467559316,0.6768649565236758,299.9019008688672,850.2995943068054,-8.675493798085554,82.37551959004898,60,entropy,sqrt
9,CAM-0009,65,0.9047870661549403,0.5883129902785321,0.979440355310594,839.064754315762,809.5110023205153,-98.24335582668941,29.882381521635914,386,entropy,log2
10,CAM-0010,95,0.43952672032706674,0.4400666676164132,0.3845304835023363,946.0961760230967,856.2969397052201,-1.8634372098746184,91.10018901516531,524,gini,
11,CAM-0011,33,0.7896095433203657,0.5891473581806405,0.5498069278009239,806.6840108641693,344.9548422283768,-75.29060769299723,84.64952580044942,74,gini,sqrt
12,CAM-0012,31,0.6854827573576056,0.9395326057953914,0.9897259912388007,89.32743963212671,200.08076066162994,-28.69310723763141,2.470475349470092,482,gini,sqrt
13,CAM-0013,16,0.7696430703654394,0.8419430741092682,0.9823317758016065,540.8549971354333,473.4232105876093,-13.156243324421325,79.8000571184147,516,gini,
14,CAM-0014,27,0.4123937722601745,0.9369378663694415,0.8184584456438545,674.2627260707087,440.9495823079437,-29.260285045480927,40.12086301770953,316,gini,log2
15,CAM-0015,31,0.41873955247130734,0.29512447454731205,0.4753433418767984,731.8825789534,906.2333121056502,-60.62462726086303,51.15190070883384,546,entropy,sqrt
16,CAM-0016,74,0.37305545776371174,0.24905208769585185,0.4972823920369027,262.3485504282263,213.69187918367928,-87.93085003744272,83.67072114825568,295,gini,
17,CAM-0017,11,0.9286589009744551,0.2389185576312431,0.10704581605214455,228.44071085530334,233.35364591361352,-21.192374956532063,2.144705750722099,477,gini,log2
18,CAM-0018,13,0.24032132802993494,0.1454359611656469,0.9791180111349198,136.98025982926998,646.9494422074062,-40.682919530451514,10.527146081384602,161,entropy,
19,CAM-0019,99,0.28563416215876963,0.3325616586067756,0.7343557362388795,627.0229194826939,606.3648070506616,-14.209726280085704,13.856484679509359,309,gini,log2
20,CAM-0020,27,0.26768378104768115,0.5449125748596525,0.3278068029376643,875.3708777209383,288.3317044132352,-77.89927256179432,55.612526169861994,545,gini,log2
21,CAM-0021,53,0.6395986568694544,0.3059803223158595,0.45580499409958786,798.8746035901117,52.31042164168498,-14.041789330570069,86.80844591265479,337,entropy,sqrt
22,CAM-0022,60,0.3644091733533651,0.6360367094436612,0.8034612547072137,867.6679943400783,825.7191844364302,-84.06572446698506,25.819158096038638,118,gini,log2
23,CAM-0023,84,0.30776044206102027,0.6443946722898031,0.7366424288090097,91.53507797438327,606.1505033313621,-70.90824851949449,45.70539205877513,192,gini,log2
24,CAM-0024,71,0.46048489293663986,0.9813481761021314,0.15693924793052283,182.88089394376453,923.3394522956472,-90.48941652956289,75.19757177339068,144,entropy,
25,CAM-0025,35,0.680739827110035,0.7074454863545705,0.9087797316334744,990.4355835542674,580.3327952965132,-88.9855468065863,52.676067387327095,401,entropy,sqrt
26,CAM-0026,16,0.42241150554610696,0.44238436894365274,0.5761976514244636,244.2205837588592,482.5951098580259,-80.85770490140594,79.53619867610762,538,gini,sqrt
27,CAM-0027,14,0.9950401295530117,0.7371741762356608,0.5985378624965391,585.931911934741,428.0963881186934,-96.05983688191692,93.00053575255451,525,gini,sqrt
28,CAM-0028,60,0.7944430747907847,0.1443581066649819,0.8906044166183108,516.1423412302189,325.193772526986,-77.2040015946551,19.623378623227637,495,gini,sqrt
29,CAM-0029,21,0.3101715073642999,0.8706008334526455,0.9728644244714749,743.5584086841657,276.9107653790146,-78.14912270635166,14.699167007225826,487,gini,log2
30,CAM-0030,35,0.601313256583943,0.7114266746049118,0.9071422391820326,352.1644183080739,919.857071372821,-7.434984315242389,10.375074788331034,200,gini,
31,CAM-0031,82,0.6281175571275495,0.2691275231337721,0.6905259738850692,790.3009953987568,619.5232987512902,-5.6844832576380355,80.21547059916223,353,gini,
32,CAM-0032,71,0.22498915337645772,0.6084060856067435,0.42688456946798614,184.01029772687815,476.4430904852582,-64.32087417656152,6.791382682372594,179,gini,log2
