,ID,Time Taken(s),Total Power(J),CPU(J),Monitor(J),Disk(J),Base(J)
0,CUC-0000,73,233.89999999999995,127.7,0.0,0.0,109.5
1,CUC-0001,590,1902.2999999999981,1044.5000000000025,0.0,0.4,885.0
2,CUC-0002,54,175.0,96.3,0.0,0.0,81.0
3,CUC-0003,71,228.40000000000003,125.49999999999999,0.0,0.0,106.5
4,CUC-0004,12,38.5,21.0,0.0,0.0,18.0
5,CUC-0005,12,38.1,20.6,0.0,0.0,18.0
6,CUC-0006,77,246.29999999999993,133.99999999999997,0.0,0.0,115.5
7,CUC-0007,9,29.6,16.5,0.0,0.0,13.5
8,CUC-0008,16,53.300000000000004,29.700000000000003,0.0,0.0,24.0
9,CUC-0009,16,51.10000000000001,27.700000000000003,0.0,0.0,24.0
10,CUC-0010,84,269.3,146.49999999999994,0.0,0.0,126.0
11,CUC-0011,14,45.0,24.700000000000003,0.0,0.0,21.0
12,CUC-0012,59,190.7999999999999,104.9,0.0,0.0,88.5
13,CUC-0013,10,32.1,17.3,0.0,0.0,15.0
14,CUC-0014,14,46.400000000000006,25.900000000000002,0.0,0.0,21.0
15,CUC-0015,712,2291.699999999998,1256.0999999999997,0.0,0.0,1068.0
16,CUC-0016,69,225.79999999999995,124.79999999999997,0.0,0.0,103.5
17,CUC-0017,493,1736.7999999999986,1008.9999999999989,0.0,0.30000000000000004,739.5
18,CUC-0018,534,1752.499999999999,972.3000000000037,0.0,0.0,801.0
19,CUC-0019,549,1769.2999999999981,969.8000000000035,0.0,0.0,823.5
20,CUC-0020,525,1694.4999999999984,930.1000000000023,0.0,0.2,787.5
21,CUC-0021,31,100.6,55.300000000000004,0.0,0.0,46.5
22,CUC-0022,122,392.6000000000001,214.89999999999995,0.0,0.0,183.0
23,CUC-0023,136,439.5000000000001,241.1999999999997,0.0,0.0,204.0
24,CUC-0024,66,211.5,115.39999999999995,0.0,0.0,99.0
25,CUC-0025,364,1169.3000000000013,639.6000000000008,0.0,0.0,546.0
26,CUC-0026,74,241.49999999999991,133.6,0.0,0.0,111.0
27,CUC-0027,89,288.19999999999993,158.2,0.0,0.0,133.5
28,CUC-0028,150,489.2000000000002,269.89999999999975,0.0,0.0,225.0
29,CUC-0029,13,41.800000000000004,23.099999999999998,0.0,0.0,19.5
30,CUC-0030,557,1809.099999999999,995.6000000000026,0.0,0.30000000000000004,835.5
31,CUC-0031,264,852.8000000000005,468.3000000000003,0.0,0.0,396.0
32,CUC-0032,229,739.7000000000002,407.4000000000001,0.0,0.0,343.5
33,CUC-0033,373,1202.3000000000009,661.9000000000013,0.0,0.0,559.5
34,CUC-0034,103,336.19999999999993,185.89999999999995,0.0,0.0,154.5
35,CUC-0035,40,130.0,71.90000000000002,0.0,0.0,60.0
36,CUC-0036,41,132.29999999999998,72.19999999999999,0.0,0.0,61.5
37,CUC-0037,257,830.500000000001,457.0999999999999,0.0,0.0,385.5
38,CUC-0038,298,961.4000000000013,527.1000000000004,0.0,0.0,447.0
39,CUC-0039,63,206.2999999999999,114.50000000000004,0.0,0.0,94.5
40,CUC-0040,612,1978.4999999999977,1086.700000000003,0.0,0.1,918.0
41,CUC-0041,258,832.0000000000009,455.3,0.0,0.0,387.0
42,CUC-0042,678,2185.099999999998,1198.3000000000022,0.0,0.0,1017.0
43,CUC-0043,85,273.99999999999994,150.29999999999993,0.0,0.0,127.5
44,CUC-0044,6,19.6,10.999999999999998,0.0,0.0,9.0
45,CUC-0045,554,1809.5,1002.3000000000027,0.0,0.1,831.0
46,CUC-0046,84,273.59999999999997,151.29999999999998,0.0,0.0,126.0
47,CUC-0047,74,240.79999999999993,132.89999999999998,0.0,0.0,111.0
48,CUC-0048,69,222.3999999999999,122.39999999999996,0.0,0.0,103.5
49,CUC-0049,190,614.3000000000001,337.4000000000001,0.0,0.0,285.0
