,ID,Time Taken(s),Total Energy(J),CPU(J),Monitor(J),Disk(J),Base(J)
0,FIR-0000,92,295.69999999999993,162.2,0.0,0.0,138.0
1,FIR-0001,60,194.8,107.5,0.0,0.0,90.0
2,FIR-0002,150,485.7,266.5999999999999,0.0,0.0,225.0
3,FIR-0003,933,3013.3999999999915,1654.0999999999992,0.0,0.0,1399.5
4,FIR-0004,670,2161.4999999999977,1189.0000000000036,0.0,0.1,1005.0
5,FIR-0005,95,309.7,171.8999999999999,0.0,0.0,142.5
6,FIR-0006,154,497.30000000000007,272.2,0.0,0.0,231.0
7,FIR-0007,113,367.2999999999998,202.29999999999984,0.0,0.0,169.5
8,FIR-0008,680,2187.8,1199.5000000000016,0.0,0.0,1020.0
9,FIR-0009,119,386.5,212.29999999999984,0.0,0.0,178.5
10,FIR-0010,138,445.8000000000001,244.3999999999997,0.0,0.0,207.0
11,FIR-0011,40,129.2,70.89999999999999,0.0,0.0,60.0
12,FIR-0012,86,280.1999999999999,154.69999999999996,0.0,0.0,129.0
13,FIR-0013,94,303.00000000000006,165.5999999999999,0.0,0.0,141.0
14,FIR-0014,74,238.5,131.49999999999997,0.0,0.0,111.0
15,FIR-0015,47,155.9,87.40000000000003,0.0,0.0,70.5
16,FIR-0016,39,127.1,70.3,0.0,0.0,58.5
17,FIR-0017,191,613.8000000000002,336.3999999999998,0.0,0.0,286.5
18,FIR-0018,318,1036.3000000000006,573.6000000000005,0.0,0.0,477.0
19,FIR-0019,193,623.9000000000005,343.6,0.0,0.0,289.5
20,FIR-0020,686,2206.9999999999964,1207.6000000000024,0.0,0.0,1029.0
21,FIR-0021,99,321.2,177.39999999999992,0.0,0.0,148.5
22,FIR-0022,163,528.6,290.79999999999995,0.0,0.0,244.5
23,FIR-0023,195,631.8000000000004,347.8999999999999,0.0,0.0,292.5
24,FIR-0024,194,626.7000000000006,343.3999999999998,0.0,0.0,291.0
25,FIR-0025,89,289.69999999999993,159.39999999999992,0.0,0.0,133.5
26,FIR-0026,317,1100.5000000000002,634.4,0.0,0.0,475.5
27,FIR-0027,273,1008.6,604.3999999999999,0.0,0.0,409.5
28,FIR-0028,89,358.89999999999986,227.30000000000004,0.0,0.0,133.5
29,FIR-0029,124,449.9,266.2,0.0,0.0,186.0
30,FIR-0030,61,217.20000000000005,127.49999999999996,0.0,0.0,91.5
31,FIR-0031,272,946.1,544.2,0.0,0.0,408.0
32,FIR-0032,8,28.4,16.8,0.0,0.0,12.0
33,FIR-0033,215,742.9999999999999,424.8000000000001,0.0,0.0,322.5
34,FIR-0034,20,66.30000000000001,37.3,0.0,0.0,30.0
35,FIR-0035,35,115.19999999999996,64.2,0.0,0.0,52.5
36,FIR-0036,91,296.5999999999999,164.49999999999994,0.0,0.0,136.5
37,FIR-0037,218,709.1000000000013,388.80000000000007,0.0,0.0,327.0
38,FIR-0038,408,1335.8999999999996,731.7000000000011,0.0,0.0,612.0
39,FIR-0039,413,1274.2999999999995,671.7999999999992,0.0,0.0,619.5
40,FIR-0040,65,203.00000000000003,108.7,0.0,0.0,97.5
41,FIR-0041,129,397.6999999999998,209.50000000000009,0.0,0.0,193.5
42,FIR-0042,340,1045.8999999999978,551.1999999999994,0.0,0.0,510.0
43,FIR-0043,527,1623.0000000000016,855.7999999999993,0.0,0.0,790.5
44,FIR-0044,123,378.5999999999999,199.6,0.0,0.0,184.5
45,FIR-0045,273,841.9999999999984,445.1999999999996,0.0,0.0,409.5
46,FIR-0046,459,1410.6999999999996,742.3999999999988,0.0,0.0,688.5
47,FIR-0047,75,233.4000000000001,123.80000000000004,0.0,0.1,112.5
48,FIR-0048,14,42.3,22.1,0.0,0.0,21.0
49,FIR-0049,93,288.2,152.8,0.0,0.0,139.5
