,ID,population_size,alpha,beta0,gamma,theta,n_estimator,criterion,max_feature
0,FIR-0000,92,0.8917689509621813,75.21115868102953,0.4953294691693303,0.8911943611104965,458,gini,sqrt
1,FIR-0001,51,0.8958647271396394,57.02195515335964,0.28812074272118926,0.7857829646462213,223,entropy,log2
2,FIR-0002,94,0.8756219559119393,75.81083312931621,0.3153985157576881,0.6927513415286395,456,entropy,sqrt
3,FIR-0003,98,0.42227474209848503,12.56144876187138,0.47119833498104335,0.9763147931213135,596,entropy,
4,FIR-0004,14,0.46034571602325214,3.0680888351127975,0.7459307844687939,0.2305468237587804,595,gini,
5,FIR-0005,99,0.39732977883606346,54.265362801727264,0.31905576979039674,0.5331071877197201,574,gini,log2
6,FIR-0006,100,0.8449769032525553,0.01,0.1,1.0,557,entropy,log2
7,FIR-0007,50,0.667891150181334,95.82957976005397,0.1641579089567748,0.15020962498723636,430,entropy,log2
8,FIR-0008,89,0.9520373642102818,26.66165391014103,0.41570941880950896,0.9203563071406871,435,entropy,
9,FIR-0009,99,0.5758341944221438,34.42811050128377,0.6782640892768879,0.8886932878089117,599,gini,sqrt
10,FIR-0010,99,0.40936276319960085,99.21802510758889,0.4377065256965773,0.614922472203909,501,entropy,log2
11,FIR-0011,55,0.561732986115319,53.646058697238665,0.6334899012233465,0.7611802316727646,143,entropy,log2
12,FIR-0012,20,0.9311948182616286,95.90949761652574,0.11396200307510142,0.9808067825594785,274,entropy,sqrt
13,FIR-0013,69,0.9402685984101146,94.08265797053024,0.9999133862450804,0.5399541735331832,288,entropy,sqrt
14,FIR-0014,10,0.8667153534244392,51.97077321151332,0.9197346931864658,0.6526749194197828,288,entropy,log2
15,FIR-0015,11,0.1237822201672044,75.34141324338253,0.9818593976635765,0.8023269496899562,321,gini,log2
16,FIR-0016,17,0.6042000528711239,46.76616338245668,0.636378362103652,0.28735535760203207,260,gini,log2
17,FIR-0017,82,0.23317032874360397,14.365595621656592,0.5023014802368023,0.16737289400163646,594,entropy,sqrt
18,FIR-0018,21,0.22475253487958874,73.10759569199193,0.5757740444221321,0.7218968725605734,283,gini,
19,FIR-0019,95,0.17079838168756656,15.430241283301909,0.4022326134907085,0.30139358413298334,589,entropy,sqrt
20,FIR-0020,97,0.5970865515844359,6.228590699166084,0.20543520737097037,0.2558591861447088,599,gini,
21,FIR-0021,98,0.5515736077969372,34.092142716097484,0.6595889885132442,0.5815430313840249,597,gini,log2
22,FIR-0022,97,0.189701793852941,12.047515377998453,0.9236245345433459,0.5294419213547551,598,entropy,log2
23,FIR-0023,54,0.2123447743857329,84.36629942966935,0.45518223125617663,0.34692664884229846,170,gini,
24,FIR-0024,95,0.30318993431508867,15.033998036620417,0.769292716567537,0.3913812390832617,596,entropy,sqrt
25,FIR-0025,12,0.9604546492218841,47.3530448023767,0.21938960559555698,0.2593776666042864,285,entropy,sqrt
26,FIR-0026,23,0.9377478746528977,96.68153766422017,0.1596855923101182,0.2756309808467675,274,gini,
27,FIR-0027,53,0.8902556838622868,55.81908186903236,0.7543036843842355,0.5274362530434262,224,gini,
28,FIR-0028,13,0.20258289526432244,73.53995810516889,0.9527360937058914,0.9615773496536146,293,entropy,log2
29,FIR-0029,29,0.42056627596331275,23.483760240569065,0.6887833979847012,0.8325590476680745,102,gini,
30,FIR-0030,49,0.22183301145335488,8.592493680815718,0.5191861318692734,0.4350763935141402,177,entropy,sqrt
31,FIR-0031,14,0.9792323049123053,67.75171294835995,0.16617707988839708,0.6426816011811248,232,gini,
32,FIR-0032,76,0.7240198871085062,86.93689988914234,0.10586265340248285,0.5274824713848081,12,gini,log2
33,FIR-0033,19,0.7063699828773052,65.93764584444818,0.82983947242195,0.7243529184010246,184,gini,
34,FIR-0034,24,0.4974246567610503,8.207688729404648,0.16624608260303114,0.43976146860139576,108,gini,sqrt
35,FIR-0035,18,0.11510057917837227,4.396715464806173,0.8924985230409058,0.462908837306812,22,entropy,
36,FIR-0036,23,0.49735124329783287,6.026751550291324,0.6870452700206068,0.7870830880367512,290,entropy,sqrt
37,FIR-0037,63,0.5727765001909958,69.05665202085524,0.3976752479360185,0.5298348527059816,138,entropy,
38,FIR-0038,24,0.8243308753943239,60.65317591842814,0.5053009222338155,0.2745070714564406,364,gini,
39,FIR-0039,92,0.6888614162029947,52.18801682220773,0.3188231352805478,0.9250069727230008,363,gini,
40,FIR-0040,55,0.16066273377290077,0.6469258792573198,0.2806062545346521,0.7822116288237752,426,gini,log2
41,FIR-0041,40,0.6121495647691023,87.30565687503099,0.36081226471144767,0.45825426999715557,500,entropy,log2
42,FIR-0042,65,0.3914980994222482,89.57259985699528,0.7218275244887356,0.650181569750993,220,entropy,
43,FIR-0043,56,0.3328306685833605,22.899077676448663,0.8620015808522545,0.7278263809733048,343,entropy,
44,FIR-0044,59,0.4439572176635709,48.25901825048486,0.8775222975073923,0.3671095378197826,470,entropy,log2
45,FIR-0045,53,0.6253701253943761,24.603379639126803,0.8748386088495188,0.9492025535101697,176,entropy,
46,FIR-0046,53,0.5478858869077894,96.84788123912465,0.3434916587926501,0.9990348060693661,410,gini,
47,FIR-0047,50,0.827508448797785,79.71210135548466,0.8229969676686423,0.13556092212988072,47,entropy,
48,FIR-0048,41,0.7860477323777897,32.765462396721055,0.3533740256318564,0.12969670085764481,39,entropy,sqrt
49,FIR-0049,96,0.2516367853464829,70.13790805268793,0.19782976616073777,0.24484640879538802,471,gini,sqrt
