,ID,Time Taken(s),Total Power(J),CPU(J),Monitor(J),Disk(J),Base(J)
0,PAR-0000,106,392.0,234.40000000000018,0.0,0.0,159.0
1,PAR-0001,596,2124.9999999999977,1241.399999999998,0.0,3.0000000000000004,894.0
2,PAR-0002,221,713.100000000001,391.3000000000002,0.0,0.30000000000000004,331.5
3,PAR-0003,129,416.5,228.89999999999995,0.0,0.0,193.5
4,PAR-0004,130,430.1,241.09999999999994,0.0,0.2,195.0
5,PAR-0005,887,3015.2999999999915,1708.5999999999926,0.0,0.7999999999999999,1330.5
6,PAR-0006,846,2872.2999999999997,1626.5999999999972,0.0,0.0,1269.0
7,PAR-0007,219,702.9000000000003,384.5,0.0,0.0,328.5
8,PAR-0008,805,2563.299999999996,1393.2000000000003,0.0,0.0,1207.5
9,PAR-0009,129,431.1000000000003,242.89999999999986,0.0,0.5,193.5
10,PAR-0010,1094,3545.8999999999783,1955.599999999995,0.0,0.0,1641.0
11,PAR-0011,127,416.20000000000005,232.19999999999996,0.0,0.0,190.5
12,PAR-0012,103,337.20000000000005,187.19999999999996,0.0,0.0,154.5
13,PAR-0013,223,731.0000000000002,407.49999999999994,0.0,0.2,334.5
14,PAR-0014,217,707.3000000000003,390.80000000000007,0.0,0.0,325.5
15,PAR-0015,128,418.8000000000001,232.39999999999998,0.0,0.0,192.0
16,PAR-0016,129,426.49999999999994,238.39999999999995,0.0,0.2,193.5
17,PAR-0017,217,710.7000000000007,396.19999999999976,0.0,0.0,325.5
18,PAR-0018,126,411.0,227.29999999999984,0.0,0.0,189.0
19,PAR-0019,129,419.20000000000016,231.29999999999993,0.0,0.0,193.5
20,PAR-0020,129,421.10000000000014,231.9999999999998,0.0,0.1,193.5
21,PAR-0021,129,418.8000000000002,230.99999999999983,0.0,0.0,193.5
22,PAR-0022,131,430.3,239.39999999999984,0.0,0.0,196.5
23,PAR-0023,108,356.7999999999999,198.5,0.0,0.0,162.0
24,PAR-0024,1066,3511.0999999999817,1958.8999999999996,0.0,0.4,1599.0
25,PAR-0025,222,720.3000000000006,397.1000000000001,0.0,0.0,333.0
26,PAR-0026,227,741.2000000000007,409.9999999999998,0.0,0.0,340.5
27,PAR-0027,129,419.90000000000003,232.49999999999986,0.0,0.0,193.5
28,PAR-0028,187,626.2000000000007,353.2,0.0,0.7,280.5
29,PAR-0029,109,353.69999999999993,195.09999999999994,0.0,0.0,163.5
30,PAR-0030,835,2886.600000000007,1655.0000000000007,0.0,0.5,1252.5
31,PAR-0031,106,350.09999999999997,195.0999999999999,0.0,0.0,159.0
32,PAR-0032,805,2612.899999999989,1427.8000000000015,0.0,0.0,1207.5
33,PAR-0033,125,383.6000000000001,200.7,0.0,0.3,187.5
34,PAR-0034,126,389.00000000000006,205.6,0.0,0.30000000000000004,189.0
35,PAR-0035,126,385.79999999999984,203.00000000000006,0.0,0.0,189.0
36,PAR-0036,101,310.40000000000015,163.49999999999994,0.0,0.0,151.5
37,PAR-0037,105,339.59999999999985,187.39999999999998,0.0,0.0,157.5
38,PAR-0038,126,387.7,204.4,0.0,0.0,189.0
39,PAR-0039,207,635.6999999999997,333.79999999999995,0.0,0.0,310.5
40,PAR-0040,213,657.6999999999998,347.8999999999999,0.0,0.0,319.5
41,PAR-0041,794,2436.300000000009,1281.0000000000007,0.0,0.0,1191.0
42,PAR-0042,100,308.99999999999994,163.10000000000002,0.0,0.0,150.0
43,PAR-0043,125,385.59999999999997,203.10000000000002,0.0,0.2,187.5
44,PAR-0044,178,562.8999999999999,303.5000000000001,0.0,0.0,267.0
45,PAR-0045,216,700.3000000000012,381.0000000000003,0.0,0.0,324.0
46,PAR-0046,113,467.2,273.59999999999997,0.0,26.7,169.5
47,PAR-0047,1072,3457.1999999999834,1872.0999999999963,0.0,0.2,1608.0
48,PAR-0048,791,2483.600000000017,1316.900000000003,0.0,6.7,1186.5
49,PAR-0049,1074,3377.099999999998,1800.600000000003,0.0,0.6000000000000001,1611.0
