,ID,Time Taken(s),Total Power(J),CPU(J),Monitor(J),Disk(J),Base(J),Power Consumption (w)
0,BAT-0042,100,323.19999999999993,177.19999999999993,0.0,0.0,150.0,3.2319999999999993
1,BAT-0034,793,2728.300000000002,1561.6,0.0,0.1,1189.5,3.440479192938212
2,BAT-0008,76,247.1,136.39999999999998,0.0,0.0,114.0,3.251315789473684
3,BAT-0029,230,761.9000000000007,427.1999999999999,0.0,0.0,345.0,3.3126086956521767
4,BAT-0011,78,251.7999999999999,138.5,0.0,0.0,117.0,3.228205128205127
5,BAT-0017,533,1741.1,964.3000000000026,0.0,0.0,799.5,3.266604127579737
6,BAT-0003,306,980.2000000000008,535.4000000000004,0.0,0.0,459.0,3.203267973856212
7,BAT-0040,150,490.0000000000003,270.7999999999998,0.0,0.0,225.0,3.2666666666666684
8,BAT-0016,115,371.60000000000014,203.9999999999999,0.0,0.0,172.5,3.231304347826088
9,BAT-0020,9,29.4,16.4,0.0,0.0,13.5,3.2666666666666666
