,ID,Time Taken(s),Total Energy(J),CPU(J),Monitor(J),Disk(J),Base(J),Power Consumption (w)
0,CUC-0009,16,51.10000000000001,27.700000000000003,0.0,0.0,24.0,3.1937500000000005
1,CUC-0031,264,852.8000000000005,468.3000000000003,0.0,0.0,396.0,3.2303030303030322
2,CUC-0010,84,269.3,146.49999999999994,0.0,0.0,126.0,3.205952380952381
3,CUC-0042,678,2185.099999999998,1198.3000000000022,0.0,0.0,1017.0,3.2228613569321505
4,CUC-0035,40,130.0,71.90000000000002,0.0,0.0,60.0,3.25
5,CUC-0040,612,1978.4999999999973,1086.700000000003,0.0,0.1,918.0,3.2328431372548976
6,CUC-0041,258,832.0000000000009,455.3,0.0,0.0,387.0,3.224806201550391
7,CUC-0039,63,206.2999999999999,114.50000000000004,0.0,0.0,94.5,3.274603174603173
8,CUC-0046,84,273.6,151.29999999999998,0.0,0.0,126.0,3.2571428571428576
9,CUC-0048,69,222.3999999999999,122.39999999999996,0.0,0.0,103.5,3.2231884057971
