,ID,Time Taken(s),Total Power(J),CPU(J),Monitor(J),Disk(J),Base(J),Power Consumption (w)
0,PAR-0016,186,609.6000000000004,338.9,0.0,0.0,279.0,3.277419354838712
1,PAR-0043,21,67.90000000000002,37.8,0.0,0.0,31.5,3.2333333333333343
2,PAR-0030,75,268.99999999999994,157.5,0.0,0.3,112.5,3.586666666666666
3,PAR-0003,168,551.7000000000003,307.6999999999999,0.0,0.0,252.0,3.283928571428573
4,PAR-0022,116,380.2000000000001,211.09999999999988,0.0,0.1,174.0,3.2775862068965527
5,PAR-0004,87,285.69999999999976,159.29999999999993,0.0,0.0,130.5,3.2839080459770087
6,PAR-0045,64,207.2,114.4,0.0,0.0,96.0,3.2375
7,PAR-0044,61,200.79999999999995,111.79999999999995,0.0,0.0,91.5,3.2918032786885236
8,PAR-0032,153,493.5000000000001,270.8999999999999,0.0,0.0,229.5,3.225490196078432
9,PAR-0015,33,107.9,59.50000000000001,0.0,0.0,49.5,3.26969696969697
