TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W)
63807437233977,2.0,0.5,0.0,0.0,1.5,--
63807437234979,1.8,0.3,0.0,0.0,1.5,--
63807437235987,1.8,0.3,0.0,0.0,1.5,--
63807437236991,1.6,0.1,0.0,0.0,1.5,--
63807437238016,3.2,1.8,0.0,0.0,1.5,--
63807437239040,3.6,2.1,0.0,0.0,1.5,--
63807437240049,2.4,0.9,0.0,0.0,1.5,--
63807437241059,1.5,0.0,0.0,0.0,1.5,--
63807437242061,1.9,0.4,0.0,0.0,1.5,--
63807437243059,1.9,0.4,0.0,0.0,1.5,--
63807437244056,1.7,0.3,0.0,0.0,1.5,--
63807437245057,1.9,0.4,0.0,0.0,1.5,--
63807437246054,1.9,0.4,0.0,0.0,1.5,--
63807437247057,2.3,0.8,0.0,0.0,1.5,--
63807437248062,2.2,0.7,0.0,0.0,1.5,--
63807437249050,2.4,0.9,0.0,0.0,1.5,--
63807437250053,2.0,0.5,0.0,0.0,1.5,--
63807437251060,1.9,0.4,0.0,0.0,1.5,--
63807437252051,2.0,0.5,0.0,0.0,1.5,--
63807437253056,2.4,0.9,0.0,0.0,1.5,--
