,ID,Accuracy,Time Taken (s),Energy Used (J),Equivalent CO2 Emission (mg)
0,BAT-0000,0.898,134,447.1999999999997,105.58888888888882
1,BAT-0001,0.897,57,189.29999999999998,44.695833333333326
2,BAT-0002,0.896,88,293.1999999999999,69.22777777777775
3,BAT-0003,0.8965,116,387.4999999999999,91.49305555555553
4,BAT-0004,0.898,21,68.8,16.244444444444444
5,BAT-0005,0.8975,100,333.7000000000001,78.7902777777778
6,BAT-0006,0.895,37,122.7,28.970833333333335
7,BAT-0007,0.895,151,503.7999999999999,118.95277777777775
8,BAT-0008,0.898,64,217.19999999999987,51.2833333333333
9,BAT-0009,0.8975,44,148.3,35.01527777777778
10,BAT-0010,0.897,83,280.5999999999999,66.25277777777775
11,BAT-0011,0.8965,63,211.09999999999997,49.843055555555544
12,BAT-0012,0.898,73,244.4999999999999,57.729166666666636
13,BAT-0013,0.8975,16,54.500000000000014,12.868055555555559
14,BAT-0014,0.896,27,90.6,21.391666666666666
15,BAT-0015,0.8975,55,183.10000000000002,43.23194444444445
16,BAT-0016,0.8975,114,379.80000000000024,89.67500000000005
17,BAT-0017,0.8975,201,669.2000000000006,158.0055555555557
18,BAT-0018,0.897,23,74.7,17.6375
19,BAT-0019,0.897,95,319.6,75.46111111111111
20,BAT-0020,0.894,11,37.2,8.783333333333333
21,BAT-0021,0.8975,91,304.89999999999986,71.99027777777775
22,BAT-0022,0.896,114,383.6000000000003,90.5722222222223
23,BAT-0023,0.8945,192,640.6000000000008,151.25277777777796
24,BAT-0024,0.895,57,190.59999999999994,45.00277777777776
25,BAT-0025,0.896,193,645.4999999999999,152.4097222222222
26,BAT-0026,0.896,183,611.0000000000001,144.2638888888889
27,BAT-0027,0.896,200,683.800000000001,161.452777777778
28,BAT-0028,0.8955,55,187.20000000000002,44.2
29,BAT-0029,0.8965,85,287.29999999999995,67.83472222222221
30,BAT-0030,0.898,32,105.99999999999997,25.02777777777777
31,BAT-0031,0.897,36,121.8,28.758333333333333
