,ID,Accuracy,Time Taken (s),Energy Used (J),Equivalent CO2 Emission (mg)
0,CAM-0000,89.85,146,533.0999999999997,125.87083333333324
1,CAM-0001,89.75,333,1172.2000000000007,276.7694444444446
2,CAM-0002,89.64999999999999,94,323.20000000000016,76.31111111111115
3,CAM-0003,89.75,244,837.1000000000006,197.64861111111125
4,CAM-0004,89.55,24,81.30000000000001,19.195833333333336
5,CAM-0005,89.55,75,258.9999999999999,61.15277777777775
6,CAM-0006,89.5,61,210.9,49.79583333333333
7,CAM-0007,89.75,87,297.39999999999986,70.2194444444444
8,CAM-0008,89.64999999999999,16,55.00000000000001,12.986111111111112
9,CAM-0009,89.9,102,348.1000000000001,82.1902777777778
10,CAM-0010,89.55,199,677.2000000000005,159.89444444444456
11,CAM-0011,89.60000000000001,12,41.5,9.79861111111111
12,CAM-0012,89.60000000000001,85,287.59999999999985,67.90555555555552
13,CAM-0013,89.5,42,143.3,33.834722222222226
14,CAM-0014,89.7,56,192.2,45.38055555555554
15,CAM-0015,89.9,145,496.80000000000007,117.3
16,CAM-0016,89.7,113,388.1999999999999,91.6583333333333
17,CAM-0017,89.60000000000001,84,286.79999999999995,67.71666666666665
18,CAM-0018,89.8,97,331.89999999999986,78.36527777777775
19,CAM-0019,89.60000000000001,54,185.1,43.70416666666665
20,CAM-0020,89.60000000000001,94,316.70000000000005,74.7763888888889
21,CAM-0021,89.8,89,301.1,71.09305555555555
22,CAM-0022,89.64999999999999,20,69.00000000000001,16.291666666666668
23,CAM-0023,89.60000000000001,34,118.7,28.02638888888889
24,CAM-0024,89.60000000000001,86,290.9999999999999,68.7083333333333
25,CAM-0025,89.85,109,391.6000000000001,92.46111111111112
26,CAM-0026,89.60000000000001,92,313.99999999999994,74.13888888888887
27,CAM-0027,89.64999999999999,93,319.19999999999993,75.36666666666665
28,CAM-0028,89.64999999999999,85,290.70000000000005,68.6375
29,CAM-0029,89.60000000000001,84,282.7,66.7486111111111
30,CAM-0030,89.35,74,251.5,59.38194444444444
31,CAM-0031,89.55,137,474.0000000000002,111.91666666666671
32,CAM-0032,89.64999999999999,30,102.4,24.177777777777774
33,CAM-0033,89.7,331,1123.8000000000006,265.3416666666668
34,CAM-0034,89.85,24,81.8,19.313888888888886
35,CAM-0035,89.5,215,742.9000000000002,175.4069444444445
36,CAM-0036,89.9,126,436.0999999999999,102.96805555555552
37,CAM-0037,89.9,350,1210.9999999999998,285.9305555555555
38,CAM-0038,89.85,115,397.3999999999999,93.83055555555552
39,CAM-0039,89.75,15,50.8,11.994444444444444
40,CAM-0040,89.64999999999999,280,965.0000000000016,227.8472222222226
41,CAM-0041,89.75,32,110.60000000000002,26.11388888888889
42,CAM-0042,89.85,24,83.6,19.738888888888887
43,CAM-0043,89.64999999999999,52,176.99999999999997,41.79166666666666
44,CAM-0044,89.75,127,423.19999999999993,99.9222222222222
45,CAM-0045,89.64999999999999,89,292.4000000000001,69.0388888888889
46,CAM-0046,89.7,117,379.6999999999999,89.65138888888886
47,CAM-0047,89.35,22,72.7,17.165277777777778
48,CAM-0048,89.60000000000001,137,447.5999999999999,105.68333333333332
49,CAM-0049,89.85,273,893.1999999999986,210.8944444444441
50,CAM-0050,89.55,40,130.30000000000004,30.765277777777783
51,CAM-0051,89.85,74,244.6,57.75277777777777
52,CAM-0052,89.55,5,16.1,3.801388888888889
53,CAM-0053,89.75,38,123.60000000000004,29.183333333333344
54,CAM-0054,89.64999999999999,71,231.00000000000009,54.541666666666686
55,CAM-0055,89.7,93,308.5,72.84027777777777
56,CAM-0056,89.7,75,243.50000000000009,57.49305555555557
57,CAM-0057,89.75,85,277.4000000000001,65.49722222222225
58,CAM-0058,89.75,38,123.40000000000002,29.13611111111112
59,CAM-0059,89.64999999999999,57,198.10000000000008,46.77361111111113
60,CAM-0060,89.9,53,183.1,43.23194444444444
61,CAM-0061,89.7,23,76.79999999999998,18.13333333333333
62,CAM-0062,89.75,20,65.6,15.488888888888887
63,CAM-0063,89.60000000000001,66,217.8,51.425
64,CAM-0064,89.7,83,271.6000000000001,64.1277777777778
65,CAM-0065,89.75,130,426.5,100.70138888888889
66,CAM-0066,89.60000000000001,34,112.60000000000002,26.58611111111112
67,CAM-0067,89.55,15,48.6,11.474999999999998
68,CAM-0068,89.55,193,656.5000000000005,155.00694444444454
69,CAM-0069,89.75,83,283.49999999999994,66.93749999999999
70,CAM-0070,89.75,85,294.79999999999995,69.60555555555554
71,CAM-0071,89.45,186,640.2000000000005,151.15833333333345
72,CAM-0072,89.75,89,305.59999999999985,72.15555555555552
73,CAM-0073,89.60000000000001,82,281.69999999999993,66.51249999999999
74,CAM-0074,89.85,127,417.6999999999997,98.62361111111105
75,CAM-0075,89.60000000000001,76,250.10000000000016,59.05138888888893
76,CAM-0076,89.8,106,348.70000000000016,82.33194444444447
77,CAM-0077,89.8,51,167.3,39.50138888888889
78,CAM-0078,89.64999999999999,86,283.70000000000005,66.98472222222223
79,CAM-0079,89.55,3,8.9,2.1013888888888888
80,CAM-0080,89.64999999999999,236,777.7999999999996,183.64722222222213
81,CAM-0081,89.85,175,571.4999999999999,134.93749999999997
82,CAM-0082,89.85,150,495.2999999999996,116.94583333333324
83,CAM-0083,89.60000000000001,52,169.90000000000006,40.11527777777779
84,CAM-0084,89.5,46,151.3,35.72361111111111
85,CAM-0085,89.5,220,727.3999999999994,171.7472222222221
86,CAM-0086,89.75,93,303.4,71.6361111111111
87,CAM-0087,89.55,60,197.2,46.56111111111111
88,CAM-0088,89.85,290,951.299999999999,224.61249999999976
89,CAM-0089,89.64999999999999,89,293.6,69.32222222222222
90,CAM-0090,89.85,89,292.80000000000007,69.13333333333335
91,CAM-0091,89.64999999999999,34,111.10000000000002,26.231944444444448
92,CAM-0092,89.64999999999999,76,250.1,59.051388888888894
93,CAM-0093,89.8,109,355.6,83.96111111111111
94,CAM-0094,89.85,151,495.6999999999997,117.0402777777777
95,CAM-0095,89.75,186,627.7999999999996,148.23055555555547
96,CAM-0096,89.05,2,7.300000000000001,1.7236111111111112
97,CAM-0097,89.85,86,283.90000000000003,67.03194444444445
98,CAM-0098,89.7,11,36.1,8.52361111111111
99,CAM-0099,89.60000000000001,23,73.3,17.306944444444444
