,ID,Accuracy,Time Taken (s),Energy Used (J),Equivalent CO2 Emission (mg)
0,CUC-0000,0.897,25,95.4,22.525000000000002
1,CUC-0001,0.8945,180,630.1,148.7736111111111
2,CUC-0002,0.894,15,54.599999999999994,12.891666666666666
3,CUC-0003,0.8965,106,478.4999999999997,112.9791666666666
4,CUC-0004,0.8985,104,375.6,88.68333333333334
5,CUC-0005,0.896,40,147.29999999999998,34.77916666666666
6,CUC-0006,0.897,96,341.9999999999999,80.74999999999997
7,CUC-0007,0.895,220,786.3999999999995,185.67777777777766
8,CUC-0008,0.898,95,339.39999999999986,80.13611111111108
9,CUC-0009,0.899,13,47.199999999999996,11.144444444444444
10,CUC-0010,0.896,35,128.09999999999997,30.245833333333323
11,CUC-0011,0.897,28,92.50000000000003,21.840277777777786
12,CUC-0012,0.8975,92,309.3,73.02916666666667
13,CUC-0013,0.8965,83,304.90000000000003,71.99027777777778
14,CUC-0014,0.896,62,205.79999999999995,48.591666666666654
15,CUC-0015,0.897,261,866.3000000000003,204.5430555555556
16,CUC-0016,0.896,76,253.19999999999996,59.783333333333324
17,CUC-0017,0.8965,147,486.50000000000006,114.86805555555557
18,CUC-0018,0.8955,168,561.7000000000003,132.62361111111116
19,CUC-0019,0.8955,175,583.1000000000004,137.67638888888897
20,CUC-0020,0.896,169,563.3000000000001,133.0013888888889
21,CUC-0021,0.8975,32,108.10000000000002,25.523611111111116
22,CUC-0022,0.8985,265,882.0000000000009,208.2500000000002
23,CUC-0023,0.899,135,451.1000000000002,106.50972222222227
24,CUC-0024,0.899,53,177.10000000000002,41.81527777777778
25,CUC-0025,0.8965,9,30.800000000000004,7.272222222222223
26,CUC-0026,0.898,60,200.19999999999996,47.26944444444443
27,CUC-0027,0.8985,92,309.39999999999986,73.05277777777775
28,CUC-0028,0.8975,123,414.8000000000001,97.93888888888891
29,CUC-0029,0.898,130,435.09999999999997,102.73194444444444
30,CUC-0030,0.897,97,323.59999999999997,76.40555555555555
31,CUC-0031,0.8975,93,307.79999999999984,72.67499999999995
32,CUC-0032,0.897,68,223.00000000000003,52.652777777777786
33,CUC-0033,0.8975,29,96.30000000000001,22.7375
34,CUC-0034,0.8985,127,419.89999999999986,99.14305555555552
35,CUC-0035,0.896,186,618.6000000000004,146.05833333333342
36,CUC-0036,0.8965,43,142.7,33.69305555555555
37,CUC-0037,0.8965,80,265.69999999999993,62.7347222222222
38,CUC-0038,0.8995,130,432.7000000000001,102.1652777777778
39,CUC-0039,0.896,55,182.19999999999996,43.01944444444443
40,CUC-0040,0.8975,221,730.0000000000005,172.36111111111123
41,CUC-0041,0.898,51,170.5,40.25694444444444
42,CUC-0042,0.8985,247,820.1000000000012,193.63472222222248
43,CUC-0043,0.8965,74,245.29999999999998,57.91805555555555
44,CUC-0044,0.898,137,485.00000000000006,114.5138888888889
45,CUC-0045,0.896,126,419.20000000000016,98.97777777777782
46,CUC-0046,0.897,76,255.59999999999994,60.34999999999999
47,CUC-0047,0.899,132,443.79999999999995,104.7861111111111
48,CUC-0048,0.898,114,382.00000000000006,90.19444444444446
49,CUC-0049,0.898,132,438.29999999999995,103.48749999999998
50,CUC-0050,0.897,87,290.69999999999993,68.63749999999999
51,CUC-0051,0.896,34,114.19999999999999,26.963888888888885
52,CUC-0052,0.895,21,71.1,16.787499999999998
53,CUC-0053,0.897,61,204.60000000000002,48.30833333333334
54,CUC-0054,0.896,163,546.5000000000001,129.03472222222226
55,CUC-0055,0.8965,112,376.2,88.82499999999999
56,CUC-0056,0.899,109,363.6,85.85000000000001
57,CUC-0057,0.8955,145,483.29999999999984,114.11249999999995
58,CUC-0058,0.8975,307,1022.900000000002,241.51805555555603
59,CUC-0059,0.8965,79,267.6999999999998,63.2069444444444
60,CUC-0060,0.895,10,33.7,7.956944444444445
61,CUC-0061,0.8965,308,1025.700000000001,242.17916666666687
62,CUC-0062,0.8945,168,559.8000000000004,132.1750000000001
63,CUC-0063,0.898,96,324.50000000000017,76.6180555555556
64,CUC-0064,0.8965,86,286.90000000000003,67.74027777777778
65,CUC-0065,0.896,61,204.59999999999994,48.308333333333316
66,CUC-0066,0.8965,53,177.39999999999998,41.886111111111106
67,CUC-0067,0.896,87,290.50000000000006,68.59027777777779
68,CUC-0068,0.8975,203,682.2000000000005,161.0750000000001
69,CUC-0069,0.897,312,1046.5000000000014,247.09027777777808
70,CUC-0070,0.898,95,320.99999999999994,75.79166666666666
71,CUC-0071,0.896,136,456.0,107.66666666666666
72,CUC-0072,0.8965,36,119.0,28.09722222222222
73,CUC-0073,0.8965,179,638.1000000000006,150.66250000000014
74,CUC-0074,0.899,97,324.99999999999994,76.7361111111111
75,CUC-0075,0.8995,10,34.5,8.145833333333334
76,CUC-0076,0.8985,52,176.79999999999987,41.74444444444441
77,CUC-0077,0.8975,102,340.9,80.49027777777778
78,CUC-0078,0.895,191,633.7000000000007,149.62361111111127
79,CUC-0079,0.896,71,231.1000000000001,54.5652777777778
80,CUC-0080,0.898,301,955.7999999999984,225.6749999999996
81,CUC-0081,0.898,191,608.3999999999993,143.64999999999984
82,CUC-0082,0.898,11,35.50000000000001,8.381944444444446
83,CUC-0083,0.8975,13,41.49999999999999,9.798611111111109
84,CUC-0084,0.8965,23,75.19999999999999,17.755555555555553
85,CUC-0085,0.897,253,802.0999999999989,189.38472222222197
86,CUC-0086,0.898,193,613.7999999999992,144.92499999999978
87,CUC-0087,0.896,137,435.9000000000001,102.92083333333335
88,CUC-0088,0.897,33,106.20000000000002,25.075000000000003
89,CUC-0089,0.896,67,213.60000000000008,50.43333333333335
90,CUC-0090,0.8975,138,442.3999999999999,104.45555555555553
91,CUC-0091,0.898,134,428.29999999999984,101.12638888888885
