,ID,Accuracy,Time Taken (s),Energy Used (J),Equivalent CO2 Emission (mg)
0,FIR-0000,89.64999999999999,83,262.4000000000001,61.95555555555558
1,FIR-0001,89.85,57,180.00000000000006,42.500000000000014
2,FIR-0002,89.55,84,270.4000000000001,63.84444444444446
3,FIR-0003,89.7,52,163.20000000000007,38.53333333333335
4,FIR-0004,89.75,19,61.49999999999999,14.520833333333332
5,FIR-0005,89.5,66,208.80000000000007,49.30000000000001
6,FIR-0006,89.9,143,451.3999999999999,106.58055555555552
7,FIR-0007,89.7,311,1001.2999999999988,236.41805555555524
8,FIR-0008,89.75,215,683.099999999999,161.28749999999977
9,FIR-0009,89.75,97,305.1000000000001,72.03750000000002
10,FIR-0010,89.60000000000001,117,368.9999999999999,87.12499999999997
11,FIR-0011,89.9,28,89.99999999999999,21.25
12,FIR-0012,89.45,151,477.6,112.76666666666668
13,FIR-0013,89.55,163,515.7999999999997,121.78611111111104
14,FIR-0014,89.8,351,1109.5999999999988,261.9888888888886
15,FIR-0015,89.55,37,118.00000000000004,27.86111111111112
16,FIR-0016,89.64999999999999,92,290.5000000000001,68.5902777777778
17,FIR-0017,89.8,110,347.60000000000014,82.07222222222225
18,FIR-0018,89.64999999999999,56,175.30000000000007,41.39027777777779
19,FIR-0019,89.55,93,297.8000000000001,70.31388888888891
20,FIR-0020,89.85,137,433.1999999999998,102.28333333333327
21,FIR-0021,89.75,43,135.40000000000006,31.96944444444446
22,FIR-0022,89.60000000000001,92,294.1999999999999,69.46388888888886
23,FIR-0023,89.64999999999999,64,204.10000000000005,48.19027777777779
24,FIR-0024,89.85,132,419.5999999999999,99.0722222222222
25,FIR-0025,89.60000000000001,12,37.5,8.854166666666666
26,FIR-0026,89.55,59,189.4000000000001,44.71944444444447
27,FIR-0027,89.55,82,259.60000000000014,61.29444444444447
28,FIR-0028,89.8,74,232.70000000000013,54.94305555555559
29,FIR-0029,89.60000000000001,35,109.8,25.925
30,FIR-0030,89.75,46,148.00000000000003,34.94444444444445
31,FIR-0031,89.5,84,273.70000000000005,64.62361111111112
32,FIR-0032,89.25,7,21.2,5.005555555555556
33,FIR-0033,89.60000000000001,65,207.00000000000003,48.87500000000001
34,FIR-0034,89.60000000000001,19,62.0,14.63888888888889
35,FIR-0035,89.45,11,34.2,8.075
36,FIR-0036,89.9,74,233.70000000000005,55.179166666666674
37,FIR-0037,89.75,81,256.2000000000002,60.49166666666672
38,FIR-0038,89.64999999999999,131,413.7999999999997,97.70277777777773
39,FIR-0039,89.5,138,437.8999999999999,103.39305555555552
40,FIR-0040,89.55,73,231.80000000000013,54.73055555555558
41,FIR-0041,89.85,128,407.0999999999999,96.12083333333332
42,FIR-0042,89.7,131,416.5999999999998,98.36388888888884
43,FIR-0043,89.60000000000001,197,623.2999999999993,147.16805555555538
44,FIR-0044,89.85,123,394.3,93.0986111111111
45,FIR-0045,89.8,105,348.1,82.19027777777777
46,FIR-0046,89.5,149,473.9999999999999,111.91666666666664
47,FIR-0047,89.5,28,89.00000000000001,21.013888888888893
48,FIR-0048,89.95,12,39.7,9.37361111111111
49,FIR-0049,89.55,86,272.6,64.3638888888889
50,FIR-0050,89.55,162,514.0999999999996,121.38472222222212
51,FIR-0051,89.7,71,224.8000000000001,53.0777777777778
52,FIR-0052,89.60000000000001,62,198.1,46.77361111111111
53,FIR-0053,89.60000000000001,322,1022.999999999998,241.54166666666617
54,FIR-0054,89.7,60,188.70000000000007,44.55416666666668
55,FIR-0055,89.7,33,104.20000000000005,24.602777777777785
56,FIR-0056,89.8,80,259.30000000000007,61.223611111111126
57,FIR-0057,89.64999999999999,83,264.0,62.33333333333333
58,FIR-0058,89.64999999999999,14,44.7,10.554166666666667
59,FIR-0059,89.55,43,136.5,32.229166666666664
60,FIR-0060,89.55,173,548.3999999999996,129.48333333333323
61,FIR-0061,89.75,33,104.3,24.626388888888886
62,FIR-0062,89.8,131,414.5999999999997,97.8916666666666
63,FIR-0063,89.7,63,201.9000000000001,47.67083333333336
64,FIR-0064,89.85,156,499.4999999999995,117.93749999999989
65,FIR-0065,89.60000000000001,68,217.80000000000007,51.42500000000001
66,FIR-0066,89.75,58,185.10000000000005,43.70416666666668
67,FIR-0067,89.75,118,375.8,88.73055555555554
68,FIR-0068,89.85,43,137.60000000000002,32.488888888888894
69,FIR-0069,89.75,77,246.60000000000005,58.22500000000001
70,FIR-0070,89.60000000000001,104,332.29999999999995,78.45972222222221
71,FIR-0071,89.8,157,500.09999999999945,118.07916666666654
72,FIR-0072,89.64999999999999,81,257.5000000000001,60.798611111111136
73,FIR-0073,89.8,78,249.4000000000001,58.886111111111134
74,FIR-0074,89.7,27,85.99999999999999,20.30555555555555
75,FIR-0075,89.75,128,407.3,96.16805555555555
76,FIR-0076,89.75,165,526.0999999999999,124.21805555555554
77,FIR-0077,89.9,72,230.00000000000009,54.30555555555557
78,FIR-0078,89.60000000000001,47,151.20000000000002,35.7
79,FIR-0079,89.75,62,202.1000000000001,47.71805555555559
80,FIR-0080,89.85,47,149.7,35.34583333333333
81,FIR-0081,89.45,203,644.4999999999992,152.17361111111092
82,FIR-0082,89.8,64,231.8,54.73055555555555
83,FIR-0083,89.55,38,128.1,30.24583333333333
84,FIR-0084,89.75,63,211.99999999999997,50.05555555555554
85,FIR-0085,89.64999999999999,22,101.5,23.965277777777786
86,FIR-0086,89.8,129,436.4000000000001,103.0388888888889
87,FIR-0087,89.64999999999999,46,155.69999999999993,36.76249999999998
88,FIR-0088,89.64999999999999,44,149.39999999999995,35.274999999999984
89,FIR-0089,89.8,47,157.29999999999995,37.14027777777777
90,FIR-0090,89.45,87,289.9,68.4486111111111
91,FIR-0091,89.7,60,200.19999999999996,47.26944444444442
92,FIR-0092,89.8,90,292.3999999999999,69.03888888888886
93,FIR-0093,89.8,26,83.1,19.62083333333333
94,FIR-0094,89.60000000000001,10,33.0,7.791666666666666
95,FIR-0095,89.75,57,182.50000000000009,43.09027777777779
96,FIR-0096,89.95,351,1116.4999999999989,263.61805555555526
97,FIR-0097,89.75,43,138.09999999999997,32.60694444444444
98,FIR-0098,89.64999999999999,7,21.7,5.123611111111111
99,FIR-0099,89.64999999999999,102,327.2,77.25555555555555
