,ID,Accuracy,Time Taken (s),Energy Used (J),Equivalent CO2 Emission (mg)
0,PAR-0000,0.8965,95,319.3999999999998,75.41388888888883
1,PAR-0001,0.895,143,491.19999999999993,115.97777777777776
2,PAR-0002,0.8985,145,493.1000000000001,116.42638888888891
3,PAR-0003,0.898,137,467.8000000000004,110.45277777777787
4,PAR-0004,0.899,68,231.19999999999996,54.58888888888888
5,PAR-0005,0.8985,16,57.199999999999996,13.505555555555555
6,PAR-0006,0.895,67,228.5999999999999,53.97499999999998
7,PAR-0007,0.8965,35,119.99999999999999,28.33333333333333
8,PAR-0008,0.896,67,230.39999999999992,54.39999999999998
9,PAR-0009,0.8955,173,581.8000000000004,137.36944444444453
10,PAR-0010,0.896,149,502.3000000000004,118.59861111111121
11,PAR-0011,0.8975,342,1185.7000000000016,279.95694444444484
12,PAR-0012,0.894,47,158.9,37.518055555555556
13,PAR-0013,0.8985,119,401.2,94.72777777777777
14,PAR-0014,0.8965,266,904.0000000000016,213.44444444444483
15,PAR-0015,0.8965,35,119.7,28.2625
16,PAR-0016,0.8985,151,512.1000000000003,120.91250000000005
17,PAR-0017,0.8975,49,164.89999999999998,38.93472222222221
18,PAR-0018,0.8975,56,192.1,45.356944444444444
19,PAR-0019,0.897,29,98.20000000000002,23.186111111111114
20,PAR-0020,0.896,101,342.40000000000003,80.84444444444445
21,PAR-0021,0.8975,112,384.1000000000001,90.6902777777778
22,PAR-0022,0.8985,115,393.1,92.81527777777778
23,PAR-0023,0.8955,64,218.79999999999995,51.6611111111111
24,PAR-0024,0.8955,158,536.2000000000003,126.60277777777785
25,PAR-0025,0.8965,33,115.6,27.29444444444444
26,PAR-0026,0.896,21,71.69999999999997,16.92916666666666
27,PAR-0027,0.897,79,269.49999999999994,63.63194444444443
28,PAR-0028,0.8975,128,434.1,102.49583333333334
29,PAR-0029,0.897,86,323.5999999999999,76.40555555555554
30,PAR-0030,0.8985,55,188.89999999999992,44.60138888888887
31,PAR-0031,0.8975,305,1047.5000000000014,247.3263888888892
32,PAR-0032,0.8985,125,426.3999999999999,100.67777777777776
33,PAR-0033,0.8975,71,242.89999999999992,57.35138888888887
34,PAR-0034,0.8965,75,241.90000000000012,57.115277777777806
35,PAR-0035,0.898,91,301.3,71.14027777777778
36,PAR-0036,0.899,26,84.0,19.833333333333332
37,PAR-0037,0.8965,184,593.0999999999995,140.03749999999988
38,PAR-0038,0.899,54,177.20000000000005,41.838888888888896
39,PAR-0039,0.8965,107,346.2999999999999,81.76527777777775
40,PAR-0040,0.896,118,383.3000000000001,90.50138888888891
