,ID,Time Taken(s),Total Power(J),CPU(J),Monitor(J),Disk(J),Base(J)
0,BAT-0000,134,447.1999999999997,252.39999999999978,0.0,0.0,201.0
1,BAT-0001,57,189.29999999999998,106.70000000000002,0.0,0.0,85.5
2,BAT-0002,88,293.1999999999999,164.99999999999997,0.0,0.0,132.0
3,BAT-0003,116,387.4999999999999,219.10000000000005,0.0,0.0,174.0
4,BAT-0004,21,68.8,38.300000000000004,0.0,0.0,31.5
5,BAT-0005,100,333.7000000000001,188.2999999999999,0.0,0.0,150.0
6,BAT-0006,37,122.7,68.4,0.0,0.0,55.5
7,BAT-0007,151,503.7999999999999,284.39999999999986,0.0,0.0,226.5
8,BAT-0008,64,217.19999999999987,124.19999999999996,0.0,0.0,96.0
9,BAT-0009,44,148.3,84.10000000000001,0.0,0.0,66.0
10,BAT-0010,83,280.5999999999999,159.0999999999999,0.0,0.0,124.5
11,BAT-0011,63,211.09999999999997,119.8,0.0,0.0,94.5
12,BAT-0012,73,244.4999999999999,138.00000000000006,0.0,0.0,109.5
13,BAT-0013,16,54.500000000000014,31.3,0.0,0.0,24.0
14,BAT-0014,27,90.6,51.2,0.0,0.0,40.5
15,BAT-0015,55,183.10000000000002,103.0,0.0,0.0,82.5
16,BAT-0016,114,379.80000000000024,213.4999999999998,0.0,0.0,171.0
17,BAT-0017,201,669.2000000000006,376.5000000000003,0.0,0.0,301.5
18,BAT-0018,23,74.7,41.2,0.0,0.0,34.5
19,BAT-0019,95,319.6,181.29999999999987,0.0,0.0,142.5
20,BAT-0020,11,37.2,21.3,0.0,0.0,16.5
21,BAT-0021,91,304.89999999999986,172.9999999999999,0.0,0.0,136.5
22,BAT-0022,114,383.6000000000003,217.8999999999999,0.0,0.0,171.0
23,BAT-0023,192,640.6000000000008,360.40000000000015,0.0,0.0,288.0
24,BAT-0024,57,190.59999999999994,107.39999999999999,0.0,0.0,85.5
25,BAT-0025,193,645.4999999999999,365.7,0.0,0.0,289.5
26,BAT-0026,183,611.0000000000001,344.09999999999985,0.0,0.0,274.5
27,BAT-0027,200,683.800000000001,391.79999999999995,0.0,0.4,300.0
28,BAT-0028,55,187.20000000000002,107.10000000000002,0.0,0.0,82.5
29,BAT-0029,85,287.29999999999995,163.4,0.0,0.0,127.5
30,BAT-0030,32,105.99999999999997,59.70000000000001,0.0,0.0,48.0
31,BAT-0031,36,121.8,69.40000000000002,0.0,0.0,54.0
32,BAT-0032,30,101.69999999999999,58.000000000000014,0.0,0.0,45.0
33,BAT-0033,181,597.5,333.50000000000006,0.0,0.0,271.5
34,BAT-0034,288,960.8000000000006,539.6000000000007,0.0,0.0,432.0
35,BAT-0035,49,164.20000000000002,92.9,0.0,0.0,73.5
36,BAT-0036,120,402.9000000000001,227.3999999999998,0.0,0.0,180.0
37,BAT-0037,72,240.0999999999999,135.4,0.0,0.0,108.0
38,BAT-0038,125,421.70000000000005,238.8999999999997,0.0,0.0,187.5
39,BAT-0039,25,85.60000000000001,49.00000000000001,0.0,0.0,37.5
40,BAT-0040,152,511.7000000000003,290.09999999999974,0.0,0.0,228.0
41,BAT-0041,95,320.09999999999997,182.29999999999998,0.0,0.0,142.5
42,BAT-0042,82,276.79999999999995,157.09999999999988,0.0,0.0,123.0
43,BAT-0043,68,226.19999999999993,126.99999999999999,0.0,0.0,102.0
44,BAT-0044,44,147.39999999999998,83.9,0.0,0.0,66.0
