,ID,population_size,loudness,pulse_rate,gamma,alpha,min_frequency,max_frequency,n_estimator,criterion,max_feature
0,BAT-0000,45,0.4953294691693303,0.6002920007053112,0.15741050805604714,0.8917689509621813,9.21422629852615,78.4827738814337,880,entropy,sqrt
1,BAT-0001,95,0.8614281821799779,0.796477014594362,0.16222991347347518,0.12790798540042644,6.31227604521258,69.61764669660025,385,entropy,sqrt
2,BAT-0002,46,0.469268967807294,0.5999621548448113,0.22523810684728834,0.17504468096718218,7.651571368248174,81.18505528441574,876,gini,sqrt
3,BAT-0003,28,0.19172373563054307,0.2647039138571946,0.6652693727626408,0.34930858437150325,8.610417751508262,88.6826965509445,325,entropy,
4,BAT-0004,37,0.3743900780349997,0.5345462018375161,0.6931028571396962,0.7495520167868096,4.301354431109951,41.81352364467864,204,gini,log2
5,BAT-0005,42,0.26446446235969523,0.3095966358709754,0.9872249661735413,0.13270653912914537,0.8656813233197913,82.96179218092723,649,entropy,log2
6,BAT-0006,84,0.9075516816611183,0.37225660721791964,0.22408184642694617,0.9563013940921281,2.953998425463765,63.50183494975716,379,gini,log2
7,BAT-0007,86,0.27455768975089956,0.7247456603025114,0.2334964509928879,0.847376332746871,3.2690122425907098,58.24871547638601,687,gini,
8,BAT-0008,18,0.943559675266398,0.45509929411316896,0.4526998610624483,0.730451281833682,2.8940862906654496,10.2795592623251,402,entropy,sqrt
9,BAT-0009,86,0.9313760525356022,0.9558268591464495,0.5356075977122547,0.5224503667152683,7.632338519020548,62.88804963998271,294,entropy,sqrt
10,BAT-0010,30,0.8217451290912786,0.6766779538683375,0.2901886951261252,0.6059828307794728,6.46126341665839,94.1030930820384,810,gini,sqrt
11,BAT-0011,24,0.9514379964172043,0.9552037985857991,0.954979481081112,0.9832290651111284,9.267307256274538,49.37099501970248,416,entropy,sqrt
12,BAT-0012,58,0.9591395464133698,0.7408573137407606,0.3644356852168029,0.2967467442313971,1.998412489993605,73.26024074396044,484,entropy,sqrt
13,BAT-0013,28,0.2133188744693481,0.9272489708535614,0.996518494429931,0.2886065558874167,7.501941247213017,42.5505689402025,145,gini,log2
14,BAT-0014,62,0.7278026364168874,0.3948473872865461,0.9309400307782966,0.8987533396817095,7.254370861165908,22.576738510818863,265,gini,sqrt
15,BAT-0015,57,0.4279958124362516,0.3661934531039721,0.9844282578583979,0.32446495574462114,1.9856261652856844,98.96539614378602,358,entropy,sqrt
16,BAT-0016,66,0.16879607486148537,0.6611076113128105,0.7283612980269232,0.8016841188373117,9.490899170058187,84.74082131200986,741,entropy,log2
17,BAT-0017,42,0.6208195110875413,0.26494186328531566,0.5607603348986903,0.6666040383273526,3.1093890585768156,55.69594158010473,567,entropy,
18,BAT-0018,77,0.44340278348734463,0.2136016495205439,0.38722075892985186,0.1783390552515336,5.153788730438005,80.18130928889885,251,gini,log2
19,BAT-0019,18,0.5162230059330248,0.6644478861681289,0.6647033831174985,0.8390631936804084,1.8408124595895314,96.49468050716096,616,entropy,log2
20,BAT-0020,79,0.8295089967508756,0.21983401782558698,0.3962679129092186,0.6090452814909574,4.361669193659439,14.99869539380345,98,gini,log2
21,BAT-0021,38,0.1866942147781303,0.6800599092280869,0.6065996164688351,0.3245820304957759,6.853741091069763,61.49632082357167,913,gini,log2
22,BAT-0022,70,0.4261897009635769,0.5147014833649249,0.8794303093684457,0.41123411247694985,7.149174732910839,84.96864557194183,517,gini,
23,BAT-0023,97,0.9438204041366877,0.396522923244772,0.4146905428757267,0.5522537806491677,2.7311627730694776,28.57121461763877,877,gini,
24,BAT-0024,31,0.7834359412097152,0.6560579552300403,0.35133659228627057,0.389137313630459,6.986187724201986,40.74557088909562,161,entropy,
25,BAT-0025,59,0.5113189889790577,0.8724472759760682,0.3442555897010584,0.4285103223276988,2.935810101656824,76.00583555874913,874,gini,
26,BAT-0026,48,0.5510684224375982,0.9916425559013071,0.2850307278295682,0.49387837409969304,1.9421330802475167,87.29566367063187,836,gini,
27,BAT-0027,87,0.5514650862130996,0.4302035654023899,0.7519909622090749,0.19215419279603912,4.8499423824530705,93.85206702237484,894,gini,
28,BAT-0028,22,0.4471843203722451,0.9893366905166878,0.557994608463538,0.9789733323749332,7.985802467045852,95.53390124107221,247,gini,
29,BAT-0029,34,0.5402185450894988,0.22575801870981094,0.5491954406464407,0.9317165861243726,7.794124570577695,86.87230045164576,240,entropy,
30,BAT-0030,77,0.4050042914285511,0.8805672101028759,0.5678179196974483,0.7160913497937218,3.545830887564101,14.876206429419117,208,entropy,sqrt
31,BAT-0031,51,0.8594035075272777,0.5766929570405519,0.6698730192198146,0.3326802884659725,8.333117161938947,18.096051831957595,226,entropy,sqrt
32,BAT-0032,83,0.32638821797352974,0.618094862669746,0.9988797583649928,0.13051427702629836,8.035092387918034,57.02979122201562,194,entropy,sqrt
33,BAT-0033,39,0.7154766811386368,0.59313855013097,0.8689894447143621,0.9629963044472181,1.8461442142447737,18.68264629945117,512,entropy,
34,BAT-0034,59,0.10450093125557516,0.9545704419542261,0.3187595810321446,0.3443622237400129,7.394612003804263,52.76033902090396,816,entropy,
35,BAT-0035,43,0.4008086187454959,0.7634873928283312,0.6478955208513529,0.6793373761615064,5.727610090599553,59.26329780815977,497,gini,sqrt
36,BAT-0036,65,0.5152574067731476,0.5821280001876377,0.587595068237799,0.7619400210089619,1.6199968179224755,64.60604749074813,769,entropy,sqrt
