,ID,Time Taken(s),Total Power(J),CPU(J),Monitor(J),Disk(J),Base(J)
0,CAM-0000,146,533.0999999999997,317.5999999999999,0.0,0.0,219.0
1,CAM-0001,333,1172.2000000000007,683.800000000001,0.0,0.4,499.5
2,CAM-0002,94,323.20000000000016,186.49999999999997,0.0,0.0,141.0
3,CAM-0003,244,837.1000000000006,481.79999999999995,0.0,0.0,366.0
4,CAM-0004,24,81.30000000000001,46.6,0.0,0.0,36.0
5,CAM-0005,75,258.9999999999999,150.5,0.0,0.0,112.5
6,CAM-0006,61,210.9,121.69999999999999,0.0,0.0,91.5
7,CAM-0007,87,297.39999999999986,170.29999999999995,0.0,0.0,130.5
8,CAM-0008,16,55.00000000000001,31.799999999999997,0.0,0.0,24.0
9,CAM-0009,102,348.1000000000001,199.69999999999982,0.0,0.1,153.0
10,CAM-0010,199,677.2000000000005,388.6000000000003,0.0,0.0,298.5
11,CAM-0011,12,41.5,24.200000000000003,0.0,0.0,18.0
12,CAM-0012,85,287.59999999999985,164.19999999999996,0.0,0.0,127.5
13,CAM-0013,42,143.3,82.50000000000003,0.0,0.0,63.0
14,CAM-0014,56,192.19999999999993,110.09999999999998,0.0,0.0,84.0
15,CAM-0015,145,496.80000000000007,286.1,0.0,0.0,217.5
16,CAM-0016,113,388.1999999999999,223.89999999999998,0.0,0.0,169.5
17,CAM-0017,84,286.79999999999995,164.2,0.0,0.0,126.0
18,CAM-0018,97,331.89999999999986,190.1,0.0,0.0,145.5
19,CAM-0019,54,185.09999999999994,106.19999999999997,0.0,0.0,81.0
20,CAM-0020,94,316.70000000000005,179.79999999999995,0.0,0.0,141.0
21,CAM-0021,89,301.09999999999997,171.29999999999995,0.0,0.0,133.5
22,CAM-0022,20,69.00000000000001,39.50000000000001,0.0,0.0,30.0
23,CAM-0023,34,118.7,68.9,0.0,0.0,51.0
24,CAM-0024,86,290.9999999999999,165.2999999999999,0.0,0.0,129.0
25,CAM-0025,109,391.6000000000001,231.69999999999982,0.0,0.5,163.5
26,CAM-0026,92,313.99999999999994,180.29999999999995,0.0,0.0,138.0
27,CAM-0027,93,319.19999999999993,184.09999999999997,0.0,0.0,139.5
28,CAM-0028,85,290.70000000000005,167.39999999999992,0.0,0.0,127.5
29,CAM-0029,84,282.7,160.49999999999991,0.0,0.0,126.0
30,CAM-0030,74,251.49999999999997,143.89999999999995,0.0,0.0,111.0
31,CAM-0031,137,474.0000000000002,272.7999999999998,0.0,0.0,205.5
32,CAM-0032,30,102.39999999999999,58.7,0.0,0.0,45.0
33,CAM-0033,331,1123.8000000000006,640.6000000000007,0.0,0.0,496.5
34,CAM-0034,24,81.8,46.800000000000004,0.0,0.0,36.0
35,CAM-0035,215,742.9000000000002,429.7000000000001,0.0,0.2,322.5
36,CAM-0036,126,436.09999999999985,253.09999999999985,0.0,0.1,189.0
37,CAM-0037,350,1210.9999999999998,701.7,0.0,0.1,525.0
38,CAM-0038,115,397.39999999999986,227.19999999999987,0.0,0.0,172.5
39,CAM-0039,15,50.8,28.5,0.0,0.0,22.5
40,CAM-0040,280,965.0000000000016,550.2000000000007,0.0,0.3,420.0
41,CAM-0041,32,110.60000000000002,63.10000000000002,0.0,0.0,48.0
42,CAM-0042,24,83.6,47.9,0.0,0.0,36.0
43,CAM-0043,52,176.99999999999997,100.2,0.0,0.0,78.0
44,CAM-0044,127,423.19999999999993,237.30000000000007,0.0,0.1,190.5
45,CAM-0045,89,292.4000000000001,163.29999999999995,0.0,0.0,133.5
46,CAM-0046,117,379.6999999999999,209.39999999999995,0.0,0.0,175.5
47,CAM-0047,22,72.7,40.7,0.0,0.0,33.0
48,CAM-0048,137,447.5999999999999,248.00000000000006,0.0,0.0,205.5
49,CAM-0049,273,893.1999999999986,495.7,0.0,0.0,409.5
50,CAM-0050,40,130.30000000000004,71.99999999999999,0.0,0.0,60.0
51,CAM-0051,74,244.6,137.59999999999997,0.0,0.0,111.0
52,CAM-0052,5,16.1,9.0,0.0,0.0,7.5
53,CAM-0053,38,123.60000000000005,68.2,0.0,0.0,57.0
54,CAM-0054,71,231.00000000000009,127.20000000000007,0.0,0.0,106.5
55,CAM-0055,93,308.5,173.50000000000006,0.0,0.0,139.5
56,CAM-0056,75,243.50000000000006,134.39999999999998,0.0,0.0,112.5
57,CAM-0057,85,277.4000000000001,153.4,0.0,0.0,127.5
58,CAM-0058,38,123.40000000000002,67.8,0.0,0.0,57.0
59,CAM-0059,57,198.10000000000008,115.40000000000003,0.0,0.1,85.5
60,CAM-0060,53,183.09999999999997,105.69999999999996,0.0,0.0,79.5
61,CAM-0061,23,76.79999999999998,42.9,0.0,0.0,34.5
62,CAM-0062,20,65.6,36.300000000000004,0.0,0.0,30.0
63,CAM-0063,66,217.79999999999998,121.39999999999998,0.0,0.0,99.0
64,CAM-0064,83,271.6000000000001,150.79999999999995,0.0,0.0,124.5
65,CAM-0065,130,426.49999999999994,237.8,0.0,0.0,195.0
66,CAM-0066,34,112.60000000000002,63.19999999999999,0.0,0.0,51.0
67,CAM-0067,15,48.599999999999994,26.599999999999994,0.0,0.0,22.5
68,CAM-0068,193,656.5000000000005,374.6000000000002,0.0,0.0,289.5
69,CAM-0069,83,283.49999999999994,160.59999999999994,0.0,0.0,124.5
70,CAM-0070,85,294.79999999999995,168.49999999999997,0.0,0.0,127.5
71,CAM-0071,186,640.2000000000005,365.1999999999999,0.0,0.0,279.0
72,CAM-0072,89,305.59999999999985,174.49999999999997,0.0,0.0,133.5
73,CAM-0073,82,281.69999999999993,160.7999999999999,0.0,0.0,123.0
74,CAM-0074,127,417.69999999999965,233.0999999999999,0.0,0.0,190.5
75,CAM-0075,76,250.10000000000016,139.10000000000005,0.0,0.0,114.0
76,CAM-0076,106,348.70000000000016,194.19999999999993,0.0,0.0,159.0
77,CAM-0077,51,167.3,93.10000000000001,0.0,0.0,76.5
