,ID,population_size,burden_factor,death_rate,visibility,supply_init,endurance_init,min_temperature,max_temperature,n_estimator,criterion,max_feature
0,CAM-0000,45,0.8917689509621813,0.15741050805604714,0.33951358433762857,556.3241207828955,439.25496574370027,-7.857737014738504,76.33105126957706,880,entropy,sqrt
1,CAM-0001,29,0.2467377051902176,0.9056761446063374,0.6698120059714505,340.43479935024084,864.1309972100481,-42.299384908307466,97.57636874894732,893,entropy,
2,CAM-0002,83,0.3769517731710098,0.3689814633457428,0.5497261056577791,123.09406136530002,557.3159322079924,-30.941571553040248,98.4836083645137,917,gini,log2
3,CAM-0003,87,0.591356058300558,0.9470820965935105,0.5062922581428781,613.7033269952211,968.051844395545,-64.69682815818304,92.84586266135496,669,entropy,
4,CAM-0004,66,0.7333906711591793,0.2642842917321878,0.9899317779444482,918.6727470542951,805.8262339193453,-71.12474810357816,12.505354111150321,98,gini,
5,CAM-0005,20,0.9502850914815713,0.5517841693321563,0.514481763996164,429.033302276099,923.103502815024,-7.218378665341632,38.57734280161233,737,gini,log2
6,CAM-0006,34,0.7607996563043902,0.15939533984126597,0.23566591117122537,551.0287405546053,150.28863766980083,-8.871211136353324,63.29805245469342,589,gini,log2
7,CAM-0007,47,0.9430898741023135,0.36275577213858035,0.13887579500156877,549.4647864539018,206.75805648692292,-68.59711566965127,47.804686220099576,554,entropy,sqrt
8,CAM-0008,86,0.580246621086023,0.4093601467559316,0.6768649565236758,299.9019008688672,850.2995943068054,-8.675493798085554,82.37551959004898,95,entropy,sqrt
9,CAM-0009,65,0.9047870661549403,0.5883129902785321,0.979440355310594,839.064754315762,809.5110023205153,-98.24335582668941,29.882381521635914,641,entropy,log2
10,CAM-0010,95,0.43952672032706674,0.4400666676164132,0.3845304835023363,946.0961760230967,856.2969397052201,-1.8634372098746184,91.10018901516531,873,gini,
11,CAM-0011,33,0.7896095433203657,0.5891473581806405,0.5498069278009239,806.6840108641693,344.9548422283768,-75.29060769299723,84.64952580044942,117,gini,sqrt
12,CAM-0012,31,0.6854827573576056,0.9395326057953914,0.9897259912388007,89.32743963212671,200.08076066162994,-28.69310723763141,2.470475349470092,802,gini,sqrt
13,CAM-0013,75,0.816176066984891,0.6741978568462297,0.36398053030826805,556.1959379795188,291.8057232511627,-79.68292390912242,74.63437819979654,183,gini,
14,CAM-0014,27,0.4123937722601745,0.9369378663694415,0.8184584456438545,674.2627260707087,440.9495823079437,-29.260285045480927,40.12086301770953,524,gini,log2
15,CAM-0015,31,0.41873955247130734,0.29512447454731205,0.4753433418767984,731.8825789534,906.2333121056502,-60.62462726086303,51.15190070883384,910,entropy,sqrt
16,CAM-0016,74,0.37305545776371174,0.24905208769585185,0.4972823920369027,262.3485504282263,213.69187918367928,-87.93085003744272,83.67072114825568,489,gini,
17,CAM-0017,11,0.9286589009744551,0.2389185576312431,0.10704581605214455,228.44071085530334,233.35364591361352,-21.192374956532063,2.144705750722099,794,gini,log2
18,CAM-0018,13,0.24032132802993494,0.1454359611656469,0.9791180111349198,136.98025982926998,646.9494422074062,-40.682919530451514,10.527146081384602,264,entropy,
19,CAM-0019,99,0.28563416215876963,0.3325616586067756,0.7343557362388795,627.0229194826939,606.3648070506616,-14.209726280085704,13.856484679509359,513,gini,log2
20,CAM-0020,27,0.26768378104768115,0.5449125748596525,0.3278068029376643,875.3708777209383,288.3317044132352,-77.89927256179432,55.612526169861994,909,gini,log2
21,CAM-0021,53,0.6395986568694544,0.3059803223158595,0.45580499409958786,798.8746035901117,52.31042164168498,-14.041789330570069,86.80844591265479,558,entropy,sqrt
22,CAM-0022,60,0.3644091733533651,0.6360367094436612,0.8034612547072137,867.6679943400783,825.7191844364302,-84.06572446698506,25.819158096038638,191,gini,log2
23,CAM-0023,84,0.30776044206102027,0.6443946722898031,0.7366424288090097,91.53507797438327,606.1505033313621,-70.90824851949449,45.70539205877513,315,gini,log2
24,CAM-0024,71,0.46048489293663986,0.9813481761021314,0.15693924793052283,182.88089394376453,923.3394522956472,-90.48941652956289,75.19757177339068,234,entropy,
25,CAM-0025,35,0.680739827110035,0.7074454863545705,0.9087797316334744,990.4355835542674,580.3327952965132,-88.9855468065863,52.676067387327095,667,entropy,sqrt
26,CAM-0026,16,0.42241150554610696,0.44238436894365274,0.5761976514244636,244.2205837588592,482.5951098580259,-80.85770490140594,79.53619867610762,896,gini,sqrt
27,CAM-0027,14,0.9950401295530117,0.7371741762356608,0.5985378624965391,585.931911934741,428.0963881186934,-96.05983688191692,93.00053575255451,874,gini,sqrt
28,CAM-0028,60,0.7944430747907847,0.1443581066649819,0.8906044166183108,516.1423412302189,325.193772526986,-77.2040015946551,19.623378623227637,824,gini,sqrt
29,CAM-0029,21,0.3101715073642999,0.8706008334526455,0.9728644244714749,743.5584086841657,276.9107653790146,-78.14912270635166,14.699167007225826,810,gini,log2
30,CAM-0030,35,0.601313256583943,0.7114266746049118,0.9071422391820326,352.1644183080739,919.857071372821,-7.434984315242389,10.375074788331034,329,gini,
31,CAM-0031,82,0.6281175571275495,0.2691275231337721,0.6905259738850692,790.3009953987568,619.5232987512902,-5.6844832576380355,80.21547059916223,586,gini,
32,CAM-0032,71,0.22498915337645772,0.6084060856067435,0.42688456946798614,184.01029772687815,476.4430904852582,-64.32087417656152,6.791382682372594,294,gini,log2
33,CAM-0033,94,0.7798845240478768,0.10037934863762396,0.8545645402646658,813.3682768123901,281.59984435074136,-95.47166140168135,10.756956098713811,907,entropy,
34,CAM-0034,70,0.38291123814289807,0.5484645849601852,0.17045392710495655,606.2089697173184,319.3331755688681,-57.68600218657129,5.426450662730014,108,gini,
35,CAM-0035,64,0.9717083228842099,0.7932439775400973,0.6291832006565957,955.6611163362262,342.17022994408075,-71.21002305390347,99.85873623642327,931,gini,
36,CAM-0036,34,0.11869441531564355,0.5740664669040253,0.6985226279379863,278.49942921391676,773.6619901837016,-46.48436714286126,1.9918635033143817,798,entropy,sqrt
37,CAM-0037,97,0.8749921420687178,0.2962857359406272,0.2340023285871453,321.43337092909576,986.1071795817967,-78.1833835969771,26.345390034239657,949,entropy,
38,CAM-0038,84,0.23515694159875491,0.6555897858453605,0.711312383624066,216.95646157563795,633.9906236887061,-46.87202720234331,6.127237002764722,725,entropy,log2
39,CAM-0039,65,0.7563914599536303,0.5123690061195515,0.8731840584236166,282.82357560754224,543.376846578537,-41.9842721513482,10.27977027948683,133,gini,log2
40,CAM-0040,40,0.4904427148552368,0.8175587732206904,0.1503424474683955,525.4937942698891,708.7853176572105,-39.54197613637637,18.437265302852555,770,entropy,
41,CAM-0041,87,0.145381620593803,0.8507814906607828,0.18291706268353752,150.84075299389835,24.810346284198538,-37.5892917920115,26.053324303014342,198,entropy,sqrt
42,CAM-0042,56,0.29253501120014136,0.5318732851651565,0.5777533877083783,727.0266075748797,369.357707548431,-91.3612442812333,42.84147362425472,108,gini,
43,CAM-0043,43,0.6729723826580212,0.8444450824124794,0.8132990657298977,496.4343334921011,9.703478458913505,-61.42897822273095,78.50782169823337,226,gini,
44,CAM-0044,32,0.8236425062854004,0.2719713367896243,0.9918474318514253,444.0770180167378,577.2684486485081,-95.08011829711707,98.37993793694208,353,entropy,
45,CAM-0045,28,0.5412069803582148,0.6594055061330226,0.38085937968618655,903.0614939149225,591.9051793709859,-37.74873343432833,56.85517996031078,389,gini,
46,CAM-0046,39,0.8498143663556713,0.7650726552555416,0.9151323741334526,659.4163091879759,965.3959226786574,-91.14604103034736,8.451608962632044,325,entropy,
47,CAM-0047,97,0.16803632625570325,0.13816438539486664,0.89256575739282,665.8748656674042,531.8941378175209,-88.63594963960317,8.815649450005365,208,gini,sqrt
48,CAM-0048,46,0.5294833177005931,0.815579366157009,0.9715630744427873,980.2086703212478,958.6472491171373,-80.06114484009763,8.770059908756771,620,gini,
49,CAM-0049,83,0.611322627867953,0.1108088816433491,0.1852880857628611,835.3958130138794,283.5373438908974,-97.1763860906489,75.28453466624765,757,entropy,
50,CAM-0050,42,0.12129272596717977,0.8011976541778338,0.5503591153244557,913.2890301670919,696.8523868838452,-96.61063883041538,39.450864995979146,385,gini,sqrt
51,CAM-0051,12,0.3500040767162236,0.6900461121089209,0.5012011261811767,813.1233976081771,53.22475376053282,-56.316063406283725,13.690045982735251,469,entropy,sqrt
52,CAM-0052,52,0.14094934557306485,0.8619884331936416,0.5639742174292457,357.1722715957454,361.8433478393469,-54.2474027129046,71.9145824385016,31,entropy,log2
53,CAM-0053,90,0.1841772199898938,0.8139725778797211,0.447382955421081,299.3444521934667,147.7375118762644,-84.9003663826697,35.085207342788536,364,gini,sqrt
54,CAM-0054,33,0.4646068863362762,0.8593954912800145,0.7114585670153559,710.4647323934038,714.4310792108012,-49.015784813919986,59.73608686664705,698,gini,log2
55,CAM-0055,36,0.9616626845557229,0.8400018432524541,0.9416691459146875,505.811059198173,254.6192530318009,-31.843233963760355,15.456237767873311,900,gini,sqrt
56,CAM-0056,96,0.798750229450795,0.48106732729444945,0.20650365411782717,971.4323740004501,739.4368775062189,-47.060291512582275,66.32037016957027,746,gini,log2
57,CAM-0057,81,0.2892585674090277,0.6389503626139771,0.851779919599792,342.6939445242187,271.15960731979493,-26.676630965851217,4.310706723114711,829,gini,log2
58,CAM-0058,54,0.6574603970257968,0.8265004471130594,0.7999336073676928,8.521127840223023,45.568144134593204,-21.130246641984783,5.470177213258817,364,gini,sqrt
59,CAM-0059,74,0.5378439956653048,0.9869475042496697,0.3651285193245304,864.1614041124706,449.3063765622549,-18.527506854906164,3.790055819733655,540,gini,sqrt
60,CAM-0060,77,0.3171924635084269,0.5587362259305433,0.6189828694855803,444.3593100990363,584.077515948782,-91.91815411443731,59.395678726577465,326,entropy,log2
61,CAM-0061,79,0.4924652985032052,0.9257420304107514,0.9199932490677344,689.3519474760104,760.8839808734134,-68.96395866566351,36.14092445330257,211,gini,sqrt
62,CAM-0062,18,0.2680672743071928,0.5059400724440287,0.2670000577099252,262.395334302013,677.3007064702904,-21.655083065707743,94.78424461315315,210,gini,log2
63,CAM-0063,32,0.9565427004944149,0.8964504459785037,0.8874569317615684,852.9758925853885,787.0643615791859,-99.28361330838632,39.831708643943166,626,gini,sqrt
64,CAM-0064,99,0.6397131537588686,0.5942716367537121,0.7649336578928428,723.1542336452517,874.7822163510604,-32.066470155396615,83.10893757393053,811,gini,sqrt
