,ID,Time Taken(s),Total Power(J),CPU(J),Monitor(J),Disk(J),Base(J)
0,CUC-0000,25,95.4,58.600000000000016,0.0,0.0,37.5
1,CUC-0001,180,630.1,363.9000000000005,0.0,0.0,270.0
2,CUC-0002,15,54.599999999999994,32.599999999999994,0.0,0.0,22.5
3,CUC-0003,106,478.4999999999997,295.30000000000007,0.0,26.70000000000001,159.0
4,CUC-0004,104,375.6,221.3000000000001,0.0,0.0,156.0
5,CUC-0005,40,147.29999999999998,88.59999999999998,0.0,0.0,60.0
6,CUC-0006,96,341.9999999999999,199.70000000000005,0.0,0.0,144.0
7,CUC-0007,220,786.3999999999995,460.9999999999997,0.0,0.1,330.0
8,CUC-0008,95,339.39999999999986,198.60000000000005,0.0,0.1,142.5
9,CUC-0009,13,47.199999999999996,27.999999999999996,0.0,0.0,19.5
10,CUC-0010,35,128.09999999999997,76.69999999999999,0.0,0.0,52.5
11,CUC-0011,28,92.50000000000003,51.5,0.0,0.0,42.0
12,CUC-0012,92,309.3,174.69999999999996,0.0,0.0,138.0
13,CUC-0013,83,304.90000000000003,177.99999999999997,0.0,6.299999999999999,124.5
14,CUC-0014,62,205.79999999999995,115.49999999999999,0.0,0.0,93.0
15,CUC-0015,261,866.3000000000003,486.90000000000026,0.0,0.0,391.5
16,CUC-0016,76,253.19999999999996,142.60000000000005,0.0,0.0,114.0
17,CUC-0017,147,486.50000000000006,272.3999999999999,0.0,0.0,220.5
18,CUC-0018,168,561.7000000000003,317.2,0.0,0.0,252.0
19,CUC-0019,175,583.1000000000004,326.7999999999999,0.0,0.7000000000000001,262.5
20,CUC-0020,169,563.3000000000001,316.59999999999974,0.0,0.0,253.5
21,CUC-0021,32,108.10000000000002,61.49999999999999,0.0,0.0,48.0
22,CUC-0022,265,882.0000000000009,495.70000000000033,0.0,0.0,397.5
23,CUC-0023,135,451.1000000000002,253.89999999999986,0.0,0.0,202.5
24,CUC-0024,53,177.10000000000002,99.39999999999998,0.0,0.0,79.5
25,CUC-0025,9,30.800000000000004,17.8,0.0,0.0,13.5
26,CUC-0026,60,200.19999999999996,112.60000000000007,0.0,0.0,90.0
27,CUC-0027,92,309.39999999999986,174.9,0.0,0.0,138.0
28,CUC-0028,123,414.8000000000001,235.1,0.0,0.4,184.5
29,CUC-0029,130,435.09999999999997,245.89999999999986,0.0,0.0,195.0
30,CUC-0030,97,323.59999999999997,182.7999999999999,0.0,0.0,145.5
31,CUC-0031,93,307.79999999999984,172.20000000000005,0.0,0.0,139.5
32,CUC-0032,68,223.00000000000003,124.4,0.0,0.0,102.0
33,CUC-0033,29,96.30000000000001,54.100000000000016,0.0,0.0,43.5
34,CUC-0034,127,419.89999999999986,235.19999999999985,0.0,0.0,190.5
35,CUC-0035,186,618.6000000000004,346.09999999999985,0.0,2.5,279.0
36,CUC-0036,43,142.7,80.1,0.0,0.0,64.5
37,CUC-0037,80,265.69999999999993,149.69999999999993,0.0,0.2,120.0
38,CUC-0038,130,432.7000000000001,244.09999999999985,0.0,0.0,195.0
39,CUC-0039,55,182.19999999999996,102.50000000000003,0.0,0.0,82.5
40,CUC-0040,221,730.0000000000005,407.5000000000001,0.0,0.0,331.5
41,CUC-0041,51,170.5,95.79999999999997,0.0,0.0,76.5
42,CUC-0042,247,820.1000000000012,460.4000000000003,0.0,0.0,370.5
43,CUC-0043,74,245.29999999999998,137.59999999999997,0.0,0.0,111.0
44,CUC-0044,137,485.00000000000006,284.49999999999983,0.0,0.1,205.5
45,CUC-0045,126,419.20000000000016,235.8999999999999,0.0,0.0,189.0
46,CUC-0046,76,255.59999999999994,145.2,0.0,0.0,114.0
47,CUC-0047,132,443.79999999999995,251.79999999999978,0.0,0.0,198.0
48,CUC-0048,114,382.00000000000006,216.69999999999996,0.0,0.0,171.0
49,CUC-0049,132,438.29999999999995,244.89999999999986,0.0,0.0,198.0
50,CUC-0050,87,290.69999999999993,163.80000000000004,0.0,0.0,130.5
51,CUC-0051,34,114.19999999999999,65.1,0.0,0.0,51.0
52,CUC-0052,21,71.1,40.39999999999999,0.0,0.0,31.5
53,CUC-0053,61,204.60000000000002,116.19999999999997,0.0,0.0,91.5
54,CUC-0054,163,546.5000000000001,308.4999999999999,0.0,0.1,244.5
55,CUC-0055,112,376.2,212.7999999999999,0.0,0.0,168.0
56,CUC-0056,109,363.6,204.9999999999998,0.0,0.0,163.5
57,CUC-0057,145,483.29999999999984,272.49999999999983,0.0,0.0,217.5
58,CUC-0058,307,1022.900000000002,576.1000000000008,0.0,0.0,460.5
59,CUC-0059,79,267.6999999999998,152.69999999999996,0.0,0.0,118.5
