,ID,Time Taken(s),Total Power(J),CPU(J),Monitor(J),Disk(J),Base(J)
0,FIR-0000,83,262.4000000000001,141.40000000000003,0.0,0.0,124.5
1,FIR-0001,57,180.00000000000006,96.60000000000001,0.0,0.0,85.5
2,FIR-0002,84,270.4000000000001,147.80000000000004,0.0,0.1,126.0
3,FIR-0003,52,163.20000000000007,87.70000000000005,0.0,0.0,78.0
4,FIR-0004,19,61.49999999999999,34.199999999999996,0.0,0.0,28.5
5,FIR-0005,66,208.80000000000007,112.69999999999997,0.0,0.0,99.0
6,FIR-0006,143,451.3999999999999,243.30000000000013,0.0,0.1,214.5
7,FIR-0007,311,1001.2999999999987,548.2999999999998,0.0,0.1,466.5
8,FIR-0008,215,683.099999999999,370.1000000000001,0.0,0.0,322.5
9,FIR-0009,97,305.1000000000001,163.60000000000005,0.0,0.0,145.5
10,FIR-0010,117,368.9999999999999,198.70000000000005,0.0,0.0,175.5
11,FIR-0011,28,89.99999999999999,49.00000000000001,0.0,0.0,42.0
12,FIR-0012,151,477.6,257.20000000000005,0.0,0.0,226.5
13,FIR-0013,163,515.7999999999997,278.90000000000003,0.0,0.0,244.5
14,FIR-0014,351,1109.5999999999988,597.8999999999995,0.0,0.0,526.5
15,FIR-0015,37,118.00000000000003,63.9,0.0,0.0,55.5
16,FIR-0016,92,290.5000000000001,156.90000000000006,0.0,0.0,138.0
17,FIR-0017,110,347.60000000000014,187.59999999999997,0.0,0.0,165.0
18,FIR-0018,56,175.30000000000007,94.3,0.0,0.0,84.0
19,FIR-0019,93,297.8000000000001,162.20000000000005,0.0,0.0,139.5
20,FIR-0020,137,433.1999999999998,232.80000000000007,0.0,0.0,205.5
21,FIR-0021,43,135.40000000000006,72.89999999999999,0.0,0.0,64.5
22,FIR-0022,92,294.1999999999999,160.20000000000005,0.0,0.1,138.0
23,FIR-0023,64,204.10000000000005,111.39999999999999,0.0,0.1,96.0
24,FIR-0024,132,419.5999999999999,227.10000000000005,0.0,0.0,198.0
25,FIR-0025,12,37.5,20.1,0.0,0.0,18.0
26,FIR-0026,59,189.40000000000012,103.50000000000004,0.0,0.0,88.5
27,FIR-0027,82,259.60000000000014,140.50000000000003,0.0,0.0,123.0
28,FIR-0028,74,232.70000000000013,125.60000000000001,0.0,0.0,111.0
29,FIR-0029,35,109.80000000000001,58.69999999999999,0.0,0.0,52.5
30,FIR-0030,46,148.00000000000003,80.8,0.0,0.0,69.0
31,FIR-0031,84,273.70000000000005,151.19999999999996,0.0,0.0,126.0
32,FIR-0032,7,21.2,11.3,0.0,0.0,10.5
33,FIR-0033,65,207.00000000000003,112.49999999999999,0.0,0.0,97.5
34,FIR-0034,19,62.0,34.5,0.0,0.0,28.5
35,FIR-0035,11,34.199999999999996,18.0,0.0,0.0,16.5
36,FIR-0036,74,233.70000000000005,126.29999999999998,0.0,0.0,111.0
37,FIR-0037,81,256.2000000000002,138.5,0.0,0.0,121.5
38,FIR-0038,131,413.7999999999997,224.00000000000006,0.0,0.0,196.5
39,FIR-0039,138,437.89999999999986,237.7000000000001,0.0,0.0,207.0
40,FIR-0040,73,231.80000000000013,125.4,0.0,0.0,109.5
41,FIR-0041,128,407.0999999999999,220.40000000000006,0.0,0.0,192.0
42,FIR-0042,131,416.5999999999998,226.20000000000005,0.0,0.0,196.5
43,FIR-0043,197,623.2999999999993,337.6,0.0,0.0,295.5
44,FIR-0044,123,394.29999999999995,215.10000000000005,0.0,0.2,184.5
45,FIR-0045,105,348.09999999999997,195.40000000000006,0.0,0.0,157.5
46,FIR-0046,149,473.9999999999999,257.20000000000005,0.0,0.0,223.5
47,FIR-0047,28,89.00000000000001,48.099999999999994,0.0,0.0,42.0
48,FIR-0048,12,39.699999999999996,22.2,0.0,0.0,18.0
49,FIR-0049,86,272.6,147.20000000000005,0.0,0.0,129.0
50,FIR-0050,162,514.0999999999996,278.6,0.0,0.0,243.0
51,FIR-0051,71,224.8000000000001,121.2,0.0,0.0,106.5
52,FIR-0052,62,198.1,108.30000000000001,0.0,0.0,93.0
53,FIR-0053,322,1022.999999999998,555.6999999999996,0.0,0.0,483.0
54,FIR-0054,60,188.70000000000007,101.20000000000003,0.0,0.1,90.0
55,FIR-0055,33,104.20000000000003,55.8,0.0,0.0,49.5
56,FIR-0056,80,259.30000000000007,142.50000000000003,0.0,0.0,120.0
57,FIR-0057,83,264.0,143.2,0.0,0.0,124.5
58,FIR-0058,14,44.7,24.5,0.0,0.0,21.0
59,FIR-0059,43,136.5,73.80000000000001,0.0,0.0,64.5
60,FIR-0060,173,548.3999999999996,296.19999999999993,0.0,0.0,259.5
61,FIR-0061,33,104.3,56.399999999999984,0.0,0.0,49.5
62,FIR-0062,131,414.59999999999974,223.10000000000008,0.0,0.0,196.5
63,FIR-0063,63,201.90000000000012,110.50000000000003,0.0,0.0,94.5
64,FIR-0064,156,499.4999999999995,272.90000000000015,0.0,0.0,234.0
65,FIR-0065,68,217.80000000000007,118.49999999999999,0.0,0.0,102.0
66,FIR-0066,58,185.10000000000005,100.30000000000001,0.0,0.0,87.0
67,FIR-0067,118,375.79999999999995,203.70000000000005,0.0,0.0,177.0
68,FIR-0068,43,137.60000000000002,75.10000000000001,0.0,0.0,64.5
69,FIR-0069,77,246.60000000000005,134.4,0.0,0.0,115.5
70,FIR-0070,104,332.29999999999995,180.70000000000007,0.0,0.0,156.0
71,FIR-0071,157,500.09999999999945,270.80000000000007,0.0,0.0,235.5
72,FIR-0072,81,257.5000000000001,139.1,0.0,0.0,121.5
73,FIR-0073,78,249.4000000000001,136.3,0.0,0.0,117.0
74,FIR-0074,27,85.99999999999999,47.1,0.0,0.0,40.5
75,FIR-0075,128,407.3,220.4,0.0,0.0,192.0
76,FIR-0076,165,526.0999999999999,286.1,0.0,0.1,247.5
77,FIR-0077,72,230.00000000000009,126.60000000000001,0.0,0.0,108.0
78,FIR-0078,47,151.20000000000002,82.9,0.0,0.0,70.5
79,FIR-0079,62,202.10000000000014,111.10000000000001,0.0,0.1,93.0
