,para_str,total (J),cpu (J),monitor (J),disk (J),base (J),prev accuracy,curr accuracy
0,92_01412_0.35780885069155777_01412_806_01412_entropy_01412_sqrt,412.1,231.69999999999982,0.0,0.0,186.0,0.898,0.8985
1,93_01412_0.17642140736590828_01412_666_01412_gini_01412_None,462.8000000000003,258.7999999999998,0.0,0.0,210.0,0.895,0.896
2,93_01412_0.8972010678062589_01412_823_01412_gini_01412_None,597.2000000000006,337.5,0.0,0.0,267.0,0.895,0.896
3,94_01412_0.2642561544111848_01412_688_01412_gini_01412_None,501.3000000000001,281.4999999999998,0.0,0.0,226.5,0.896,0.8955
4,94_01412_0.43348169430894856_01412_71_01412_gini_01412_sqrt,24.200000000000003,13.899999999999999,0.0,0.0,10.5,0.8955,0.8955
5,94_01412_0.6454002770254591_01412_72_01412_gini_01412_log2,23.2,12.899999999999999,0.0,0.0,10.5,0.898,0.897
6,98_01412_0.3908517219941403_01412_610_01412_entropy_01412_log2,310.9,176.49999999999991,0.0,0.0,139.5,0.8975,0.898
7,98_01412_0.7462923947256317_01412_610_01412_gini_01412_None,438.0000000000001,245.5999999999998,0.0,0.0,198.0,0.8955,0.895
8,98_01412_0.9125578852919798_01412_610_01412_entropy_01412_sqrt,310.80000000000007,174.6999999999999,0.0,0.0,139.5,0.898,0.8985
9,98_01412_0.9417252253937782_01412_610_01412_entropy_01412_log2,308.59999999999997,172.8999999999999,0.0,0.0,139.5,0.898,0.8985
