,para_str,total (J),cpu (J),monitor (J),disk (J),base (J),prev accuracy,curr accuracy
0,91_01412_2.704741634341676_01412_2.357163305143348_01412_0.33244030337154784_01412_-0.16914713467884823_01412_1.646312022716676_01412_wang_01412_922_01412_gini_01412_log2,317.69999999999976,179.19999999999993,0.0,0.0,142.5,0.897,0.8965
1,92_01412_0.02764837596486025_01412_1.9731085634820027_01412_0.95052768147119_01412_-1.6340290197456913_01412_6.077785843141161_01412_limit_01412_211_01412_gini_01412_log2,73.00000000000001,41.400000000000006,0.0,0.0,33.0,0.898,0.8955
2,92_01412_0.9981423577590038_01412_0.5113021438538676_01412_0.6445110102534299_01412_-4.278186575158704_01412_5.344901667618234_01412_limit_inverse_01412_688_01412_entropy_01412_sqrt,364.3,206.19999999999987,0.0,0.0,163.5,0.898,0.8985
3,93_01412_3.7436005911368513_01412_1.6686946151749145_01412_0.522424522068217_01412_-0.9968438012486764_01412_2.7115281980679837_01412_limit_01412_917_01412_entropy_01412_log2,484.70000000000005,274.6,0.0,0.0,216.0,0.8985,0.898
4,94_01412_0.06988530011700833_01412_0.09054350717283333_01412_0.46095570914729067_01412_-1.5175423269342403_01412_8.19765113499068_01412_wang_01412_78_01412_gini_01412_None,67.9,39.1,0.0,0.0,30.0,0.8955,0.8945
5,94_01412_2.0521934146057568_01412_2.6107577089982477_01412_0.024541445093642533_01412_-0.5639418021116427_01412_2.8404854851168193_01412_limit_inverse_01412_917_01412_gini_01412_log2,314.59999999999985,176.7,0.0,0.0,142.5,0.896,0.896
6,95_01412_0.10820664649417111_01412_2.1633228490050516_01412_0.4926960805605297_01412_-3.8893539135499964_01412_4.662421452411892_01412_limit_01412_955_01412_gini_01412_None,734.9000000000003,417.8000000000001,0.0,0.0,327.0,0.8965,0.896
7,95_01412_3.308712754318638_01412_1.77731899126595_01412_0.5451183359850342_01412_-7.521277526432513_01412_2.489155922482029_01412_wang_01412_364_01412_gini_01412_None,272.79999999999984,153.00000000000003,0.0,0.0,123.0,0.896,0.897
8,96_01412_2.0080278600549915_01412_2.953493900549278_01412_0.458282794221349_01412_-5.240878847482088_01412_8.26051209557114_01412_wang_01412_886_01412_gini_01412_sqrt,306.4000000000001,172.49999999999997,0.0,0.0,138.0,0.8955,0.897
9,97_01412_3.48637736076165_01412_3.190731641721087_01412_0.8931415381840049_01412_-9.592953257530382_01412_3.9727473001188685_01412_limit_01412_531_01412_gini_01412_None,402.6999999999999,228.09999999999974,0.0,0.0,180.0,0.8965,0.8955
