,population_size,loudness,pulse_rate,gamma,alpha,min_frequency,max_frequency,n_estimators,criterion,max_features,Accuracy,Time_Taken (s),Energy_Consumed (J),Carbon_Produced (g)
0,91,0.15815515861170867,0.7638910483452004,0.42413851876349873,0.6775438321742909,8.739485687806013,90.66533038018946,734,entropy,log2,0.8985,118,394.50000000000006,93.14583333333334
1,91,0.8913680549015369,0.3756356840602375,0.5552988897118324,0.7983762811673834,5.0416350351980865,64.35322747328385,474,entropy,sqrt,0.8985,75,251.8999999999999,59.47638888888886
2,92,0.9771686234270697,0.7014162123723362,0.3997579841745089,0.7458109954413861,7.531525971878763,56.26746267024188,331,gini,log2,0.897,35,118.20000000000003,27.90833333333334
3,93,0.4978640123835224,0.5090871677180451,0.6405368411366579,0.9978071365524831,2.7311981207266167,72.36074137762624,382,gini,None,0.895,89,297.39999999999986,70.2194444444444
4,95,0.8614281821799779,0.796477014594362,0.16222991347347518,0.12790798540042644,6.31227604521258,69.61764669660025,385,entropy,sqrt,0.8965,63,213.2,50.33888888888888
5,97,0.9438204041366877,0.396522923244772,0.4146905428757267,0.5522537806491677,2.7311627730694776,28.57121461763877,877,gini,None,0.8955,200,670.7000000000005,158.35972222222233
6,98,0.1620250793876899,0.7148662079685199,0.5098202571739955,0.2766591676913609,1.8334548704830722,56.605941637707154,453,entropy,log2,0.898,74,250.59999999999994,59.16944444444443
7,98,0.5805667496027078,0.7908295827629502,0.8605589896372443,0.7299708124859677,3.6293641988156766,95.87501351316344,556,entropy,None,0.8965,203,680.8000000000005,160.74444444444455
8,98,0.8421580891314715,0.36058448419170686,0.4229900265402229,0.8974353438812812,5.104054995589838,26.88854018667195,55,entropy,None,0.8965,20,70.20000000000002,16.575000000000003
9,99,0.6065806115722011,0.7300750229310955,0.5671611565357214,0.16376167261209595,0.23221404236269283,97.61762871372734,82,entropy,sqrt,0.896,14,47.7,11.262500000000001
