,para_str,total (J),cpu (J),monitor (J),disk (J),base (J),prev accuracy,curr accuracy
0,87_01412_0.145381620593803_01412_0.8507814906607828_01412_0.18291706268353752_01412_150.84075299389835_01412_24.810346284198538_01412_-37.5892917920115_01412_26.053324303014342_01412_198_01412_entropy_01412_sqrt,118.4,73.89999999999999,0.0,0.0,45.0,0.899,0.8975
1,87_01412_0.44558626008631774_01412_0.14521516092310371_01412_0.42373858475904214_01412_157.9155902042758_01412_5.698624653359574_01412_-64.59495500787072_01412_36.90011209350063_01412_214_01412_entropy_01412_None,257.40000000000003,152.6,0.0,0.0,106.5,0.898,0.899
2,87_01412_0.591356058300558_01412_0.9470820965935105_01412_0.5062922581428781_01412_613.7033269952211_01412_968.051844395545_01412_-64.69682815818304_01412_92.84586266135496_01412_669_01412_entropy_01412_None,868.0000000000001,513.6999999999999,0.0,0.1,360.0,0.8975,0.8975
3,88_01412_0.6855548769205401_01412_0.9378448057187535_01412_0.22066914522309472_01412_369.09122134564103_01412_330.78086163289123_01412_-92.39159294297671_01412_37.993249112150885_01412_577_01412_entropy_01412_sqrt,338.9,201.69999999999996,0.0,0.0,139.5,0.897,0.899
4,94_01412_0.7798845240478768_01412_0.10037934863762396_01412_0.8545645402646658_01412_813.3682768123901_01412_281.59984435074136_01412_-95.47166140168135_01412_10.756956098713811_01412_907_01412_entropy_01412_None,1149.5000000000005,664.4000000000007,0.0,0.2,495.0,0.8975,0.898
5,95_01412_0.43952672032706674_01412_0.4400666676164132_01412_0.3845304835023363_01412_946.0961760230967_01412_856.2969397052201_01412_-1.8634372098746184_01412_91.10018901516531_01412_873_01412_gini_01412_None,646.9000000000003,364.2000000000002,0.0,0.0,291.0,0.8955,0.8945
6,96_01412_0.798750229450795_01412_0.48106732729444945_01412_0.20650365411782717_01412_971.4323740004501_01412_739.4368775062189_01412_-47.060291512582275_01412_66.32037016957027_01412_746_01412_gini_01412_log2,253.69999999999982,143.2999999999999,0.0,0.0,114.0,0.897,0.8975
7,97_01412_0.8749921420687178_01412_0.2962857359406272_01412_0.2340023285871453_01412_321.43337092909576_01412_986.1071795817967_01412_-78.1833835969771_01412_26.345390034239657_01412_949_01412_entropy_01412_None,1181.6,681.0000000000005,0.0,0.0,516.0,0.8985,0.897
8,99_01412_0.28563416215876963_01412_0.3325616586067756_01412_0.7343557362388795_01412_627.0229194826939_01412_606.3648070506616_01412_-14.209726280085704_01412_13.856484679509359_01412_513_01412_gini_01412_log2,179.29999999999995,100.6,0.0,0.0,81.0,0.896,0.8955
9,99_01412_0.6397131537588686_01412_0.5942716367537121_01412_0.7649336578928428_01412_723.1542336452517_01412_874.7822163510604_01412_-32.066470155396615_01412_83.10893757393053_01412_811_01412_gini_01412_sqrt,282.9999999999999,160.49999999999994,0.0,0.0,126.0,0.896,0.8985
