,population_size,Probability_Abandonment,n_estimators,criterion,max_features,Accuracy,Time_Taken (s),Energy_Consumed (J),Carbon_Produced (g)
0,92,0.35780885069155777,806,entropy,sqrt,0.8985,125,412.1,97.3013888888889
1,93,0.17642140736590828,666,gini,None,0.896,142,462.8000000000003,109.27222222222228
2,93,0.8972010678062589,823,gini,None,0.896,179,597.2000000000006,141.0055555555557
3,94,0.2642561544111848,688,gini,None,0.8955,152,501.3000000000001,118.36250000000003
4,94,0.43348169430894856,71,gini,sqrt,0.8955,7,24.200000000000003,5.7138888888888895
5,94,0.6454002770254591,72,gini,log2,0.897,7,23.2,5.477777777777778
6,98,0.3908517219941403,610,entropy,log2,0.898,93,310.9,73.40694444444443
7,98,0.7462923947256317,610,gini,None,0.895,133,438.0000000000001,103.41666666666669
8,98,0.9125578852919798,610,entropy,sqrt,0.8985,94,310.80000000000007,73.38333333333335
9,98,0.9417252253937782,610,entropy,log2,0.8985,93,308.59999999999997,72.86388888888888
