,para_str,total (J),cpu (J),monitor (J),disk (J),base (J),prev accuracy,curr accuracy
0,92_01412_0.6888614162029947_01412_52.18801682220773_01412_0.3188231352805478_01412_0.9250069727230008_01412_603_01412_gini_01412_None,473.89999999999986,277.69999999999993,0.0,0.0,199.5,0.8965,0.8955
1,92_01412_0.8917689509621813_01412_75.21115868102953_01412_0.4953294691693303_01412_0.8911943611104965_01412_763_01412_gini_01412_sqrt,301.60000000000014,178.8,0.0,0.0,124.5,0.8965,0.897
2,96_01412_0.2516367853464829_01412_70.13790805268793_01412_0.19782976616073777_01412_0.24484640879538802_01412_784_01412_gini_01412_sqrt,334.9999999999999,202.5,0.0,0.0,135.0,0.897,0.896
3,96_01412_0.6977176058434643_01412_87.70189108515437_01412_0.6065868016880548_01412_0.8126356408929927_01412_155_01412_gini_01412_sqrt,118.10000000000001,78.1,0.0,0.0,40.5,0.8945,0.897
4,97_01412_0.339917893893679_01412_26.90229719206553_01412_0.2991060412692049_01412_0.9748137598692992_01412_442_01412_gini_01412_sqrt,213.3,127.99999999999997,0.0,0.0,87.0,0.897,0.8975
5,97_01412_0.6093638083744835_01412_77.14335365372531_01412_0.1566317327912343_01412_0.4866691431631054_01412_890_01412_entropy_01412_None,1121.3000000000009,643.6000000000007,0.0,0.0,487.5,0.8965,0.897
6,97_01412_0.6912494292777428_01412_27.437643957648575_01412_0.9079932955207126_01412_0.7518558732210319_01412_441_01412_gini_01412_sqrt,174.7,97.39999999999999,0.0,0.0,79.5,0.898,0.8975
7,97_01412_0.7479764968153081_01412_88.0352266753072_01412_0.9650044847454018_01412_0.9967386416740249_01412_155_01412_entropy_01412_log2,111.99999999999999,62.50000000000001,0.0,0.0,51.0,0.8975,0.8955
8,98_01412_0.19329034745811474_01412_27.18373292498957_01412_0.23804526018221936_01412_0.4970729075306286_01412_442_01412_entropy_01412_log2,260.50000000000006,147.99999999999994,0.0,0.0,115.5,0.8985,0.8975
9,98_01412_0.31146568589073076_01412_26.255561073029718_01412_0.49968920520769866_01412_0.49391512558050055_01412_441_01412_entropy_01412_log2,249.99999999999997,139.19999999999996,0.0,0.0,114.0,0.8975,0.8975
