,para_str,total (J),cpu (J),monitor (J),disk (J),base (J),prev accuracy,curr accuracy
0,91_01412_0.15815515861170867_01412_0.7638910483452004_01412_0.03601539097372208_01412_0.6775438321742909_01412_8.739485687806013_01412_90.66533038018946_01412_734_01412_entropy_01412_log2,394.4000000000002,223.99999999999991,0.0,0.0,175.5,0.898,0.898
1,91_01412_0.8913680549015369_01412_0.3756356840602375_01412_0.05058876552353693_01412_0.7983762811673834_01412_5.0416350351980865_01412_64.35322747328385_01412_474_01412_entropy_01412_sqrt,261.19999999999993,149.10000000000002,0.0,0.0,115.5,0.8975,0.8975
2,92_01412_0.9771686234270697_01412_0.7014162123723362_01412_0.03330644268605655_01412_0.7458109954413861_01412_7.531525971878763_01412_56.26746267024188_01412_331_01412_gini_01412_log2,115.70000000000003,64.50000000000001,0.0,0.0,52.5,0.897,0.8965
3,93_01412_0.4978640123835224_01412_0.5090871677180451_01412_0.060059649015184215_01412_0.9978071365524831_01412_2.7311981207266167_01412_72.36074137762624_01412_382_01412_gini_01412_None,289.5,164.39999999999995,0.0,0.0,129.0,0.8965,0.8965
4,95_01412_0.8614281821799779_01412_0.796477014594362_01412_0.006914434830386129_01412_0.12790798540042644_01412_6.31227604521258_01412_69.61764669660025_01412_385_01412_entropy_01412_sqrt,209.4999999999999,119.8,0.0,0.0,93.0,0.8985,0.8985
5,97_01412_0.9438204041366877_01412_0.396522923244772_01412_0.03496561587508075_01412_0.5522537806491677_01412_2.7311627730694776_01412_28.57121461763877_01412_877_01412_gini_01412_None,672.7999999999998,380.50000000000017,0.0,0.1,300.0,0.8945,0.895
6,98_01412_0.1620250793876899_01412_0.7148662079685199_01412_0.045535584130443944_01412_0.2766591676913609_01412_1.8334548704830722_01412_56.605941637707154_01412_453_01412_entropy_01412_log2,249.7999999999999,141.60000000000002,0.0,0.0,111.0,0.898,0.897
7,98_01412_0.5805667496027078_01412_0.7908295827629502_01412_0.08450655440413826_01412_0.7299708124859677_01412_3.6293641988156766_01412_95.87501351316344_01412_556_01412_entropy_01412_None,679.9000000000005,384.39999999999975,0.0,0.0,304.5,0.898,0.8985
8,98_01412_0.8421580891314715_01412_0.36058448419170686_01412_0.03588778072669143_01412_0.8974353438812812_01412_5.104054995589838_01412_26.88854018667195_01412_55_01412_entropy_01412_None,67.0,38.300000000000004,0.0,0.0,30.0,0.895,0.898
9,99_01412_0.6065806115722011_01412_0.7300750229310955_01412_0.05190679517063571_01412_0.16376167261209595_01412_0.23221404236269283_01412_97.61762871372734_01412_82_01412_entropy_01412_sqrt,49.199999999999996,28.700000000000003,0.0,0.0,21.0,0.8975,0.8965
