,population_size,burden_factor,death_rate,visibility,supply_init,endurance_init,min_temperature,max_temperature,n_estimators,criterion,max_features,Accuracy,Time_Taken (s),Energy_Consumed (J),Carbon_Produced (g)
0,87,0.145381620593803,0.8507814906607828,0.18291706268353752,150.84075299389835,24.810346284198538,-37.5892917920115,26.053324303014342,198,entropy,sqrt,0.8975,29,118.4,27.955555555555556
1,87,0.44558626008631774,0.14521516092310371,0.42373858475904214,157.9155902042758,5.698624653359574,-64.59495500787072,36.90011209350063,214,entropy,None,0.899,71,257.40000000000003,60.775000000000006
2,87,0.591356058300558,0.9470820965935105,0.5062922581428781,613.7033269952211,968.051844395545,-64.69682815818304,92.84586266135496,669,entropy,None,0.8975,241,868.0000000000001,204.94444444444446
3,88,0.6855548769205401,0.9378448057187535,0.22066914522309472,369.09122134564103,330.78086163289123,-92.39159294297671,37.993249112150885,577,entropy,sqrt,0.899,93,338.9,80.01805555555555
4,94,0.7798845240478768,0.10037934863762396,0.8545645402646658,813.3682768123901,281.59984435074136,-95.47166140168135,10.756956098713811,907,entropy,None,0.898,331,1149.5000000000005,271.40972222222234
5,95,0.43952672032706674,0.4400666676164132,0.3845304835023363,946.0961760230967,856.2969397052201,-1.8634372098746184,91.10018901516531,873,gini,None,0.8945,194,646.9000000000003,152.74027777777786
6,96,0.798750229450795,0.48106732729444945,0.20650365411782717,971.4323740004501,739.4368775062189,-47.060291512582275,66.32037016957027,746,gini,log2,0.8975,75,253.69999999999982,59.901388888888846
7,97,0.8749921420687178,0.2962857359406272,0.2340023285871453,321.43337092909576,986.1071795817967,-78.1833835969771,26.345390034239657,949,entropy,None,0.897,346,1181.6,278.9888888888889
8,99,0.28563416215876963,0.3325616586067756,0.7343557362388795,627.0229194826939,606.3648070506616,-14.209726280085704,13.856484679509359,513,gini,log2,0.8955,53,179.29999999999995,42.33472222222221
9,99,0.6397131537588686,0.5942716367537121,0.7649336578928428,723.1542336452517,874.7822163510604,-32.066470155396615,83.10893757393053,811,gini,sqrt,0.8985,84,282.9999999999999,66.81944444444441
