TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W)
63805888483524,2.0,0.6,0.0,0.0,1.5,--
63805888484527,4.0,2.5,0.0,0.0,1.5,--
63805888485525,3.3,1.8,0.0,0.0,1.5,--
63805888486530,3.0,1.5,0.0,0.0,1.5,--
63805888487540,2.1,0.6,0.0,0.0,1.5,--
63805888488557,5.3,3.8,0.0,0.0,1.5,--
63805888489581,3.7,2.2,0.0,0.0,1.5,--
63805888490581,2.6,1.1,0.0,0.0,1.5,--
63805888491592,3.5,2.0,0.0,0.0,1.5,--
63805888492590,2.8,1.3,0.0,0.0,1.5,--
63805888493587,5.3,3.9,0.0,0.0,1.5,--
63805888494585,2.1,0.6,0.0,0.0,1.5,--
63805888495582,3.5,2.0,0.0,0.0,1.5,--
63805888496609,3.3,1.8,0.0,0.0,1.5,--
63805888497600,4.9,3.4,0.0,0.0,1.5,--
63805888498602,4.2,2.8,0.0,0.0,1.5,--
63805888499652,3.3,1.8,0.0,0.0,1.5,--
63805888500650,5.1,3.6,0.0,0.0,1.5,--
63805888501645,3.2,1.7,0.0,0.0,1.5,--
63805888502645,1.8,0.3,0.0,0.0,1.5,--
63805888503663,3.4,1.9,0.0,0.0,1.5,--
63805888504677,2.3,0.8,0.0,0.0,1.5,--
63805888505675,1.9,0.4,0.0,0.0,1.5,--
63805888506701,2.5,1.0,0.0,0.0,1.5,--
63805888507706,2.1,0.6,0.0,0.0,1.5,--
63805888508705,2.8,1.3,0.0,0.0,1.5,--
63805888509715,2.3,0.8,0.0,0.0,1.5,--
63805888510730,2.3,0.8,0.0,0.0,1.5,--
63805888511748,2.1,0.6,0.0,0.0,1.5,--
63805888512761,2.7,1.2,0.0,0.0,1.5,--
63805888513775,3.0,1.5,0.0,0.0,1.5,--
63805888514774,2.6,1.1,0.0,0.0,1.5,--
63805888515774,1.8,0.3,0.0,0.0,1.5,--
63805888516774,2.2,0.7,0.0,0.0,1.5,--
63805888517776,2.0,0.6,0.0,0.0,1.5,--
63805888518783,2.4,0.9,0.0,0.0,1.5,--
63805888519786,2.2,0.7,0.0,0.0,1.5,--
63805888520788,2.8,1.3,0.0,0.0,1.5,--
63805888521799,1.9,0.4,0.0,0.0,1.5,--
63805888522830,2.3,0.8,0.0,0.0,1.5,--
63805888523831,2.0,0.6,0.0,0.0,1.5,--
63805888524844,2.3,0.8,0.0,0.0,1.5,--
63805888525860,3.3,1.8,0.0,0.0,1.5,--
63805888526863,2.2,0.7,0.0,0.0,1.5,--
63805888527866,2.2,0.7,0.0,0.0,1.5,--
