,para_str,total (J),cpu (J),monitor (J),disk (J),base (J),Accuracy
0,38_01412_0.4953294691693303_01412_73_01412_entropy_01412_None,80.2,45.19999999999999,0.0,0.0,36.0,0.8985
1,45_01412_0.25965295529286125_01412_871_01412_gini_01412_None,632.3999999999995,355.70000000000016,0.0,0.0,280.5,0.895
2,39_01412_0.3536874177475291_01412_72_01412_gini_01412_None,61.3,34.6,0.0,0.0,27.0,0.896
3,67_01412_0.313573313447042_01412_286_01412_entropy_01412_None,364.69999999999993,207.7000000000002,0.0,0.1,159.0,0.8975
4,78_01412_0.12694157651078805_01412_668_01412_entropy_01412_sqrt,363.6000000000001,205.30000000000013,0.0,0.0,160.5,0.8985
5,59_01412_0.4053100917601321_01412_183_01412_gini_01412_None,148.0,84.39999999999998,0.0,0.0,64.5,0.8955
6,32_01412_0.7689723972750362_01412_631_01412_entropy_01412_sqrt,354.20000000000005,199.80000000000013,0.0,0.0,156.0,0.898
7,52_01412_0.7041344569313142_01412_976_01412_gini_01412_None,656.5000000000009,350.5999999999998,0.0,0.0,315.0,0.8955
8,74_01412_0.23221076403594584_01412_600_01412_entropy_01412_sqrt,297.69999999999993,161.2999999999999,0.0,0.0,141.0,0.8985
9,13_01412_0.5922550040297156_01412_93_01412_entropy_01412_log2,44.30000000000001,23.8,0.0,0.0,21.0,0.8985
10,20_01412_0.16027244805515745_01412_323_01412_gini_01412_log2,106.30000000000003,57.00000000000001,0.0,0.0,51.0,0.899
11,51_01412_0.24417101054449433_01412_196_01412_entropy_01412_log2,93.9,50.60000000000001,0.0,0.0,45.0,0.898
12,98_01412_0.3908517219941403_01412_610_01412_entropy_01412_log2,290.2999999999999,156.2,0.0,0.0,138.0,0.8985
13,31_01412_0.7033589993373778_01412_834_01412_gini_01412_log2,261.49999999999994,139.69999999999996,0.0,0.0,126.0,0.896
14,20_01412_0.12383960023927079_01412_322_01412_gini_01412_log2,101.19999999999999,54.7,0.0,0.0,48.0,0.896
15,61_01412_0.9157731409121949_01412_761_01412_entropy_01412_None,875.3000000000011,478.3000000000003,0.0,0.0,409.5,0.898
16,57_01412_0.1665939695561264_01412_768_01412_gini_01412_log2,238.3999999999999,127.80000000000001,0.0,0.0,114.0,0.8965
17,94_01412_0.2642561544111848_01412_688_01412_gini_01412_None,481.9000000000002,257.7999999999998,0.0,0.0,231.0,0.895
18,85_01412_0.389992546650089_01412_774_01412_gini_01412_None,611.6999999999996,341.79999999999984,0.0,0.0,274.5,0.8955
19,61_01412_0.2583728260993092_01412_808_01412_gini_01412_None,659.0999999999999,374.70000000000005,0.0,0.0,288.0,0.896
20,37_01412_0.5951622777011842_01412_773_01412_gini_01412_None,637.8000000000003,361.1000000000001,0.0,0.0,280.5,0.8955
21,73_01412_0.48608672798831554_01412_193_01412_entropy_01412_log2,113.9,65.0,0.0,0.0,49.5,0.898
22,10_01412_0.5369812295627355_01412_175_01412_gini_01412_None,146.7,83.29999999999998,0.0,0.0,64.5,0.8965
23,86_01412_0.49239460125193146_01412_885_01412_entropy_01412_log2,437.40000000000003,234.89999999999972,0.0,0.0,208.5,0.8985
24,87_01412_0.25389202839485786_01412_344_01412_entropy_01412_sqrt,178.6,98.39999999999999,0.0,0.0,82.5,0.897
25,39_01412_0.4479034243349682_01412_533_01412_gini_01412_None,379.6000000000001,204.39999999999984,0.0,0.0,180.0,0.8955
26,64_01412_0.22088008807735754_01412_394_01412_entropy_01412_sqrt,206.89999999999995,114.10000000000002,0.0,0.0,96.0,0.898
27,40_01412_0.34043371201449535_01412_474_01412_entropy_01412_sqrt,234.8999999999999,125.3,0.0,0.0,112.5,0.8965
28,98_01412_0.6753288521333073_01412_795_01412_entropy_01412_sqrt,390.7,208.89999999999984,0.0,0.0,187.5,0.8995
29,10_01412_0.9598950391596023_01412_131_01412_gini_01412_log2,40.2,21.6,0.0,0.0,19.5,0.895
30,93_01412_0.8972010678062589_01412_823_01412_gini_01412_None,574.6000000000005,306.6999999999998,0.0,0.0,276.0,0.8955
31,47_01412_0.7922334344546738_01412_277_01412_entropy_01412_None,343.7,190.19999999999982,0.0,0.0,157.5,0.8975
32,18_01412_0.23016169942953718_01412_335_01412_gini_01412_None,231.79999999999987,122.59999999999997,0.0,0.1,111.0,0.8965
33,27_01412_0.685719789368267_01412_546_01412_gini_01412_None,365.80000000000007,191.19999999999982,0.0,0.0,177.0,0.895
34,10_01412_0.49508402828945564_01412_945_01412_gini_01412_sqrt,295.49999999999994,154.09999999999988,0.0,0.0,142.5,0.8955
35,98_01412_0.6101960134378634_01412_443_01412_gini_01412_log2,133.59999999999994,69.89999999999999,0.0,0.0,64.5,0.895
36,82_01412_0.7532204675936485_01412_459_01412_gini_01412_log2,145.1,76.10000000000002,0.0,0.0,70.5,0.8955
37,16_01412_0.27982757069434405_01412_377_01412_gini_01412_None,254.0999999999998,132.69999999999993,0.0,0.0,123.0,0.8965
38,49_01412_0.7899437382869932_01412_436_01412_gini_01412_None,293.7,154.49999999999991,0.0,0.0,141.0,0.895
39,24_01412_0.9163187143901852_01412_577_01412_gini_01412_sqrt,177.7000000000001,92.90000000000005,0.0,0.0,87.0,0.898
40,55_01412_0.5576437198830669_01412_652_01412_entropy_01412_None,674.8999999999986,343.69999999999993,0.0,0.0,342.0,0.8975
41,73_01412_0.1357073842195424_01412_271_01412_entropy_01412_None,288.20000000000005,150.00000000000003,0.0,0.0,142.5,0.898
42,77_01412_0.5135023731377653_01412_724_01412_entropy_01412_None,751.3999999999986,380.2999999999999,0.0,0.0,382.5,0.8965
43,51_01412_0.27346330962535587_01412_778_01412_gini_01412_sqrt,221.80000000000015,112.90000000000008,0.0,0.0,112.5,0.8965
44,67_01412_0.5796525370157818_01412_33_01412_entropy_01412_log2,14.9,7.4,0.0,0.0,7.5,0.896
45,22_01412_0.9032344698512054_01412_812_01412_gini_01412_None,538.0999999999992,280.20000000000016,0.0,0.0,265.5,0.896
46,76_01412_0.4704737233375671_01412_768_01412_gini_01412_sqrt,222.30000000000013,113.30000000000004,0.0,0.0,112.5,0.8955
47,40_01412_0.737190610436478_01412_832_01412_gini_01412_log2,242.90000000000015,123.90000000000003,0.0,0.0,123.0,0.8965
48,59_01412_0.9790192273605962_01412_869_01412_gini_01412_None,546.2999999999994,274.50000000000006,0.0,0.0,279.0,0.8965
49,43_01412_0.6394071297989992_01412_447_01412_gini_01412_log2,137.40000000000006,70.4,0.0,0.0,69.0,0.8975
50,44_01412_0.4842884222058963_01412_378_01412_gini_01412_sqrt,109.10000000000004,54.79999999999999,0.0,0.0,55.5,0.896
51,71_01412_0.12151329121962627_01412_105_01412_entropy_01412_None,108.90000000000005,54.89999999999999,0.0,0.0,55.5,0.8975
52,69_01412_0.4614172015655328_01412_826_01412_gini_01412_sqrt,239.30000000000018,121.20000000000003,0.0,0.0,121.5,0.8965
53,67_01412_0.27928677396226226_01412_466_01412_gini_01412_log2,135.30000000000007,68.39999999999999,0.0,0.0,69.0,0.8955
54,28_01412_0.28080793323125386_01412_717_01412_entropy_01412_None,719.1999999999981,361.9999999999998,0.0,0.0,367.5,0.898
55,30_01412_0.8266680382667214_01412_516_01412_gini_01412_None,316.30000000000007,159.40000000000006,0.0,0.0,160.5,0.896
56,19_01412_0.32453425052932156_01412_629_01412_entropy_01412_None,603.2999999999992,306.0000000000002,0.0,0.0,307.5,0.8975
57,49_01412_0.7470490074877814_01412_673_01412_gini_01412_None,399.2,202.80000000000004,0.0,0.0,202.5,0.8965
58,68_01412_0.3879572263483083_01412_239_01412_gini_01412_sqrt,61.59999999999999,30.999999999999993,0.0,0.0,31.5,0.898
59,49_01412_0.4737898274773177_01412_795_01412_gini_01412_sqrt,208.30000000000015,105.00000000000004,0.0,0.0,106.5,0.896
60,59_01412_0.9376984147341137_01412_413_01412_gini_01412_sqrt,108.8,54.899999999999984,0.0,0.0,55.5,0.896
61,92_01412_0.35780885069155777_01412_806_01412_entropy_01412_sqrt,335.80000000000007,169.80000000000004,0.0,0.0,171.0,0.899
62,89_01412_0.6340634303925566_01412_778_01412_gini_01412_None,461.2999999999999,232.00000000000017,0.0,0.0,235.5,0.8955
63,18_01412_0.9102323867447084_01412_615_01412_entropy_01412_log2,261.40000000000015,132.70000000000005,0.0,0.0,133.5,0.897
64,34_01412_0.9755381996730144_01412_881_01412_gini_01412_log2,240.9000000000002,121.60000000000008,0.0,0.0,123.0,0.896
65,66_01412_0.9579570643168283_01412_367_01412_entropy_01412_None,382.99999999999994,199.40000000000012,0.0,0.0,189.0,0.8965
66,48_01412_0.14738494932658042_01412_525_01412_gini_01412_log2,149.80000000000007,75.4,0.0,0.0,76.5,0.8985
67,38_01412_0.994680172912391_01412_507_01412_gini_01412_sqrt,144.70000000000007,73.49999999999999,0.0,0.0,73.5,0.896
68,24_01412_0.36216958095944096_01412_572_01412_entropy_01412_None,581.7999999999993,295.90000000000015,0.0,0.1,294.0,0.8975
69,54_01412_0.8122240036783512_01412_558_01412_entropy_01412_log2,275.49999999999983,148.39999999999998,0.0,0.0,129.0,0.8995
70,51_01412_0.6163577052494227_01412_951_01412_gini_01412_log2,295.5999999999999,154.4999999999999,0.0,0.0,142.5,0.8955
71,27_01412_0.6342721988202626_01412_616_01412_gini_01412_None,412.00000000000006,215.9999999999998,0.0,0.2,198.0,0.8975
72,85_01412_0.10724294065476407_01412_365_01412_gini_01412_sqrt,111.19999999999997,58.10000000000002,0.0,0.0,54.0,0.8955
73,63_01412_0.4815310535390863_01412_495_01412_entropy_01412_None,545.3000000000004,286.8999999999998,0.0,0.0,262.5,0.8975
74,42_01412_0.8654279975916322_01412_638_01412_entropy_01412_sqrt,293.69999999999976,153.59999999999994,0.0,0.0,142.5,0.8985
75,18_01412_0.5215917045138609_01412_58_01412_entropy_01412_sqrt,30.2,15.3,0.0,0.0,15.0,0.897
76,94_01412_0.6454002770254591_01412_72_01412_gini_01412_log2,17.8,9.2,0.0,0.0,9.0,0.895
77,22_01412_0.946876111692899_01412_985_01412_gini_01412_log2,280.10000000000014,141.9000000000001,0.0,0.0,142.5,0.8965
78,14_01412_0.517810529165397_01412_645_01412_gini_01412_None,397.79999999999995,201.50000000000006,0.0,0.0,202.5,0.8965
79,49_01412_0.2638614154375909_01412_405_01412_gini_01412_log2,121.90000000000003,61.699999999999996,0.0,0.0,61.5,0.896
80,46_01412_0.9471347460560093_01412_867_01412_entropy_01412_None,873.4999999999977,443.0999999999994,0.0,0.0,444.0,0.8965
81,63_01412_0.22025921548893507_01412_554_01412_entropy_01412_None,557.3999999999993,282.40000000000003,0.0,0.1,283.5,0.8985
82,12_01412_0.3437500638392901_01412_96_01412_gini_01412_sqrt,26.8,13.7,0.0,0.0,13.5,0.897
83,93_01412_0.17642140736590828_01412_666_01412_gini_01412_None,419.5999999999996,211.6000000000001,0.0,0.0,213.0,0.896
84,55_01412_0.5971925233577772_01412_144_01412_entropy_01412_log2,62.99999999999999,32.3,0.0,0.0,31.5,0.8985
85,78_01412_0.4646871121023959_01412_728_01412_entropy_01412_None,818.6000000000014,438.6,0.0,0.0,387.0,0.8975
86,22_01412_0.7078830596818639_01412_899_01412_entropy_01412_None,974.8000000000023,510.80000000000064,0.0,0.0,471.0,0.897
87,50_01412_0.9071538954784392_01412_270_01412_gini_01412_None,186.9999999999999,98.19999999999995,0.0,0.0,90.0,0.896
88,23_01412_0.8402695649636885_01412_302_01412_gini_01412_log2,90.30000000000003,46.8,0.0,0.0,45.0,0.8955
89,69_01412_0.20242179829999102_01412_188_01412_entropy_01412_log2,83.09999999999998,42.699999999999996,0.0,0.0,42.0,0.8985
90,88_01412_0.40282509924437215_01412_921_01412_entropy_01412_sqrt,409.1999999999997,208.30000000000013,0.0,0.0,207.0,0.898
91,77_01412_0.6750441671817832_01412_336_01412_entropy_01412_log2,153.8000000000001,77.89999999999999,0.0,0.0,78.0,0.8985
92,31_01412_0.21458525735250308_01412_417_01412_entropy_01412_None,425.7999999999999,216.00000000000006,0.0,0.0,216.0,0.897
93,65_01412_0.7928751053116806_01412_526_01412_gini_01412_log2,150.60000000000002,76.79999999999998,0.0,0.0,76.5,0.8955
94,16_01412_0.358993131870312_01412_256_01412_entropy_01412_log2,112.30000000000003,57.2,0.0,0.0,57.0,0.8985
95,41_01412_0.5457185510226596_01412_749_01412_gini_01412_None,469.7999999999996,237.60000000000008,0.0,0.0,238.5,0.895
96,82_01412_0.38610493867868456_01412_846_01412_entropy_01412_None,854.3999999999982,434.09999999999985,0.0,0.0,435.0,0.898
97,32_01412_0.6276991360692568_01412_59_01412_gini_01412_None,41.7,21.2,0.0,0.0,21.0,0.896
