TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W)
63805940621884,2.1,0.7,0.0,0.0,1.5,--
63805940622887,2.2,0.7,0.0,0.0,1.5,--
63805940623890,2.7,1.2,0.0,0.0,1.5,--
63805940624881,4.4,2.9,0.0,0.0,1.5,--
63805940625892,4.4,3.0,0.0,0.0,1.5,--
63805940626894,4.0,2.5,0.0,0.0,1.5,--
63805940627898,3.7,2.2,0.0,0.0,1.5,--
63805940628896,4.1,2.6,0.0,0.0,1.5,--
63805940629905,3.8,2.3,0.0,0.0,1.5,--
63805940630903,3.8,2.3,0.0,0.0,1.5,--
63805940631900,4.5,3.0,0.0,0.0,1.5,--
63805940632901,4.2,2.7,0.0,0.0,1.5,--
63805940633915,3.8,2.3,0.0,0.0,1.5,--
63805940634932,4.1,2.6,0.0,0.0,1.5,--
63805940635930,4.9,3.5,0.0,0.0,1.5,--
63805940636930,4.3,2.8,0.0,0.0,1.5,--
63805940637929,4.0,2.6,0.0,0.0,1.5,--
63805940638929,7.5,6.1,0.0,0.0,1.5,--
63805940639927,8.3,6.8,0.0,0.0,1.5,--
63805940640926,5.2,3.7,0.0,0.0,1.5,--
63805940641924,4.3,2.8,0.0,0.0,1.5,--
63805940642942,4.1,2.7,0.0,0.0,1.5,--
63805940643957,4.6,3.1,0.0,0.0,1.5,--
63805940644973,4.8,3.4,0.0,0.0,1.5,--
63805940645993,4.8,3.3,0.0,0.0,1.5,--
63805940647001,4.5,3.0,0.0,0.0,1.5,--
63805940648020,4.8,3.3,0.0,0.0,1.5,--
63805940649030,4.4,2.9,0.0,0.0,1.5,--
63805940650022,4.2,2.7,0.0,0.0,1.5,--
63805940651054,4.1,2.7,0.0,0.0,1.5,--
63805940652063,4.3,2.8,0.0,0.0,1.5,--
63805940653075,4.7,3.2,0.0,0.0,1.5,--
63805940654066,4.4,2.9,0.0,0.0,1.5,--
63805940655072,4.4,2.9,0.0,0.0,1.5,--
63805940656078,4.6,3.1,0.0,0.0,1.5,--
63805940657074,3.7,2.2,0.0,0.0,1.5,--
63805940658068,5.4,4.0,0.0,0.0,1.5,--
63805940659073,4.0,2.5,0.0,0.0,1.5,--
63805940660067,4.0,2.5,0.0,0.0,1.5,--
63805940661071,3.9,2.4,0.0,0.0,1.5,--
63805940662070,3.3,1.8,0.0,0.0,1.5,--
63805940663079,3.4,1.9,0.0,0.0,1.5,--
63805940664090,3.3,1.9,0.0,0.0,1.5,--
63805940665081,3.3,1.8,0.0,0.0,1.5,--
63805940666090,3.4,2.0,0.0,0.0,1.5,--
63805940667088,3.3,1.8,0.0,0.0,1.5,--
63805940668083,3.3,1.8,0.0,0.0,1.5,--
63805940669088,3.3,1.8,0.0,0.0,1.5,--
63805940670087,3.4,1.9,0.0,0.0,1.5,--
63805940671088,3.2,1.8,0.0,0.0,1.5,--
63805940672089,3.5,2.1,0.0,0.0,1.5,--
63805940673084,3.3,1.8,0.0,0.0,1.5,--
63805940674093,3.4,2.0,0.0,0.0,1.5,--
63805940675082,3.2,1.8,0.0,0.0,1.5,--
63805940676094,3.4,2.0,0.0,0.0,1.5,--
63805940677100,3.3,1.8,0.0,0.0,1.5,--
63805940678121,3.3,1.8,0.0,0.0,1.5,--
63805940679118,3.2,1.8,0.0,0.0,1.5,--
63805940680144,3.2,1.8,0.0,0.0,1.5,--
63805940681144,3.3,1.8,0.0,0.0,1.5,--
63805940682155,3.9,2.4,0.0,0.0,1.5,--
63805940683159,3.1,1.7,0.0,0.0,1.5,--
63805940684169,3.4,2.0,0.0,0.0,1.5,--
