,ID,Accuracy,Time Taken (s),Energy Used (J),Equivalent CO2 Emission (mg)
0,BAT-0000,0.8985,139,475.0000000000003,112.15277777777784
1,BAT-0001,0.8985,62,212.49999999999994,50.17361111111109
2,BAT-0002,0.898,311,1068.100000000001,252.19027777777802
3,BAT-0003,0.8975,62,214.5,50.64583333333333
4,BAT-0004,0.896,22,75.69999999999999,17.873611111111106
5,BAT-0005,0.898,103,355.5999999999999,83.9611111111111
6,BAT-0006,0.8965,40,140.10000000000002,33.07916666666667
7,BAT-0007,0.8945,158,539.2999999999998,127.33472222222218
8,BAT-0008,0.8975,140,481.00000000000006,113.56944444444446
9,BAT-0009,0.897,42,151.7,35.81805555555555
10,BAT-0010,0.8975,41,141.5,33.40972222222222
11,BAT-0011,0.899,138,475.40000000000003,112.24722222222223
12,BAT-0012,0.895,204,718.1000000000009,169.5513888888891
13,BAT-0013,0.897,67,228.59999999999988,53.97499999999997
14,BAT-0014,0.8965,28,96.3,22.737499999999997
15,BAT-0015,0.8975,58,198.29999999999995,46.82083333333332
16,BAT-0016,0.899,118,410.7,96.97083333333333
17,BAT-0017,0.897,206,706.1000000000004,166.71805555555565
18,BAT-0018,0.898,28,99.50000000000001,23.493055555555557
19,BAT-0019,0.8985,97,337.99999999999994,79.80555555555554
20,BAT-0020,0.895,11,38.1,8.995833333333334
21,BAT-0021,0.897,94,320.3999999999999,75.64999999999998
22,BAT-0022,0.8965,117,400.50000000000006,94.56250000000001
23,BAT-0023,0.8955,200,688.000000000001,162.44444444444468
24,BAT-0024,0.898,58,196.10000000000002,46.301388888888894
25,BAT-0025,0.8955,199,681.7000000000004,160.95694444444453
26,BAT-0026,0.896,194,674.5000000000001,159.25694444444446
27,BAT-0027,0.8965,57,194.1999999999999,45.85277777777775
28,BAT-0028,0.896,56,191.59999999999997,45.23888888888888
29,BAT-0029,0.8975,90,306.3999999999999,72.34444444444442
30,BAT-0030,0.899,32,110.09999999999998,25.995833333333326
31,BAT-0031,0.8975,37,127.1,30.00972222222222
32,BAT-0032,0.897,32,110.9,26.184722222222224
33,BAT-0033,0.897,187,640.1000000000009,151.13472222222245
34,BAT-0034,0.8975,298,1022.7000000000015,241.4708333333337
35,BAT-0035,0.897,52,177.89999999999998,42.00416666666666
36,BAT-0036,0.898,121,419.20000000000016,98.97777777777782
37,BAT-0037,0.898,74,254.6,60.11388888888889
38,BAT-0038,0.8975,129,440.30000000000007,103.95972222222224
39,BAT-0039,0.8965,26,91.10000000000002,21.509722222222226
40,BAT-0040,0.8985,156,537.3000000000002,126.86250000000004
41,BAT-0041,0.8965,100,343.20000000000005,81.03333333333335
42,BAT-0042,0.8965,85,293.59999999999985,69.32222222222218
43,BAT-0043,0.8995,72,245.79999999999993,58.03611111111109
44,BAT-0044,0.896,45,155.79999999999995,36.7861111111111
45,BAT-0045,0.896,8,26.1,6.1625000000000005
46,BAT-0046,0.8955,64,218.8999999999999,51.6847222222222
47,BAT-0047,0.897,245,842.0000000000007,198.8055555555557
48,BAT-0048,0.897,136,487.80000000000007,115.17500000000001
49,BAT-0049,0.898,12,41.2,9.727777777777778
50,BAT-0050,0.895,86,290.9,68.68472222222222
51,BAT-0051,0.8965,78,264.19999999999993,62.38055555555554
52,BAT-0052,0.8985,106,370.8999999999999,87.57361111111109
53,BAT-0053,0.8965,67,228.7,53.99861111111111
54,BAT-0054,0.898,84,288.3999999999999,68.09444444444442
55,BAT-0055,0.896,8,26.700000000000003,6.304166666666667
56,BAT-0056,0.8945,20,69.90000000000002,16.50416666666667
57,BAT-0057,0.8975,126,433.1000000000001,102.25972222222224
58,BAT-0058,0.897,36,123.7,29.206944444444446
59,BAT-0059,0.8965,34,117.5,27.743055555555554
60,BAT-0060,0.894,6,21.099999999999998,4.981944444444443
61,BAT-0061,0.8975,117,400.99999999999983,94.68055555555551
62,BAT-0062,0.8965,21,72.99999999999999,17.236111111111107
63,BAT-0063,0.8985,72,248.69999999999993,58.72083333333332
64,BAT-0064,0.8985,16,55.89999999999999,13.19861111111111
65,BAT-0065,0.898,98,337.20000000000005,79.61666666666667
66,BAT-0066,0.8955,215,738.5000000000007,174.3680555555557
67,BAT-0067,0.898,188,649.6000000000008,153.37777777777796
68,BAT-0068,0.897,254,879.8000000000011,207.7305555555558
69,BAT-0069,0.897,55,191.09999999999997,45.12083333333332
70,BAT-0070,0.895,13,43.900000000000006,10.365277777777779
71,BAT-0071,0.896,52,182.50000000000003,43.090277777777786
72,BAT-0072,0.897,24,81.7,19.290277777777778
73,BAT-0073,0.896,49,171.29999999999998,40.445833333333326
74,BAT-0074,0.8985,83,284.69999999999993,67.22083333333332
75,BAT-0075,0.898,132,458.4000000000001,108.23333333333335
76,BAT-0076,0.8965,26,93.99999999999997,22.194444444444436
77,BAT-0077,0.8975,37,125.39999999999999,29.60833333333333
78,BAT-0078,0.897,104,414.5000000000001,97.86805555555559
79,BAT-0079,0.898,148,504.8000000000001,119.18888888888891
80,BAT-0080,0.898,49,165.59999999999994,39.09999999999999
81,BAT-0081,0.895,91,314.1,74.16250000000001
82,BAT-0082,0.8955,126,431.1,101.78750000000001
83,BAT-0083,0.898,267,944.2000000000011,222.93611111111136
84,BAT-0084,0.8985,38,130.90000000000003,30.906944444444452
85,BAT-0085,0.897,20,69.29999999999998,16.362499999999997
86,BAT-0086,0.899,32,107.2,25.31111111111111
