,ID,Accuracy,Time Taken (s),Energy Used (J),Equivalent CO2 Emission (mg)
0,CAM-0000,0.8985,134,446.3,105.37638888888888
1,CAM-0001,0.8975,318,1073.7000000000012,253.51250000000027
2,CAM-0002,0.8965,93,312.5999999999999,73.80833333333331
3,CAM-0003,0.898,240,819.6000000000007,193.51666666666682
4,CAM-0004,0.897,327,1210.8000000000004,285.88333333333344
5,CAM-0005,0.896,82,305.9,72.22638888888888
6,CAM-0006,0.897,63,236.90000000000003,55.93472222222223
7,CAM-0007,0.8965,94,349.90000000000015,82.6152777777778
8,CAM-0008,0.8985,16,62.09999999999999,14.662499999999996
9,CAM-0009,0.8985,103,358.90000000000003,84.74027777777778
10,CAM-0010,0.8955,197,670.4000000000003,158.28888888888895
11,CAM-0011,0.895,13,45.00000000000001,10.625000000000002
12,CAM-0012,0.8975,81,275.19999999999993,64.97777777777776
13,CAM-0013,0.896,42,143.50000000000003,33.88194444444445
14,CAM-0014,0.8975,53,178.5,42.145833333333336
15,CAM-0015,0.8975,143,486.00000000000034,114.75000000000007
16,CAM-0016,0.896,108,364.2000000000003,85.99166666666673
17,CAM-0017,0.898,82,280.79999999999995,66.29999999999998
18,CAM-0018,0.8985,95,321.9000000000001,76.00416666666669
19,CAM-0019,0.8965,56,205.6,48.544444444444444
20,CAM-0020,0.8975,91,307.3,72.55694444444444
21,CAM-0021,0.897,87,295.89999999999986,69.86527777777775
22,CAM-0022,0.8965,19,65.5,15.465277777777777
23,CAM-0023,0.8965,34,122.2,28.852777777777778
24,CAM-0024,0.8975,84,295.3999999999999,69.7472222222222
25,CAM-0025,0.898,105,362.9,85.68472222222222
26,CAM-0026,0.896,88,299.69999999999993,70.76249999999999
27,CAM-0027,0.897,87,294.69999999999993,69.58194444444443
28,CAM-0028,0.8955,83,267.70000000000016,63.20694444444448
29,CAM-0029,0.896,80,260.6000000000001,61.53055555555557
30,CAM-0030,0.8955,72,232.30000000000013,54.84861111111114
31,CAM-0031,0.895,128,412.3,97.34861111111111
32,CAM-0032,0.896,32,107.00000000000001,25.263888888888893
33,CAM-0033,0.8965,63,205.3,48.47361111111111
34,CAM-0034,0.8945,24,76.0,17.944444444444443
35,CAM-0035,0.8955,204,659.1999999999998,155.6444444444444
36,CAM-0036,0.8975,121,391.40000000000003,92.41388888888889
37,CAM-0037,0.8975,337,1088.0999999999985,256.9124999999996
38,CAM-0038,0.8985,111,357.49999999999994,84.4097222222222
39,CAM-0039,0.8955,14,44.699999999999996,10.554166666666665
40,CAM-0040,0.8985,275,917.1000000000014,216.53750000000034
41,CAM-0041,0.898,32,110.09999999999997,25.995833333333323
42,CAM-0042,0.897,24,80.19999999999999,18.936111111111106
43,CAM-0043,0.896,50,173.5,40.96527777777778
44,CAM-0044,0.898,126,427.00000000000006,100.81944444444446
45,CAM-0045,0.895,86,291.7,68.8736111111111
46,CAM-0046,0.897,118,405.5,95.74305555555556
47,CAM-0047,0.898,21,68.4,16.150000000000002
48,CAM-0048,0.895,134,431.69999999999993,101.92916666666665
49,CAM-0049,0.8985,270,889.7999999999987,210.09166666666636
50,CAM-0050,0.896,40,130.1,30.718055555555555
51,CAM-0051,0.897,72,231.8000000000001,54.730555555555576
