,ID,Accuracy,Time Taken (s),Energy Used (J),Equivalent CO2 Emission (mg)
0,CUC-0000,0.898,25,97.39999999999999,22.99722222222222
1,CUC-0001,0.896,187,671.2999999999997,158.5013888888888
2,CUC-0002,0.895,15,54.5,12.868055555555555
3,CUC-0003,0.897,104,382.49999999999994,90.31249999999999
4,CUC-0004,0.898,106,388.10000000000014,91.63472222222225
5,CUC-0005,0.895,43,157.7,37.23472222222222
6,CUC-0006,0.8975,103,379.7999999999999,89.67499999999997
7,CUC-0007,0.9,12,45.3,10.695833333333333
8,CUC-0008,0.8975,11,40.5,9.5625
9,CUC-0009,0.8975,64,219.40000000000003,51.802777777777784
10,CUC-0010,0.897,65,218.2999999999999,51.54305555555553
11,CUC-0011,0.8975,29,97.8,23.091666666666665
12,CUC-0012,0.8975,93,312.5,73.78472222222221
13,CUC-0013,0.896,83,282.09999999999985,66.60694444444441
14,CUC-0014,0.896,62,211.6999999999999,49.984722222222196
15,CUC-0015,0.8985,269,904.9000000000007,213.6569444444446
16,CUC-0016,0.897,75,253.19999999999985,59.783333333333296
17,CUC-0017,0.896,152,511.19999999999993,120.69999999999997
18,CUC-0018,0.896,8,29.099999999999994,6.870833333333332
19,CUC-0019,0.895,178,600.1,141.69027777777777
20,CUC-0020,0.898,10,34.1,8.051388888888889
21,CUC-0021,0.896,31,108.50000000000003,25.61805555555556
22,CUC-0022,0.8975,271,917.8000000000011,216.70277777777804
23,CUC-0023,0.8975,136,465.6999999999998,109.9569444444444
24,CUC-0024,0.8955,63,213.5,50.40972222222222
25,CUC-0025,0.898,70,237.49999999999991,56.076388888888864
26,CUC-0026,0.8975,62,210.20000000000002,49.63055555555556
27,CUC-0027,0.897,90,304.99999999999983,72.01388888888884
28,CUC-0028,0.8975,123,420.20000000000016,99.21388888888892
29,CUC-0029,0.8975,14,47.300000000000004,11.168055555555556
30,CUC-0030,0.8985,105,355.9,84.03194444444443
31,CUC-0031,0.8975,99,334.8999999999998,79.07361111111106
32,CUC-0032,0.8955,75,253.59999999999994,59.87777777777776
33,CUC-0033,0.898,103,347.8999999999999,82.14305555555553
34,CUC-0034,0.8965,32,109.9,25.948611111111113
35,CUC-0035,0.897,41,139.7,32.98472222222222
36,CUC-0036,0.897,47,158.69999999999996,37.470833333333324
37,CUC-0037,0.8955,85,287.19999999999993,67.81111111111109
38,CUC-0038,0.8965,43,143.69999999999996,33.92916666666665
39,CUC-0039,0.897,61,232.2999999999999,54.84861111111108
40,CUC-0040,0.8965,235,795.600000000001,187.85000000000025
41,CUC-0041,0.8985,12,42.099999999999994,9.940277777777776
42,CUC-0042,0.898,261,879.2000000000013,207.5888888888892
43,CUC-0043,0.897,80,275.09999999999985,64.95416666666662
44,CUC-0044,0.8975,12,41.30000000000001,9.751388888888892
45,CUC-0045,0.8975,7,23.0,5.430555555555555
46,CUC-0046,0.8955,79,271.19999999999993,64.03333333333332
47,CUC-0047,0.8975,87,298.9,70.5736111111111
48,CUC-0048,0.8955,194,654.6000000000003,154.5583333333334
49,CUC-0049,0.8965,163,553.5000000000006,130.68750000000014
50,CUC-0050,0.897,69,236.6999999999999,55.887499999999974
51,CUC-0051,0.899,38,127.19999999999999,30.03333333333333
52,CUC-0052,0.8985,71,243.49999999999991,57.493055555555536
53,CUC-0053,0.8965,47,158.59999999999997,37.447222222222216
54,CUC-0054,0.8975,99,337.5000000000001,79.68750000000003
55,CUC-0055,0.8945,120,433.30000000000007,102.30694444444445
56,CUC-0056,0.8985,120,408.90000000000003,96.54583333333333
57,CUC-0057,0.8955,152,513.4000000000002,121.21944444444449
58,CUC-0058,0.8985,100,339.6999999999998,80.2069444444444
59,CUC-0059,0.8965,82,277.8999999999999,65.61527777777776
60,CUC-0060,0.895,37,126.10000000000001,29.773611111111112
61,CUC-0061,0.898,127,437.3000000000002,103.25138888888893
62,CUC-0062,0.897,176,600.9000000000003,141.87916666666675
63,CUC-0063,0.898,95,325.9,76.9486111111111
64,CUC-0064,0.8985,92,315.50000000000017,74.4930555555556
65,CUC-0065,0.897,276,944.900000000001,223.10138888888912
66,CUC-0066,0.8965,53,180.89999999999998,42.71249999999999
67,CUC-0067,0.896,54,186.79999999999998,44.10555555555555
68,CUC-0068,0.897,207,704.9000000000007,166.43472222222238
69,CUC-0069,0.897,65,219.89999999999998,51.92083333333333
70,CUC-0070,0.8965,99,337.9,79.78194444444443
71,CUC-0071,0.8955,139,476.7000000000002,112.55416666666672
72,CUC-0072,0.8955,38,128.70000000000002,30.387500000000003
73,CUC-0073,0.899,184,641.2000000000003,151.3944444444445
74,CUC-0074,0.8985,100,339.50000000000017,80.15972222222226
75,CUC-0075,0.8995,11,36.6,8.641666666666667
76,CUC-0076,0.8965,12,41.099999999999994,9.704166666666666
77,CUC-0077,0.8985,106,360.59999999999997,85.14166666666665
78,CUC-0078,0.8975,119,402.7000000000001,95.08194444444446
79,CUC-0079,0.898,141,479.2000000000004,113.14444444444453
80,CUC-0080,0.8965,314,1067.2000000000016,251.97777777777816
81,CUC-0081,0.897,201,691.9000000000005,163.3652777777779
82,CUC-0082,0.8975,9,31.900000000000006,7.531944444444446
83,CUC-0083,0.896,150,511.6000000000003,120.79444444444451
84,CUC-0084,0.8985,23,80.80000000000001,19.07777777777778
85,CUC-0085,0.897,264,906.7000000000007,214.08194444444462
86,CUC-0086,0.8955,109,371.2,87.64444444444445
87,CUC-0087,0.899,24,82.9,19.573611111111113
88,CUC-0088,0.896,198,671.3000000000006,158.50138888888904
89,CUC-0089,0.898,118,399.0,94.20833333333333
90,CUC-0090,0.898,146,503.50000000000017,118.88194444444449
91,CUC-0091,0.8965,54,182.79999999999998,43.161111111111104
92,CUC-0092,0.897,81,276.39999999999986,65.26111111111108
93,CUC-0093,0.897,101,345.3000000000001,81.5291666666667
94,CUC-0094,0.898,11,36.5,8.618055555555555
95,CUC-0095,0.897,22,74.8,17.66111111111111
96,CUC-0096,0.898,309,1053.9000000000015,248.83750000000035
97,CUC-0097,0.8965,9,32.800000000000004,7.744444444444445
98,CUC-0098,0.8985,7,24.2,5.713888888888889
99,CUC-0099,0.897,99,338.49999999999983,79.92361111111107
