,ID,Accuracy,Time Taken (s),Energy Used (J),Equivalent CO2 Emission (mg)
0,FIR-0000,0.8965,88,299.69999999999993,70.76249999999999
1,FIR-0001,0.898,63,215.29999999999998,50.83472222222222
2,FIR-0002,0.895,86,292.5999999999999,69.0861111111111
3,FIR-0003,0.8965,55,185.49999999999997,43.7986111111111
4,FIR-0004,0.897,21,73.4,17.330555555555556
5,FIR-0005,0.8945,69,232.9999999999999,55.01388888888886
6,FIR-0006,0.898,155,531.7,125.54027777777779
7,FIR-0007,0.8975,329,1141.5000000000005,269.5208333333334
8,FIR-0008,0.898,228,774.9000000000001,182.9625
9,FIR-0009,0.8975,102,347.00000000000006,81.93055555555557
10,FIR-0010,0.8965,125,426.1,100.60694444444445
11,FIR-0011,0.8985,31,106.90000000000002,25.24027777777778
12,FIR-0012,0.8955,159,540.8000000000003,127.68888888888895
13,FIR-0013,0.8965,173,592.3000000000004,139.8486111111112
14,FIR-0014,0.8975,372,1258.5000000000011,297.1458333333336
15,FIR-0015,0.896,20,68.10000000000001,16.07916666666667
16,FIR-0016,0.8965,99,336.50000000000006,79.4513888888889
17,FIR-0017,0.898,117,401.5999999999999,94.8222222222222
18,FIR-0018,0.897,59,198.79999999999998,46.93888888888888
19,FIR-0019,0.8965,96,325.2999999999999,76.80694444444441
20,FIR-0020,0.898,145,497.3000000000002,117.4180555555556
21,FIR-0021,0.897,47,158.0,37.30555555555556
22,FIR-0022,0.896,102,380.3999999999999,89.81666666666665
23,FIR-0023,0.8945,74,278.5,65.75694444444444
24,FIR-0024,0.898,149,554.1000000000001,130.8291666666667
25,FIR-0025,0.8965,14,53.19999999999999,12.561111111111108
26,FIR-0026,0.8955,70,258.9,61.12916666666666
27,FIR-0027,0.896,94,351.3,82.94583333333334
28,FIR-0028,0.898,83,309.90000000000015,73.17083333333336
29,FIR-0029,0.897,41,145.4,34.330555555555556
30,FIR-0030,0.8985,49,166.29999999999998,39.265277777777776
31,FIR-0031,0.896,87,299.69999999999993,70.76249999999999
32,FIR-0032,0.892,8,26.400000000000002,6.233333333333333
33,FIR-0033,0.8965,71,247.89999999999995,58.531944444444434
34,FIR-0034,0.8975,20,69.80000000000001,16.480555555555558
35,FIR-0035,0.9005,11,37.6,8.877777777777778
36,FIR-0036,0.8975,78,266.4,62.89999999999999
37,FIR-0037,0.897,86,293.00000000000006,69.18055555555557
38,FIR-0038,0.8955,139,472.60000000000025,111.58611111111117
39,FIR-0039,0.896,147,503.60000000000014,118.90555555555558
40,FIR-0040,0.897,76,259.8999999999999,61.365277777777756
41,FIR-0041,0.8985,134,460.6999999999999,108.77638888888886
42,FIR-0042,0.897,142,504.2000000000003,119.04722222222229
43,FIR-0043,0.897,213,718.5000000000007,169.64583333333348
44,FIR-0044,0.898,127,433.49999999999994,102.35416666666666
45,FIR-0045,0.8965,110,373.5000000000001,88.18750000000003
46,FIR-0046,0.896,159,543.9000000000001,128.42083333333335
47,FIR-0047,0.8975,28,97.0,22.90277777777778
48,FIR-0048,0.898,13,47.099999999999994,11.120833333333332
49,FIR-0049,0.8955,92,311.7999999999997,73.61944444444438
50,FIR-0050,0.894,169,574.7000000000005,135.69305555555567
51,FIR-0051,0.8975,79,272.69999999999993,64.38749999999999
52,FIR-0052,0.897,67,230.79999999999993,54.494444444444426
53,FIR-0053,0.8975,337,1150.1000000000013,271.55138888888916
54,FIR-0054,0.8975,64,218.99999999999994,51.70833333333332
55,FIR-0055,0.8955,36,123.5,29.15972222222222
56,FIR-0056,0.897,82,286.8999999999999,67.74027777777776
57,FIR-0057,0.896,89,303.79999999999984,71.73055555555551
58,FIR-0058,0.8975,18,60.800000000000004,14.355555555555556
59,FIR-0059,0.8975,44,150.50000000000003,35.53472222222223
60,FIR-0060,0.895,184,629.0000000000007,148.51388888888906
61,FIR-0061,0.8975,34,116.00000000000001,27.388888888888893
62,FIR-0062,0.898,141,483.0999999999999,114.06527777777775
63,FIR-0063,0.898,66,230.1999999999999,54.35277777777775
64,FIR-0064,0.8975,163,556.1000000000001,131.3013888888889
65,FIR-0065,0.8945,71,241.7999999999999,57.09166666666664
66,FIR-0066,0.896,61,212.49999999999994,50.17361111111109
67,FIR-0067,0.8975,124,426.49999999999994,100.70138888888887
68,FIR-0068,0.8965,45,154.5,36.479166666666664
69,FIR-0069,0.8975,85,294.2999999999999,69.48749999999997
70,FIR-0070,0.8965,110,378.79999999999995,89.43888888888888
71,FIR-0071,0.896,166,565.5000000000003,133.5208333333334
72,FIR-0072,0.897,86,296.4000000000001,69.98333333333335
73,FIR-0073,0.897,305,1032.0000000000007,243.66666666666683
74,FIR-0074,0.898,31,108.0,25.5
75,FIR-0075,0.8975,137,492.7999999999999,116.35555555555553
76,FIR-0076,0.8965,5,18.9,4.4624999999999995
77,FIR-0077,0.8965,90,307.6999999999998,72.65138888888885
78,FIR-0078,0.8975,26,88.19999999999999,20.824999999999996
79,FIR-0079,0.8955,110,373.9,88.28194444444443
80,FIR-0080,0.897,12,40.99999999999999,9.680555555555554
81,FIR-0081,0.894,219,746.6000000000008,176.28055555555574
82,FIR-0082,0.8985,108,368.29999999999984,86.95972222222218
83,FIR-0083,0.8965,40,137.99999999999997,32.58333333333333
84,FIR-0084,0.8965,66,229.90000000000006,54.281944444444456
