,ID,Accuracy,Time Taken (s),Energy Used (J),Equivalent CO2 Emission (mg)
0,PAR-0000,0.897,92,307.40000000000015,72.58055555555559
1,PAR-0001,0.895,143,479.3000000000001,113.16805555555558
2,PAR-0002,0.897,145,487.3,115.05694444444444
3,PAR-0003,0.8945,2,6.199999999999999,1.4638888888888886
4,PAR-0004,0.897,102,343.8,81.175
5,PAR-0005,0.897,362,1211.0,285.93055555555554
6,PAR-0006,0.8985,145,488.1,115.24583333333334
7,PAR-0007,0.898,134,452.1000000000001,106.74583333333335
8,PAR-0008,0.896,33,109.79999999999998,25.924999999999994
9,PAR-0009,0.897,90,303.0999999999999,71.56527777777775
10,PAR-0010,0.8975,145,489.6999999999999,115.62361111111107
11,PAR-0011,0.897,94,312.59999999999997,73.80833333333332
12,PAR-0012,0.898,132,449.0000000000002,106.01388888888894
13,PAR-0013,0.8965,86,290.3,68.54305555555555
14,PAR-0014,0.897,83,278.59999999999997,65.78055555555555
15,PAR-0015,0.8975,94,318.3999999999999,75.17777777777776
16,PAR-0016,0.896,93,310.69999999999993,73.3597222222222
17,PAR-0017,0.8965,95,321.80000000000007,75.98055555555557
18,PAR-0018,0.8965,95,321.90000000000015,76.0041666666667
19,PAR-0019,0.8975,30,102.4,24.177777777777777
20,PAR-0020,0.898,101,338.5,79.92361111111111
21,PAR-0021,0.8985,109,367.59999999999997,86.79444444444444
22,PAR-0022,0.8985,112,374.40000000000003,88.4
23,PAR-0023,0.895,63,209.89999999999998,49.55972222222221
24,PAR-0024,0.895,159,536.7,126.72083333333335
25,PAR-0025,0.8955,30,99.49999999999999,23.49305555555555
26,PAR-0026,0.8975,22,74.39999999999999,17.566666666666663
27,PAR-0027,0.8985,79,279.9,66.08749999999999
28,PAR-0028,0.8985,125,425.0,100.34722222222221
29,PAR-0029,0.896,81,274.4,64.78888888888888
30,PAR-0030,0.898,56,188.19999999999996,44.4361111111111
31,PAR-0031,0.897,307,1062.4000000000012,250.84444444444472
32,PAR-0032,0.898,125,422.8000000000001,99.82777777777781
33,PAR-0033,0.897,72,245.09999999999982,57.87083333333329
34,PAR-0034,0.896,75,255.29999999999993,60.27916666666665
35,PAR-0035,0.8975,89,301.59999999999985,71.21111111111108
36,PAR-0036,0.897,27,93.1,21.981944444444444
37,PAR-0037,0.897,183,602.8999999999993,142.35138888888872
38,PAR-0038,0.898,52,168.20000000000002,39.71388888888889
39,PAR-0039,0.895,106,340.29999999999995,80.3486111111111
40,PAR-0040,0.8975,117,372.79999999999995,88.02222222222221
41,PAR-0041,0.8955,82,263.1000000000001,62.12083333333335
42,PAR-0042,0.896,58,187.70000000000002,44.31805555555556
43,PAR-0043,0.8965,20,64.2,15.158333333333333
44,PAR-0044,0.897,57,185.39999999999998,43.77499999999999
45,PAR-0045,0.8985,63,201.80000000000007,47.64722222222224
46,PAR-0046,0.898,61,195.70000000000005,46.20694444444445
47,PAR-0047,0.897,246,792.699999999999,187.16527777777753
48,PAR-0048,0.8945,86,275.7000000000001,65.09583333333336
49,PAR-0049,0.895,89,284.09999999999997,67.07916666666665
50,PAR-0050,0.8975,127,407.79999999999967,96.28611111111103
51,PAR-0051,0.8965,112,357.7,84.45694444444445
52,PAR-0052,0.895,7,22.699999999999996,5.359722222222221
53,PAR-0053,0.894,3,9.8,2.313888888888889
54,PAR-0054,0.896,88,282.79999999999995,66.77222222222221
55,PAR-0055,0.8975,96,307.70000000000005,72.6513888888889
56,PAR-0056,0.8945,113,363.5,85.82638888888889
57,PAR-0057,0.896,17,55.7,13.151388888888889
58,PAR-0058,0.8975,4,13.0,3.069444444444444
59,PAR-0059,0.8965,167,537.8999999999996,127.00416666666658
60,PAR-0060,0.8965,97,313.09999999999985,73.92638888888885
61,PAR-0061,0.897,89,286.99999999999994,67.76388888888887
62,PAR-0062,0.895,11,34.599999999999994,8.169444444444443
63,PAR-0063,0.898,37,118.2,27.908333333333335
64,PAR-0064,0.896,26,82.49999999999997,19.47916666666666
65,PAR-0065,0.896,40,129.5,30.57638888888889
66,PAR-0066,0.8955,17,55.3,13.056944444444444
67,PAR-0067,0.896,8,25.9,6.115277777777777
68,PAR-0068,0.895,123,394.1999999999998,93.07499999999996
69,PAR-0069,0.8965,79,262.2,61.90833333333333
70,PAR-0070,0.8985,4,13.1,3.0930555555555554
71,PAR-0071,0.8945,8,25.7,6.0680555555555555
72,PAR-0072,0.8975,289,944.2999999999987,222.9597222222219
73,PAR-0073,0.896,5,16.0,3.7777777777777777
74,PAR-0074,0.8965,51,164.40000000000006,38.81666666666668
75,PAR-0075,0.895,179,638.6000000000005,150.78055555555565
76,PAR-0076,0.8985,131,438.60000000000025,103.5583333333334
77,PAR-0077,0.8955,73,243.89999999999992,57.58749999999998
78,PAR-0078,0.8965,19,65.0,15.347222222222221
79,PAR-0079,0.895,201,650.9999999999991,153.70833333333312
80,PAR-0080,0.895,191,691.6000000000007,163.2944444444446
81,PAR-0081,0.8975,41,153.7,36.290277777777774
82,PAR-0082,0.8995,127,425.4,100.44166666666666
83,PAR-0083,0.8975,212,703.0000000000008,165.98611111111128
84,PAR-0084,0.8985,144,599.7,141.59583333333333
85,PAR-0085,0.898,119,383.59999999999985,90.57222222222218
86,PAR-0086,0.898,112,357.90000000000003,84.50416666666668
87,PAR-0087,0.891,4,13.0,3.069444444444444
88,PAR-0088,0.8985,80,255.00000000000009,60.20833333333335
89,PAR-0089,0.898,293,927.9999999999981,219.11111111111066
90,PAR-0090,0.898,127,410.19999999999993,96.85277777777776
91,PAR-0091,0.8985,140,459.89999999999986,108.58749999999996
92,PAR-0092,0.8965,90,289.4000000000001,68.33055555555558
93,PAR-0093,0.896,176,586.5999999999997,138.5027777777777
94,PAR-0094,0.897,318,1018.1999999999982,240.4083333333329
95,PAR-0095,0.896,90,291.00000000000006,68.70833333333334
96,PAR-0096,0.8975,75,242.90000000000003,57.3513888888889
97,PAR-0097,0.895,179,574.7999999999993,135.7166666666665
98,PAR-0098,0.8985,141,456.69999999999993,107.83194444444443
99,PAR-0099,0.8985,82,265.70000000000005,62.73472222222223
