,ID,Accuracy,Time Taken (s),Energy Used (J),Equivalent CO2 Emission (mg)
0,SEL-0000,0.898,135,451.10000000000014,106.50972222222225
1,SEL-0001,0.898,62,208.79999999999993,49.29999999999998
2,SEL-0002,0.898,303,1023.7000000000015,241.7069444444448
3,SEL-0003,0.888,3,10.399999999999999,2.4555555555555553
4,SEL-0004,0.897,219,738.6000000000001,174.3916666666667
5,SEL-0005,0.898,156,527.3000000000002,124.50138888888893
6,SEL-0006,0.8955,198,663.1000000000007,156.56527777777794
7,SEL-0007,0.8955,156,525.0999999999999,123.98194444444442
8,SEL-0008,0.898,63,208.4,49.205555555555556
9,SEL-0009,0.8975,46,155.0,36.59722222222222
10,SEL-0010,0.897,85,291.0999999999999,68.73194444444442
11,SEL-0011,0.897,65,219.09999999999994,51.73194444444443
12,SEL-0012,0.8975,78,263.19999999999993,62.144444444444424
13,SEL-0013,0.8975,14,46.7,11.026388888888889
14,SEL-0014,0.896,28,94.4,22.28888888888889
15,SEL-0015,0.8985,56,187.7,44.31805555555555
16,SEL-0016,0.897,118,398.7999999999998,94.16111111111105
17,SEL-0017,0.898,206,689.0000000000003,162.68055555555563
18,SEL-0018,0.897,26,88.99999999999999,21.013888888888886
19,SEL-0019,0.8975,98,331.6999999999998,78.31805555555552
20,SEL-0020,0.8965,9,31.2,7.366666666666666
21,SEL-0021,0.8965,98,347.69999999999976,82.09583333333327
22,SEL-0022,0.8955,116,389.90000000000003,92.05972222222223
23,SEL-0023,0.896,202,703.2000000000008,166.03333333333353
24,SEL-0024,0.897,58,201.49999999999997,47.57638888888888
25,SEL-0025,0.8965,195,658.8000000000004,155.5500000000001
26,SEL-0026,0.8955,187,632.6000000000008,149.36388888888908
27,SEL-0027,0.897,202,687.9000000000007,162.4208333333335
28,SEL-0028,0.8965,55,188.8,44.57777777777778
29,SEL-0029,0.898,89,310.1999999999999,73.24166666666663
30,SEL-0030,0.897,32,108.59999999999998,25.641666666666662
31,SEL-0031,0.898,38,133.4,31.497222222222224
32,SEL-0032,0.897,29,98.29999999999998,23.20972222222222
33,SEL-0033,0.897,186,636.1000000000004,150.19027777777785
34,SEL-0034,0.8975,294,959.1999999999995,226.47777777777765
35,SEL-0035,0.8955,50,160.60000000000002,37.91944444444445
36,SEL-0036,0.897,119,389.6999999999999,92.01249999999997
37,SEL-0037,0.8975,73,240.10000000000005,56.69027777777779
38,SEL-0038,0.898,126,410.00000000000006,96.80555555555557
39,SEL-0039,0.894,25,81.8,19.313888888888886
40,SEL-0040,0.8985,153,507.8,119.89722222222223
41,SEL-0041,0.8965,96,313.19999999999993,73.94999999999999
42,SEL-0042,0.898,82,264.30000000000007,62.40416666666668
43,SEL-0043,0.899,71,234.6,55.391666666666666
44,SEL-0044,0.8965,44,145.39999999999998,34.33055555555555
45,SEL-0045,0.8965,8,26.900000000000002,6.35138888888889
46,SEL-0046,0.897,65,219.29999999999995,51.779166666666654
47,SEL-0047,0.8965,242,802.5000000000001,189.47916666666669
48,SEL-0048,0.898,130,428.49999999999983,101.17361111111107
49,SEL-0049,0.8985,10,32.199999999999996,7.602777777777777
50,SEL-0050,0.8955,86,283.2000000000001,66.86666666666669
51,SEL-0051,0.8965,78,257.5,60.79861111111111
52,SEL-0052,0.8985,108,373.29999999999995,88.14027777777777
53,SEL-0053,0.8965,67,232.10000000000002,54.801388888888894
54,SEL-0054,0.898,84,300.49999999999994,70.95138888888887
55,SEL-0055,0.896,8,29.4,6.941666666666666
56,SEL-0056,0.8955,21,74.2,17.519444444444446
57,SEL-0057,0.8985,124,444.6,104.97500000000001
58,SEL-0058,0.8965,37,133.3,31.47361111111111
59,SEL-0059,0.895,34,121.0,28.569444444444443
60,SEL-0060,0.8955,6,21.900000000000002,5.170833333333333
61,SEL-0061,0.8985,118,432.39999999999975,102.09444444444438
