,ID,Time Taken(s),Total Power(J),CPU(J),Monitor(J),Disk(J),Base(J)
0,BAT-0000,139,475.0000000000003,273.2,0.0,0.0,208.5
1,BAT-0001,62,212.49999999999994,122.49999999999999,0.0,0.0,93.0
2,BAT-0002,311,1068.100000000001,614.900000000001,0.0,0.0,466.5
3,BAT-0003,62,214.5,123.9,0.0,0.3,93.0
4,BAT-0004,22,75.69999999999999,43.7,0.0,0.0,33.0
5,BAT-0005,103,355.5999999999999,205.1999999999999,0.0,0.5,154.5
6,BAT-0006,40,140.10000000000002,81.6,0.0,0.0,60.0
7,BAT-0007,158,539.2999999999998,309.6999999999998,0.0,0.0,237.0
8,BAT-0008,140,481.00000000000006,276.3,0.0,0.1,210.0
9,BAT-0009,42,151.7,90.09999999999998,0.0,0.2,63.0
10,BAT-0010,41,141.5,82.00000000000001,0.0,0.0,61.5
11,BAT-0011,138,475.40000000000003,273.29999999999984,0.0,0.0,207.0
12,BAT-0012,204,718.1000000000009,420.60000000000025,0.0,0.2,306.0
13,BAT-0013,67,228.59999999999988,131.29999999999998,0.0,0.0,100.5
14,BAT-0014,28,96.3,55.400000000000006,0.0,0.0,42.0
15,BAT-0015,58,198.29999999999995,113.69999999999999,0.0,0.0,87.0
16,BAT-0016,118,410.7,238.69999999999985,0.0,0.0,177.0
17,BAT-0017,206,706.1000000000004,407.7,0.0,0.0,309.0
18,BAT-0018,28,99.50000000000001,58.70000000000001,0.0,0.0,42.0
19,BAT-0019,97,337.99999999999994,197.3,0.0,0.0,145.5
20,BAT-0020,11,38.1,21.8,0.0,0.0,16.5
21,BAT-0021,94,320.3999999999999,182.79999999999998,0.0,0.0,141.0
22,BAT-0022,117,400.50000000000006,231.09999999999994,0.0,0.0,175.5
23,BAT-0023,200,688.000000000001,396.6000000000002,0.0,0.0,300.0
24,BAT-0024,58,196.10000000000002,111.59999999999998,0.0,0.0,87.0
25,BAT-0025,199,681.7000000000004,392.3999999999998,0.0,0.1,298.5
26,BAT-0026,194,674.5000000000001,391.7000000000001,0.0,0.0,291.0
27,BAT-0027,57,194.1999999999999,111.90000000000003,0.0,0.0,85.5
