,ID,Time Taken(s),Total Power(J),CPU(J),Monitor(J),Disk(J),Base(J)
0,CAM-0000,134,446.3,250.59999999999982,0.0,0.0,201.0
1,CAM-0001,318,1073.7000000000012,610.0000000000006,0.0,0.0,477.0
2,CAM-0002,93,312.5999999999999,176.9,0.0,0.0,139.5
3,CAM-0003,240,819.6000000000007,470.2000000000001,0.0,0.5,360.0
4,CAM-0004,327,1210.8000000000004,727.3999999999997,0.0,0.1,490.5
5,CAM-0005,82,305.9,184.19999999999996,0.0,0.0,123.0
6,CAM-0006,63,236.90000000000003,143.89999999999998,0.0,0.2,94.5
7,CAM-0007,94,349.90000000000015,211.00000000000006,0.0,0.0,141.0
8,CAM-0008,16,62.09999999999999,38.4,0.0,0.0,24.0
9,CAM-0009,103,358.90000000000003,207.60000000000002,0.0,0.0,154.5
10,CAM-0010,197,670.4000000000003,383.5000000000002,0.0,0.0,295.5
11,CAM-0011,13,45.00000000000001,26.000000000000004,0.0,0.0,19.5
12,CAM-0012,81,275.19999999999993,157.89999999999995,0.0,0.0,121.5
13,CAM-0013,42,143.50000000000003,82.4,0.0,0.0,63.0
14,CAM-0014,53,178.5,101.09999999999998,0.0,0.0,79.5
15,CAM-0015,143,486.00000000000034,276.39999999999986,0.0,0.0,214.5
16,CAM-0016,108,364.2000000000003,207.19999999999993,0.0,0.0,162.0
17,CAM-0017,82,280.79999999999995,161.49999999999997,0.0,0.0,123.0
18,CAM-0018,95,321.9000000000001,183.69999999999996,0.0,0.0,142.5
19,CAM-0019,56,205.6,123.5,0.0,0.0,84.0
20,CAM-0020,91,307.3,172.19999999999993,0.0,0.0,136.5
21,CAM-0021,87,295.89999999999986,167.29999999999987,0.0,0.0,130.5
22,CAM-0022,19,65.5,37.60000000000001,0.0,0.0,28.5
23,CAM-0023,34,122.2,71.60000000000002,0.0,0.1,51.0
24,CAM-0024,84,295.3999999999999,171.49999999999994,0.0,0.0,126.0
25,CAM-0025,105,362.9,207.69999999999987,0.0,0.0,157.5
26,CAM-0026,88,299.69999999999993,169.49999999999991,0.0,0.0,132.0
27,CAM-0027,87,294.69999999999993,166.10000000000002,0.0,0.0,130.5
28,CAM-0028,83,267.70000000000016,146.5,0.0,0.0,124.5
29,CAM-0029,80,260.6000000000001,144.0,0.0,0.0,120.0
30,CAM-0030,72,232.30000000000013,127.20000000000006,0.0,0.0,108.0
31,CAM-0031,128,412.3,225.50000000000006,0.0,0.0,192.0
32,CAM-0032,32,107.00000000000001,60.2,0.0,0.0,48.0
33,CAM-0033,63,205.3,113.89999999999996,0.0,0.0,94.5
34,CAM-0034,24,76.0,40.9,0.0,0.0,36.0
35,CAM-0035,204,659.1999999999998,361.70000000000005,0.0,0.0,306.0
36,CAM-0036,121,391.40000000000003,215.40000000000003,0.0,0.0,181.5
37,CAM-0037,337,1088.0999999999985,597.6999999999997,0.0,0.0,505.5
38,CAM-0038,111,357.49999999999994,195.79999999999995,0.0,0.0,166.5
39,CAM-0039,14,44.699999999999996,24.3,0.0,0.0,21.0
40,CAM-0040,275,917.1000000000014,513.1000000000004,0.0,0.1,412.5
41,CAM-0041,32,110.09999999999997,62.60000000000001,0.0,0.0,48.0
42,CAM-0042,24,80.19999999999999,45.0,0.0,0.0,36.0
43,CAM-0043,50,173.5,99.2,0.0,0.0,75.0
44,CAM-0044,126,427.00000000000006,241.99999999999983,0.0,0.0,189.0
45,CAM-0045,86,291.7,164.39999999999992,0.0,0.0,129.0
46,CAM-0046,118,405.5,231.49999999999991,0.0,0.2,177.0
47,CAM-0047,21,68.4,37.89999999999999,0.0,0.0,31.5
48,CAM-0048,134,431.69999999999993,235.90000000000003,0.0,0.0,201.0
49,CAM-0049,270,889.7999999999987,495.4999999999998,0.0,0.0,405.0
50,CAM-0050,40,130.1,71.7,0.0,0.0,60.0
51,CAM-0051,72,231.8000000000001,126.89999999999998,0.0,0.0,108.0
52,CAM-0052,6,20.4,11.700000000000001,0.0,0.0,9.0
53,CAM-0053,35,114.39999999999999,63.7,0.0,0.0,52.5
54,CAM-0054,72,235.20000000000005,130.79999999999998,0.0,0.0,108.0
55,CAM-0055,91,309.5999999999999,175.10000000000002,0.0,0.0,136.5
56,CAM-0056,74,251.29999999999987,141.8999999999999,0.0,0.0,111.0
57,CAM-0057,87,298.79999999999995,169.89999999999995,0.0,0.0,130.5
58,CAM-0058,35,117.90000000000002,65.9,0.0,0.0,52.5
59,CAM-0059,56,189.49999999999991,106.39999999999998,0.0,0.0,84.0
60,CAM-0060,53,199.09999999999997,120.9,0.0,0.0,79.5
61,CAM-0061,22,75.3,43.199999999999996,0.0,0.0,33.0
62,CAM-0062,23,82.10000000000001,48.400000000000006,0.0,0.0,34.5
63,CAM-0063,77,259.4,146.39999999999995,0.0,0.0,115.5
64,CAM-0064,81,275.7999999999999,156.29999999999995,0.0,0.0,121.5
65,CAM-0065,131,446.60000000000025,253.3999999999998,0.0,0.0,196.5
66,CAM-0066,210,716.0000000000007,404.7000000000003,0.0,0.0,315.0
67,CAM-0067,15,51.2,28.900000000000002,0.0,0.0,22.5
68,CAM-0068,186,607.3999999999994,336.69999999999993,0.0,0.0,279.0
69,CAM-0069,79,253.1000000000001,138.70000000000002,0.0,0.0,118.5
70,CAM-0070,84,274.2000000000001,151.00000000000006,0.0,0.0,126.0
71,CAM-0071,181,585.5999999999997,322.59999999999997,0.0,0.0,271.5
72,CAM-0072,90,296.2,165.20000000000002,0.0,0.1,135.0
73,CAM-0073,81,265.2000000000001,146.20000000000002,0.0,0.0,121.5
74,CAM-0074,127,427.40000000000015,240.1999999999997,0.0,0.0,190.5
75,CAM-0075,73,250.4999999999999,141.9,0.0,0.0,109.5
76,CAM-0076,106,361.0000000000001,204.29999999999987,0.0,0.0,159.0
77,CAM-0077,51,174.19999999999996,98.60000000000001,0.0,0.0,76.5
78,CAM-0078,85,286.79999999999995,160.5999999999999,0.0,0.0,127.5
79,CAM-0079,3,10.7,6.299999999999999,0.0,0.0,4.5
80,CAM-0080,230,773.9000000000001,434.8999999999999,0.0,0.0,345.0
81,CAM-0081,175,573.9999999999999,319.6000000000001,0.0,0.0,262.5
82,CAM-0082,151,513.9000000000002,291.0999999999999,0.0,0.0,226.5
83,CAM-0083,50,170.89999999999995,96.69999999999999,0.0,0.0,75.0
84,CAM-0084,60,206.3999999999999,117.2,0.0,0.0,90.0
85,CAM-0085,81,276.29999999999995,156.79999999999993,0.0,0.0,121.5
86,CAM-0086,92,314.99999999999994,179.29999999999993,0.0,0.1,138.0
87,CAM-0087,59,198.79999999999998,111.39999999999999,0.0,0.0,88.5
88,CAM-0088,184,606.1999999999995,336.3999999999998,0.0,0.0,276.0
89,CAM-0089,88,285.49999999999994,157.59999999999997,0.0,0.0,132.0
90,CAM-0090,88,285.09999999999997,157.4,0.0,0.0,132.0
91,CAM-0091,80,271.1,153.9,0.0,0.0,120.0
92,CAM-0092,75,253.89999999999992,143.6,0.0,0.0,112.5
93,CAM-0093,79,268.9,151.89999999999992,0.0,0.0,118.5
94,CAM-0094,180,612.5000000000005,346.2000000000001,0.0,0.0,270.0
95,CAM-0095,34,118.0,67.90000000000002,0.0,0.0,51.0
96,CAM-0096,2,6.1,3.2,0.0,0.0,3.0
97,CAM-0097,86,293.49999999999994,166.49999999999986,0.0,0.0,129.0
98,CAM-0098,76,258.89999999999986,146.19999999999996,0.0,0.0,114.0
99,CAM-0099,21,71.00000000000001,39.900000000000006,0.0,0.0,31.5
