,ID,Time Taken(s),Total Power(J),CPU(J),Monitor(J),Disk(J),Base(J)
0,CUC-0000,25,97.39999999999999,60.2,0.0,0.0,37.5
1,CUC-0001,187,671.2999999999997,395.10000000000014,0.0,0.3,280.5
2,CUC-0002,15,54.5,32.2,0.0,0.0,22.5
3,CUC-0003,104,382.49999999999994,228.50000000000017,0.0,0.1,156.0
4,CUC-0004,106,388.10000000000014,231.40000000000012,0.0,0.0,159.0
5,CUC-0005,43,157.7,94.0,0.0,0.0,64.5
6,CUC-0006,103,379.7999999999999,227.40000000000006,0.0,0.1,154.5
7,CUC-0007,12,45.3,27.499999999999996,0.0,0.0,18.0
8,CUC-0008,11,40.5,24.499999999999996,0.0,0.0,16.5
9,CUC-0009,64,219.40000000000003,126.7,0.0,0.0,96.0
10,CUC-0010,65,218.2999999999999,122.59999999999998,0.0,0.0,97.5
11,CUC-0011,29,97.8,55.800000000000004,0.0,0.0,43.5
12,CUC-0012,93,312.5,177.3,0.0,0.0,139.5
13,CUC-0013,83,282.09999999999985,160.09999999999994,0.0,0.0,124.5
14,CUC-0014,62,211.6999999999999,121.2,0.0,0.0,93.0
15,CUC-0015,269,904.9000000000007,513.5000000000002,0.0,0.1,403.5
16,CUC-0016,75,253.19999999999985,144.39999999999995,0.0,0.0,112.5
17,CUC-0017,152,511.19999999999993,288.5999999999999,0.0,0.0,228.0
18,CUC-0018,8,29.099999999999994,17.6,0.0,0.0,12.0
19,CUC-0019,178,600.1,342.40000000000003,0.0,0.0,267.0
20,CUC-0020,10,34.1,19.5,0.0,0.0,15.0
21,CUC-0021,31,108.50000000000003,63.00000000000001,0.0,0.0,46.5
22,CUC-0022,271,917.8000000000011,523.7000000000006,0.0,0.2,406.5
23,CUC-0023,136,465.6999999999998,267.39999999999986,0.0,0.0,204.0
24,CUC-0024,63,213.5,122.19999999999995,0.0,0.0,94.5
25,CUC-0025,70,237.49999999999991,135.29999999999995,0.0,0.0,105.0
26,CUC-0026,62,210.20000000000002,119.2,0.0,0.0,93.0
27,CUC-0027,90,304.99999999999983,173.79999999999987,0.0,0.0,135.0
28,CUC-0028,123,420.20000000000016,240.79999999999984,0.0,0.0,184.5
29,CUC-0029,14,47.300000000000004,27.1,0.0,0.0,21.0
30,CUC-0030,105,355.9,202.39999999999992,0.0,0.0,157.5
31,CUC-0031,99,334.8999999999998,190.90000000000003,0.0,0.0,148.5
32,CUC-0032,75,253.59999999999994,144.79999999999998,0.0,0.0,112.5
33,CUC-0033,103,347.8999999999999,198.49999999999994,0.0,0.0,154.5
