,ID,Time Taken(s),Total Power(J),CPU(J),Monitor(J),Disk(J),Base(J)
0,FIR-0000,88,299.69999999999993,171.79999999999995,0.0,0.0,132.0
1,FIR-0001,63,215.29999999999998,122.89999999999995,0.0,0.1,94.5
2,FIR-0002,86,292.5999999999999,167.99999999999997,0.0,0.0,129.0
3,FIR-0003,55,185.49999999999997,105.60000000000001,0.0,0.0,82.5
4,FIR-0004,21,73.4,43.4,0.0,0.0,31.5
5,FIR-0005,69,232.9999999999999,132.99999999999997,0.0,0.0,103.5
6,FIR-0006,155,531.7,305.7999999999999,0.0,0.0,232.5
7,FIR-0007,329,1141.5000000000005,660.0000000000005,0.0,0.2,493.5
8,FIR-0008,228,774.9000000000001,441.90000000000026,0.0,0.0,342.0
9,FIR-0009,102,347.00000000000006,198.4999999999999,0.0,0.0,153.0
10,FIR-0010,125,426.1,243.5999999999998,0.0,0.0,187.5
11,FIR-0011,31,106.90000000000002,61.70000000000003,0.0,0.0,46.5
12,FIR-0012,159,540.8000000000003,309.49999999999983,0.0,0.0,238.5
13,FIR-0013,173,592.3000000000004,340.09999999999997,0.0,0.0,259.5
14,FIR-0014,372,1258.5000000000011,717.4000000000003,0.0,0.1,558.0
15,FIR-0015,20,68.10000000000001,39.2,0.0,0.0,30.0
16,FIR-0016,99,336.50000000000006,191.59999999999994,0.0,0.0,148.5
17,FIR-0017,117,401.5999999999999,231.29999999999987,0.0,0.0,175.5
18,FIR-0018,59,198.79999999999998,112.80000000000003,0.0,0.0,88.5
19,FIR-0019,96,325.2999999999999,184.8,0.0,0.1,144.0
20,FIR-0020,145,497.3000000000002,284.9,0.0,0.0,217.5
21,FIR-0021,47,158.0,89.79999999999997,0.0,0.0,70.5
22,FIR-0022,102,380.3999999999999,228.7000000000001,0.0,0.1,153.0
23,FIR-0023,74,278.5,169.20000000000002,0.0,0.0,111.0
24,FIR-0024,149,554.1000000000001,333.9000000000002,0.0,0.0,223.5
25,FIR-0025,14,53.19999999999999,32.7,0.0,0.0,21.0
26,FIR-0026,70,258.9,154.7,0.0,0.0,105.0
27,FIR-0027,94,351.3,212.10000000000008,0.0,0.0,141.0
28,FIR-0028,83,309.90000000000015,187.40000000000003,0.0,0.0,124.5
29,FIR-0029,41,145.4,85.60000000000001,0.0,0.0,61.5
30,FIR-0030,49,166.29999999999998,94.20000000000002,0.0,0.0,73.5
31,FIR-0031,87,299.69999999999993,172.9999999999999,0.0,0.0,130.5
32,FIR-0032,8,26.400000000000002,14.7,0.0,0.0,12.0
33,FIR-0033,71,247.89999999999995,144.4,0.0,0.0,106.5
34,FIR-0034,20,69.80000000000001,40.699999999999996,0.0,0.0,30.0
35,FIR-0035,11,37.6,21.7,0.0,0.0,16.5
36,FIR-0036,78,266.4,152.89999999999998,0.0,0.0,117.0
37,FIR-0037,86,293.00000000000006,167.2,0.0,0.0,129.0
38,FIR-0038,139,472.60000000000025,270.89999999999986,0.0,0.0,208.5
39,FIR-0039,147,503.60000000000014,290.49999999999994,0.0,0.0,220.5
40,FIR-0040,76,259.8999999999999,149.39999999999995,0.0,0.0,114.0
41,FIR-0041,134,460.6999999999999,265.19999999999993,0.0,0.0,201.0
42,FIR-0042,142,504.2000000000003,297.20000000000005,0.0,0.2,213.0
43,FIR-0043,213,718.5000000000007,408.0000000000002,0.0,0.0,319.5
44,FIR-0044,127,433.49999999999994,248.2999999999999,0.0,0.0,190.5
