,ID,Time Taken(s),Total Power(J),CPU(J),Monitor(J),Disk(J),Base(J)
0,PAR-0000,92,307.40000000000015,172.79999999999993,0.0,0.0,138.0
1,PAR-0001,143,479.3000000000001,271.3999999999998,0.0,0.0,214.5
2,PAR-0002,145,487.3,276.2999999999999,0.0,0.0,217.5
3,PAR-0003,2,6.199999999999999,3.3,0.0,0.0,3.0
4,PAR-0004,102,343.8,195.29999999999993,0.0,0.0,153.0
5,PAR-0005,362,1211.0,685.5000000000017,0.0,0.0,543.0
6,PAR-0006,145,488.1,276.8999999999998,0.0,0.0,217.5
7,PAR-0007,134,452.1000000000001,256.69999999999993,0.0,0.0,201.0
8,PAR-0008,33,109.79999999999998,61.60000000000001,0.0,0.0,49.5
9,PAR-0009,90,303.0999999999999,172.19999999999993,0.0,0.0,135.0
10,PAR-0010,145,489.6999999999999,278.0999999999998,0.0,0.0,217.5
11,PAR-0011,94,312.59999999999997,175.5999999999999,0.0,0.0,141.0
12,PAR-0012,132,449.0000000000002,256.1999999999999,0.0,0.0,198.0
13,PAR-0013,86,290.3,165.19999999999996,0.0,0.0,129.0
14,PAR-0014,83,278.59999999999997,157.89999999999998,0.0,0.0,124.5
15,PAR-0015,94,318.3999999999999,182.09999999999988,0.0,0.0,141.0
16,PAR-0016,93,310.69999999999993,174.99999999999994,0.0,0.0,139.5
17,PAR-0017,95,321.80000000000007,183.89999999999984,0.0,0.0,142.5
18,PAR-0018,95,321.90000000000015,183.3999999999999,0.0,0.0,142.5
19,PAR-0019,30,102.4,58.600000000000016,0.0,0.0,45.0
20,PAR-0020,101,338.5,191.39999999999995,0.0,0.0,151.5
21,PAR-0021,109,367.59999999999997,208.09999999999988,0.0,0.0,163.5
22,PAR-0022,112,374.40000000000003,211.39999999999986,0.0,0.0,168.0
23,PAR-0023,63,209.89999999999998,118.39999999999998,0.0,0.0,94.5
24,PAR-0024,159,536.7,305.4999999999999,0.0,0.0,238.5
25,PAR-0025,30,99.49999999999999,55.9,0.0,0.0,45.0
26,PAR-0026,22,74.39999999999999,42.4,0.0,0.0,33.0
27,PAR-0027,79,279.9,165.2999999999999,0.0,0.0,118.5
28,PAR-0028,125,425.0,242.99999999999974,0.0,0.0,187.5
29,PAR-0029,81,274.4,155.49999999999994,0.0,0.0,121.5
30,PAR-0030,56,188.19999999999996,106.80000000000001,0.0,0.0,84.0
31,PAR-0031,307,1062.4000000000012,612.0000000000003,0.0,0.0,460.5
32,PAR-0032,125,422.8000000000001,237.39999999999978,0.0,0.0,187.5
33,PAR-0033,72,245.09999999999982,138.99999999999997,0.0,0.0,108.0
34,PAR-0034,75,255.29999999999993,144.1,0.0,0.0,112.5
35,PAR-0035,89,301.59999999999985,169.49999999999991,0.0,0.0,133.5
36,PAR-0036,27,93.1,53.30000000000001,0.0,0.0,40.5
37,PAR-0037,183,602.8999999999993,332.9999999999997,0.0,0.0,274.5
38,PAR-0038,52,168.20000000000002,92.09999999999998,0.0,0.0,78.0
39,PAR-0039,106,340.29999999999995,186.00000000000003,0.0,0.0,159.0
40,PAR-0040,117,372.79999999999995,203.00000000000003,0.0,0.0,175.5
41,PAR-0041,82,263.1000000000001,143.80000000000004,0.0,0.0,123.0
42,PAR-0042,58,187.70000000000002,103.3,0.0,0.0,87.0
43,PAR-0043,20,64.2,35.199999999999996,0.0,0.0,30.0
44,PAR-0044,57,185.39999999999998,102.30000000000001,0.0,0.0,85.5
45,PAR-0045,63,201.80000000000007,109.99999999999999,0.0,0.0,94.5
46,PAR-0046,61,195.70000000000005,106.7,0.0,0.0,91.5
47,PAR-0047,246,792.699999999999,434.4999999999999,0.0,0.1,369.0
48,PAR-0048,86,275.7000000000001,150.60000000000008,0.0,0.0,129.0
49,PAR-0049,89,284.09999999999997,154.20000000000005,0.0,0.1,133.5
50,PAR-0050,127,407.79999999999967,222.50000000000003,0.0,0.0,190.5
51,PAR-0051,112,357.7,194.79999999999998,0.0,0.0,168.0
52,PAR-0052,7,22.699999999999996,12.399999999999999,0.0,0.0,10.5
53,PAR-0053,3,9.8,5.6,0.0,0.0,4.5
54,PAR-0054,88,282.79999999999995,154.7,0.0,0.0,132.0
55,PAR-0055,96,307.70000000000005,168.39999999999998,0.0,0.0,144.0
56,PAR-0056,113,363.5,199.39999999999998,0.0,0.0,169.5
57,PAR-0057,17,55.7,30.900000000000002,0.0,0.0,25.5
58,PAR-0058,4,13.0,7.2,0.0,0.0,6.0
59,PAR-0059,167,537.8999999999996,293.1,0.0,0.0,250.5
60,PAR-0060,97,313.09999999999985,171.20000000000002,0.0,0.0,145.5
61,PAR-0061,89,286.99999999999994,157.40000000000003,0.0,0.0,133.5
62,PAR-0062,11,34.599999999999994,18.4,0.0,0.0,16.5
63,PAR-0063,37,118.2,64.1,0.0,0.0,55.5
64,PAR-0064,26,82.49999999999997,45.00000000000001,0.0,0.0,39.0
65,PAR-0065,40,129.5,71.10000000000001,0.0,0.0,60.0
66,PAR-0066,17,55.3,30.500000000000004,0.0,0.0,25.5
67,PAR-0067,8,25.9,14.399999999999999,0.0,0.0,12.0
68,PAR-0068,123,394.1999999999998,214.8,0.0,0.0,184.5
69,PAR-0069,79,262.2,146.9,0.0,0.0,118.5
70,PAR-0070,4,13.1,7.4,0.0,0.0,6.0
71,PAR-0071,8,25.7,13.9,0.0,0.0,12.0
72,PAR-0072,289,944.2999999999987,523.4999999999998,0.0,0.0,433.5
73,PAR-0073,5,16.0,8.7,0.0,0.0,7.5
74,PAR-0074,51,164.40000000000006,90.0,0.0,0.0,76.5
75,PAR-0075,179,638.6000000000005,375.90000000000015,0.0,0.0,268.5
76,PAR-0076,131,438.60000000000025,245.2999999999998,0.0,0.0,196.5
77,PAR-0077,73,243.89999999999992,136.49999999999997,0.0,0.0,109.5
78,PAR-0078,19,65.0,36.89999999999999,0.0,0.0,28.5
79,PAR-0079,201,650.9999999999991,357.09999999999974,0.0,0.0,301.5
80,PAR-0080,191,691.6000000000007,407.7000000000002,0.0,2.2,286.5
81,PAR-0081,41,153.7,92.00000000000003,0.0,1.0,61.5
82,PAR-0082,127,425.4,237.39999999999978,0.0,0.30000000000000004,190.5
83,PAR-0083,212,703.0000000000008,388.10000000000014,0.0,0.0,318.0
84,PAR-0084,144,599.7,370.5999999999999,0.0,16.1,216.0
85,PAR-0085,119,383.59999999999985,210.30000000000004,0.0,0.1,178.5
86,PAR-0086,112,357.90000000000003,194.30000000000004,0.0,0.1,168.0
87,PAR-0087,4,13.0,7.299999999999999,0.0,0.0,6.0
88,PAR-0088,80,255.00000000000009,138.3,0.0,0.0,120.0
89,PAR-0089,293,927.9999999999981,502.09999999999985,0.0,0.0,439.5
90,PAR-0090,127,410.19999999999993,224.60000000000014,0.0,0.0,190.5
91,PAR-0091,140,459.89999999999986,255.90000000000003,0.0,0.1,210.0
92,PAR-0092,90,289.4000000000001,158.20000000000002,0.0,0.2,135.0
93,PAR-0093,176,586.5999999999997,324.19999999999993,0.0,6.3,264.0
94,PAR-0094,318,1018.1999999999982,555.0999999999998,0.0,0.0,477.0
95,PAR-0095,90,291.00000000000006,161.00000000000009,0.0,0.0,135.0
96,PAR-0096,75,242.90000000000003,133.5,0.0,0.0,112.5
97,PAR-0097,179,574.7999999999993,313.4999999999999,0.0,0.0,268.5
98,PAR-0098,141,456.69999999999993,251.0000000000001,0.0,0.0,211.5
99,PAR-0099,82,265.70000000000005,145.79999999999998,0.0,0.0,123.0
