,ID,Time Taken(s),Total Power(J),CPU(J),Monitor(J),Disk(J),Base(J)
0,SEL-0000,135,451.10000000000014,253.59999999999988,0.0,0.0,202.5
1,SEL-0001,62,208.79999999999993,118.5,0.0,0.0,93.0
2,SEL-0002,303,1023.7000000000015,581.8000000000005,0.0,0.0,454.5
3,SEL-0003,3,10.399999999999999,5.9,0.0,0.0,4.5
4,SEL-0004,219,738.6000000000001,419.70000000000005,0.0,0.1,328.5
5,SEL-0005,156,527.3000000000002,299.6000000000001,0.0,0.0,234.0
6,SEL-0006,198,663.1000000000007,375.0000000000001,0.0,0.0,297.0
7,SEL-0007,156,525.0999999999999,299.2,0.0,0.0,234.0
8,SEL-0008,63,208.4,116.29999999999995,0.0,0.0,94.5
9,SEL-0009,46,155.0,87.69999999999999,0.0,0.0,69.0
10,SEL-0010,85,291.0999999999999,167.6,0.0,0.0,127.5
11,SEL-0011,65,219.09999999999994,124.89999999999999,0.0,0.0,97.5
12,SEL-0012,78,263.19999999999993,149.19999999999993,0.0,0.0,117.0
13,SEL-0013,14,46.7,26.400000000000002,0.0,0.0,21.0
14,SEL-0014,28,94.4,53.50000000000002,0.0,0.0,42.0
15,SEL-0015,56,187.7,105.69999999999999,0.0,0.0,84.0
16,SEL-0016,118,398.7999999999998,226.3999999999999,0.0,0.2,177.0
17,SEL-0017,206,689.0000000000003,388.79999999999995,0.0,0.0,309.0
18,SEL-0018,26,88.99999999999999,51.00000000000001,0.0,0.0,39.0
19,SEL-0019,98,331.6999999999998,188.99999999999983,0.0,0.0,147.0
20,SEL-0020,9,31.2,17.9,0.0,0.0,13.5
21,SEL-0021,98,347.69999999999976,205.29999999999998,0.0,0.1,147.0
22,SEL-0022,116,389.90000000000003,220.89999999999995,0.0,0.0,174.0
23,SEL-0023,202,703.2000000000008,404.90000000000003,0.0,0.1,303.0
24,SEL-0024,58,201.49999999999997,115.8,0.0,0.0,87.0
25,SEL-0025,195,658.8000000000004,370.8999999999998,0.0,0.0,292.5
26,SEL-0026,187,632.6000000000008,356.59999999999985,0.0,0.0,280.5
27,SEL-0027,202,687.9000000000007,389.49999999999994,0.0,0.0,303.0
28,SEL-0028,55,188.8,107.20000000000003,0.0,0.0,82.5
29,SEL-0029,89,310.1999999999999,177.80000000000007,0.0,0.4,133.5
30,SEL-0030,32,108.59999999999998,61.100000000000016,0.0,0.0,48.0
31,SEL-0031,38,133.4,77.4,0.0,0.0,57.0
32,SEL-0032,29,98.29999999999998,55.40000000000002,0.0,0.0,43.5
33,SEL-0033,186,636.1000000000004,361.4,0.0,0.0,279.0
34,SEL-0034,294,959.1999999999995,529.5999999999999,0.0,0.0,441.0
35,SEL-0035,50,160.60000000000002,87.79999999999998,0.0,0.0,75.0
36,SEL-0036,119,389.6999999999999,216.59999999999997,0.0,0.0,178.5
37,SEL-0037,73,240.10000000000005,134.3,0.0,0.1,109.5
38,SEL-0038,126,410.00000000000006,226.3999999999999,0.0,0.0,189.0
39,SEL-0039,25,81.8,45.20000000000001,0.0,0.0,37.5
40,SEL-0040,153,507.8,283.9999999999999,0.0,0.0,229.5
