,n_estimators,Time Taken,Accuracy,Total Energy (J),Base Energy (J),CPU Energy (J),Monitor Energy (J),Disk Energy (J)
0,50,11,70.08714814102616,42.2,16.5,25.7,0.0,0.0
1,100,18,72.39538438319981,67.0,27.0,40.49999999999999,0.0,0.0
2,150,28,72.2107775771256,102.3,42.0,61.39999999999999,0.0,0.0
3,200,37,71.7356142801463,137.0,57.0,80.69999999999999,0.0,0.0
4,250,46,71.64830628603454,171.69999999999996,69.0,103.69999999999999,0.0,0.0
5,300,55,72.00715295542496,202.10000000000005,81.0,122.6,0.0,0.0
6,350,64,72.20109236076209,234.90000000000003,96.0,140.70000000000005,0.0,0.0
7,400,73,72.0266080162561,267.6000000000001,109.5,159.50000000000003,0.0,0.0
8,450,84,72.19144005532797,308.6,126.0,184.39999999999998,0.0,0.0
9,500,92,72.26905342995356,335.4999999999999,138.0,199.20000000000002,0.0,0.0
