,n_estimators,Time Taken,Accuracy,Total Energy (J),Base Energy (J),CPU Energy (J),Monitor Energy (J),Disk Energy (J)
0,50,12,71.8619264271472,48.7,19.5,29.4,0.0,0.0
1,100,19,71.43502935889981,68.9,28.5,40.599999999999994,0.0,0.0
2,150,29,72.04603486771923,106.60000000000002,43.5,63.59999999999999,0.0,0.0
3,200,40,71.4447709939994,148.00000000000003,60.0,88.7,0.0,0.0
4,250,48,72.20128982633842,192.10000000000008,72.0,120.80000000000001,0.0,0.0
5,300,57,72.1236482423448,208.39999999999998,87.0,123.1,0.0,0.0
6,350,67,71.86170545376413,244.40000000000006,100.5,145.50000000000003,0.0,0.0
7,400,76,72.4241203261191,284.90000000000003,115.5,171.1,0.0,0.0
8,450,85,71.44468166433391,309.4,127.5,184.2,0.0,0.0
9,500,92,72.33693457260222,333.30000000000007,138.0,197.1,0.0,0.0
