,n_estimators,Time Taken,Accuracy,Total Energy (J),Base Energy (J),CPU Energy (J),Monitor Energy (J),Disk Energy (J)
0,50,9,70.22294803881421,40.8,13.5,27.3,0.0,0.0
1,100,16,72.06528776141269,68.8,24.0,45.199999999999996,0.0,0.0
2,150,25,71.72586324192402,93.7,37.5,56.69999999999999,0.0,0.0
3,200,36,72.69577183886997,136.7,54.0,83.29999999999998,0.0,0.0
4,250,45,72.43385725965737,169.80000000000004,67.5,102.69999999999999,0.0,0.0
5,300,53,72.23028905669284,198.30000000000004,79.5,119.80000000000001,0.0,0.0
6,350,63,71.85203904364602,236.20000000000002,94.5,143.29999999999995,0.0,0.0
7,400,75,71.9393611424418,281.6,112.5,170.70000000000002,0.0,0.0
8,450,81,71.9683368649895,290.9999999999999,121.5,171.9,0.0,0.0
9,500,91,72.53086457481665,335.8000000000001,138.0,199.60000000000008,0.0,0.0
