,Algo Name,n_estimators,Time Taken,Accuracy,Total Energy (J),Base Energy (J),CPU Energy (J),Monitor Energy (J),Disk Energy (J)
0,Grey Wolf Optimizer,50,9,70.22294803881421,40.8,13.5,27.3,0.0,0.0
1,Grey Wolf Optimizer,100,16,72.06528776141269,68.8,24.0,45.199999999999996,0.0,0.0
2,Grey Wolf Optimizer,150,25,71.72586324192402,93.7,37.5,56.69999999999999,0.0,0.0
3,Grey Wolf Optimizer,200,36,72.69577183886997,136.7,54.0,83.29999999999998,0.0,0.0
4,Grey Wolf Optimizer,250,45,72.43385725965737,169.80000000000004,67.5,102.69999999999999,0.0,0.0
5,Grey Wolf Optimizer,300,53,72.23028905669284,198.30000000000004,79.5,119.80000000000001,0.0,0.0
6,Grey Wolf Optimizer,350,63,71.85203904364602,236.20000000000002,94.5,143.29999999999995,0.0,0.0
7,Grey Wolf Optimizer,400,75,71.9393611424418,281.6,112.5,170.70000000000002,0.0,0.0
8,Grey Wolf Optimizer,450,81,71.9683368649895,290.9999999999999,121.5,171.9,0.0,0.0
9,Grey Wolf Optimizer,500,91,72.53086457481665,335.8000000000001,138.0,199.60000000000008,0.0,0.0
10,Bat Algorithm,50,11,70.08714814102616,42.2,16.5,25.7,0.0,0.0
11,Bat Algorithm,100,18,72.39538438319981,67.0,27.0,40.49999999999999,0.0,0.0
12,Bat Algorithm,150,28,72.2107775771256,102.3,42.0,61.39999999999999,0.0,0.0
13,Bat Algorithm,200,37,71.7356142801463,137.0,57.0,80.69999999999999,0.0,0.0
14,Bat Algorithm,250,46,71.64830628603454,171.69999999999996,69.0,103.69999999999999,0.0,0.0
15,Bat Algorithm,300,55,72.00715295542496,202.10000000000005,81.0,122.6,0.0,0.0
16,Bat Algorithm,350,64,72.20109236076209,234.90000000000003,96.0,140.70000000000005,0.0,0.0
17,Bat Algorithm,400,73,72.0266080162561,267.6000000000001,109.5,159.50000000000003,0.0,0.0
18,Bat Algorithm,450,84,72.19144005532797,308.6,126.0,184.39999999999998,0.0,0.0
19,Bat Algorithm,500,92,72.26905342995356,335.4999999999999,138.0,199.20000000000002,0.0,0.0
20,Hybrid Bat Algorithm,50,9,71.28970409783385,37.2,15.0,22.500000000000004,0.0,0.0
21,Hybrid Bat Algorithm,100,19,72.12347428457517,76.60000000000001,30.0,47.099999999999994,0.0,0.0
22,Hybrid Bat Algorithm,150,28,71.95875978453684,106.5,43.5,63.39999999999999,0.0,0.0
23,Hybrid Bat Algorithm,200,37,71.7066620654053,139.30000000000004,55.5,84.20000000000003,0.0,0.0
24,Hybrid Bat Algorithm,250,48,72.23015271141394,177.29999999999995,72.0,105.10000000000002,0.0,0.5
25,Hybrid Bat Algorithm,300,56,72.07509521837106,208.7000000000001,84.0,125.69999999999997,0.0,0.0
26,Hybrid Bat Algorithm,350,62,71.93937994868716,217.89999999999995,93.0,126.79999999999998,0.0,0.0
27,Hybrid Bat Algorithm,400,71,72.14288703135423,256.59999999999997,106.5,152.80000000000004,0.0,0.2
28,Hybrid Bat Algorithm,450,79,72.25938231827408,267.59999999999997,117.0,154.6,0.0,0.0
29,Hybrid Bat Algorithm,500,88,71.9102725824219,304.1,132.0,175.10000000000002,0.0,0.1
30,Firefly Algorithm,50,12,71.8619264271472,48.7,19.5,29.4,0.0,0.0
31,Firefly Algorithm,100,19,71.43502935889981,68.9,28.5,40.599999999999994,0.0,0.0
32,Firefly Algorithm,150,29,72.04603486771923,106.60000000000002,43.5,63.59999999999999,0.0,0.0
33,Firefly Algorithm,200,40,71.4447709939994,148.00000000000003,60.0,88.7,0.0,0.0
34,Firefly Algorithm,250,48,72.20128982633842,192.10000000000008,72.0,120.80000000000001,0.0,0.0
35,Firefly Algorithm,300,57,72.1236482423448,208.39999999999998,87.0,123.1,0.0,0.0
36,Firefly Algorithm,350,67,71.86170545376413,244.40000000000006,100.5,145.50000000000003,0.0,0.0
37,Firefly Algorithm,400,76,72.4241203261191,284.90000000000003,115.5,171.1,0.0,0.0
38,Firefly Algorithm,450,85,71.44468166433391,309.4,127.5,184.2,0.0,0.0
39,Firefly Algorithm,500,92,72.33693457260222,333.30000000000007,138.0,197.1,0.0,0.0
40,Hybrid Self Adaptive Bat Algorithm,50,11,71.60970646742075,46.5,18.0,28.8,0.0,0.0
41,Hybrid Self Adaptive Bat Algorithm,100,18,71.93929061902168,66.39999999999999,27.0,39.99999999999999,0.0,0.0
42,Hybrid Self Adaptive Bat Algorithm,150,29,71.7453324074392,109.89999999999998,45.0,65.49999999999999,0.0,0.0
43,Hybrid Self Adaptive Bat Algorithm,200,40,72.77329588383006,151.8,60.0,92.69999999999999,0.0,0.0
44,Hybrid Self Adaptive Bat Algorithm,250,46,71.9780785000891,165.70000000000002,69.0,97.69999999999997,0.0,0.0
45,Hybrid Self Adaptive Bat Algorithm,300,56,71.97819603912262,206.59999999999994,84.0,123.60000000000002,0.0,0.0
46,Hybrid Self Adaptive Bat Algorithm,350,63,71.98773550708454,222.99999999999997,96.0,129.1,0.0,0.0
47,Hybrid Self Adaptive Bat Algorithm,400,73,71.98774491020723,244.79999999999993,108.0,140.1,0.0,0.0
48,Hybrid Self Adaptive Bat Algorithm,450,80,71.76474045265692,282.9,120.0,166.10000000000002,0.0,0.0
49,Hybrid Self Adaptive Bat Algorithm,500,94,71.93931882838973,344.4999999999999,141.0,205.30000000000007,0.0,0.0
