,n_estimators,Time Taken,Accuracy,Total CO2 Emission (mg),Base CO2 Emission (mg),CPU CO2 Emission (mg),Monitor CO2 Emission (mg),Disk CO2 Emission (mg)
0,50,11,70.08714814102616,9.963888888888889,3.895833333333333,6.0680555555555555,0.0,0.0
1,100,18,72.39538438319981,15.819444444444445,6.375,9.562499999999998,0.0,0.0
2,150,28,72.2107775771256,24.154166666666665,9.916666666666666,14.49722222222222,0.0,0.0
3,200,37,71.7356142801463,32.34722222222222,13.458333333333332,19.054166666666664,0.0,0.0
4,250,46,71.64830628603454,40.54027777777777,16.291666666666668,24.484722222222217,0.0,0.0
5,300,55,72.00715295542496,47.718055555555566,19.125,28.94722222222222,0.0,0.0
6,350,64,72.20109236076209,55.462500000000006,22.666666666666664,33.220833333333346,0.0,0.0
7,400,73,72.0266080162561,63.18333333333335,25.854166666666664,37.65972222222223,0.0,0.0
8,450,84,72.19144005532797,72.8638888888889,29.75,43.538888888888884,0.0,0.0
9,500,92,72.26905342995356,79.21527777777774,32.583333333333336,47.03333333333334,0.0,0.0
