,n_estimators,Time Taken,Accuracy,Total CO2 Emission (mg),Base CO2 Emission (mg),CPU CO2 Emission (mg),Monitor CO2 Emission (mg),Disk CO2 Emission (mg)
0,50,12,71.8619264271472,11.498611111111112,4.604166666666667,6.941666666666666,0.0,0.0
1,100,19,71.43502935889981,16.268055555555556,6.729166666666666,9.58611111111111,0.0,0.0
2,150,29,72.04603486771923,25.169444444444448,10.270833333333334,15.016666666666664,0.0,0.0
3,200,40,71.4447709939994,34.94444444444445,14.166666666666666,20.943055555555556,0.0,0.0
4,250,48,72.20128982633842,45.35694444444446,17.0,28.522222222222226,0.0,0.0
5,300,57,72.1236482423448,49.20555555555555,20.541666666666668,29.065277777777776,0.0,0.0
6,350,67,71.86170545376413,57.70555555555557,23.729166666666664,34.35416666666667,0.0,0.0
7,400,76,72.4241203261191,67.26805555555556,27.270833333333332,40.39861111111111,0.0,0.0
8,450,85,71.44468166433391,73.05277777777778,30.104166666666664,43.49166666666666,0.0,0.0
9,500,92,72.33693457260222,78.69583333333335,32.583333333333336,46.537499999999994,0.0,0.0
