,n_estimators,Time Taken,Accuracy,Total CO2 Emission (mg),Base CO2 Emission (mg),CPU CO2 Emission (mg),Monitor CO2 Emission (mg),Disk CO2 Emission (mg)
0,50,9,70.22294803881421,9.633333333333333,3.1875,6.445833333333334,0.0,0.0
1,100,16,72.06528776141269,16.244444444444444,5.666666666666666,10.67222222222222,0.0,0.0
2,150,25,71.72586324192402,22.12361111111111,8.854166666666666,13.387499999999998,0.0,0.0
3,200,36,72.69577183886997,32.27638888888889,12.75,19.66805555555555,0.0,0.0
4,250,45,72.43385725965737,40.091666666666676,15.9375,24.248611111111106,0.0,0.0
5,300,53,72.23028905669284,46.82083333333334,18.770833333333332,28.28611111111111,0.0,0.0
6,350,63,71.85203904364602,55.769444444444446,22.3125,33.83472222222221,0.0,0.0
7,400,75,71.9393611424418,66.4888888888889,26.5625,40.30416666666667,0.0,0.0
8,450,81,71.9683368649895,68.7083333333333,28.6875,40.5875,0.0,0.0
9,500,91,72.53086457481665,79.28611111111114,32.583333333333336,47.127777777777794,0.0,0.0
