,n_estimators,Time Taken,Accuracy,Total CO2 Emission (mg),Base CO2 Emission (mg),CPU CO2 Emission (mg),Monitor CO2 Emission (mg),Disk CO2 Emission (mg)
0,50,11,71.60970646742075,10.979166666666666,4.25,6.8,0.0,0.0
1,100,18,71.93929061902168,15.677777777777775,6.375,9.444444444444443,0.0,0.0
2,150,29,71.7453324074392,25.948611111111106,10.625,15.465277777777773,0.0,0.0
3,200,40,72.77329588383006,35.84166666666667,14.166666666666666,21.887499999999996,0.0,0.0
4,250,46,71.9780785000891,39.12361111111112,16.291666666666668,23.06805555555555,0.0,0.0
5,300,56,71.97819603912262,48.78055555555554,19.833333333333332,29.183333333333337,0.0,0.0
6,350,63,71.98773550708454,52.65277777777777,22.666666666666664,30.48194444444444,0.0,0.0
7,400,73,71.98774491020723,57.79999999999998,25.5,33.079166666666666,0.0,0.0
8,450,80,71.76474045265692,66.79583333333332,28.333333333333332,39.21805555555556,0.0,0.0
9,500,94,71.93931882838973,81.34027777777774,33.291666666666664,48.473611111111126,0.0,0.0
