TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W)
63801051073614.00,2.4,1,0,0,1.5,--
63801051074617.00,2.9,1.4,0,0,1.5,--
63801051075611.00,2.2,0.7,0,0,1.5,--
63801051076620.00,4,2.5,0,0,1.5,--
63801051077622.00,4.7,3.3,0,0,1.5,--
63801051078627.00,3.3,1.8,0,0,1.5,--
63801051079647.00,3.6,2.1,0,0,1.5,--
63801051080679.00,3.5,2.1,0,0,1.5,--
63801051081682.00,5.5,4,0,0,1.5,--
63801051082679.00,7.8,6.3,0,0,1.5,--
63801051083677.00,4.3,2.8,0,0,1.5,--
63801051084691.00,4.9,3.4,0,0,1.5,--
63801051085698.00,4,2.5,0,0,1.5,--
63801051086702.00,2.7,1.2,0,0,1.5,--
63801051087721.00,2.7,1.2,0,0,1.5,--
63801051088730.00,2.1,0.6,0,0,1.5,--
63801051089735.00,1.5,0,0,0,1.5,--
63801051090734.00,1.5,0,0,0,1.5,--
63801051091756.00,1.7,0.2,0,0,1.5,--
63801051092758.00,1.5,0,0,0,1.5,--
63801051093758.00,2.5,1,0,0,1.5,--
63801051094759.00,1.5,0.1,0,0,1.5,--
63801051095767.00,1.5,0,0,0,1.5,--
63801051096765.00,1.6,0.1,0,0,1.5,--
63801051097775.00,1.6,0.1,0,0,1.5,--
63801051098772.00,2.3,0.8,0,0,1.5,--
63801051099793.00,1.7,0.2,0,0,1.5,--
63801051100800.00,1.5,0,0,0,1.5,--
63801051101800.00,1.7,0.2,0,0,1.5,--
63801051102811.00,1.5,0,0,0,1.5,--
63801051103819.00,2.5,1,0,0,1.5,--
63801051104812.00,1.6,0.2,0,0,1.5,--
63801051105830.00,1.8,0.4,0,0,1.5,--
63801051106848.00,3.2,1.7,0,0,1.5,--
63801051107847.00,1.5,0.1,0,0,1.5,--
63801051108845.00,2,0.5,0,0,1.5,--
63801051109843.00,2,0.5,0,0,1.5,--
63801051110858.00,1.6,0.2,0,0,1.5,--
63801051111864.00,1.5,0.1,0,0,1.5,--
63801051112874.00,1.5,0,0,0,1.5,--
63801051113897.00,1.7,0.2,0,0,1.5,--
63801051114900.00,2.4,0.9,0,0,1.5,--
63801051115887.00,1.5,0,0,0,1.5,--
63801051116905.00,1.5,0.1,0,0,1.5,--
63801051117935.00,1.8,0.3,0,0,1.5,--
63801051118941.00,1.5,0,0,0,1.5,--
63801051119947.00,2.9,1.4,0,0,1.5,--
63801051120934.00,1.5,0.1,0,0,1.5,--
63801051121948.00,1.6,0.2,0,0,1.5,--
63801051122949.00,1.6,0.1,0,0,1.5,--
63801051123935.00,1.6,0.1,0,0,1.5,--
63801051124938.00,3.5,2,0,0,1.5,--
63801051125956.00,3.1,1.6,0,0,1.5,--
63801051126965.00,2.6,1.1,0,0,1.5,--
63801051127962.00,3.3,1.8,0,0,1.5,--
63801051128968.00,2.1,0.6,0,0,1.5,--
63801051129993.00,2.7,1.3,0,0,1.5,--
63801051130982.00,2.2,0.8,0,0,1.5,--
63801051132009.00,2.4,0.9,0,0,1.5,--
63801051133022.00,2.6,1.1,0,0,1.5,--
63801051134016.00,2.4,1,0,0,1.5,--
63801051135013.00,2.6,1.1,0,0,1.5,--
63801051136014.00,2.2,0.7,0,0,1.5,--
63801051137021.00,2.9,1.4,0,0,1.5,--
63801051138026.00,2.6,1.1,0,0,1.5,--
63801051139020.00,2,0.5,0,0,1.5,--
63801051140025.00,2,0.5,0,0,1.5,--
63801051141038.00,2.7,1.3,0,0,1.5,--
63801051142036.00,2.4,0.9,0,0,1.5,--
