,n_estimators,Time Taken,Accuracy,Total Energy (J),Base Energy (J),CPU Energy (J),Monitor Energy (J),Disk Energy (J)
0,50,9,71.28970409783385,37.2,15.0,22.500000000000004,0.0,0.0
1,100,19,72.12347428457517,76.60000000000001,30.0,47.099999999999994,0.0,0.0
2,150,28,71.95875978453684,106.5,43.5,63.39999999999999,0.0,0.0
3,200,37,71.7066620654053,139.30000000000004,55.5,84.20000000000003,0.0,0.0
4,250,48,72.23015271141394,177.29999999999995,72.0,105.10000000000002,0.0,0.5
5,300,56,72.07509521837106,208.7000000000001,84.0,125.69999999999997,0.0,0.0
6,350,62,71.93937994868716,217.89999999999995,93.0,126.79999999999998,0.0,0.0
7,400,71,72.14288703135423,256.59999999999997,106.5,152.80000000000004,0.0,0.2
8,450,79,72.25938231827408,267.59999999999997,117.0,154.6,0.0,0.0
9,500,88,71.9102725824219,304.1,132.0,175.10000000000002,0.0,0.1
